#T    nvapor(g/ml)    nliquid(g/mL)    phi(nvap)(atm)    phi(nliq)(atm)    nparticular
276  5.95176835131e-06  1.02194362342  -0.00754035384433  -0.00727372376636  0.00221686021313
277.811594203  6.70437073771e-06  1.02054718681  -0.0085493347099  -0.010707083405  0.00221444225545
279.611375099  7.5334546704e-06  1.01915891953  -0.00966849876631  -0.0105911768941  0.00221204493106
281.399571305  8.44482514079e-06  1.01777872978  -0.010907106998  -0.0121986186491  0.00220966743764
283.176404147  9.44452769928e-06  1.01640633975  -0.0122748923059  -0.0139243430362  0.00220730927018
284.942087984  1.05388978017e-05  1.01504153299  -0.0137821183845  -0.0150099961508  0.0022049698294
286.696830513  1.1734559627e-05  1.01368411208  -0.0154396008676  -0.0161374578643  0.00220264874916
288.440833051  1.30383558156e-05  1.01233387524  -0.0172587031475  -0.0176527435734  0.00220034542822
290.17429081  1.44575062757e-05  1.01099066326  -0.0192513533056  -0.0202002943533  0.00219805940023
291.897393151  1.5999415986e-05  1.00965426243  -0.0214300232524  -0.0226757499191  0.00219579027366
293.610323831  1.76717944234e-05  1.00832446846  -0.0238077713917  -0.0249812656186  0.00219353761827
295.313261226  1.94826702657e-05  1.00700113414  -0.0263982451864  -0.0273736045235  0.00219130102663
297.006378555  2.14403299025e-05  1.00568412969  -0.0292156948502  -0.0306302788127  0.00218907997271
298.689844083  2.35532516116e-05  1.00437322301  -0.0322749167047  -0.0331198834895  0.00218687433952
300.36382132  2.58303315032e-05  1.00306830882  -0.0355913575346  -0.0356687487494  0.00218468347415
302.028469206  2.82806838701e-05  1.00176922622  -0.0391810852815  -0.0393765832053  0.00218250716988
303.683942285  3.09136672443e-05  1.00047582728  -0.0430607241732  -0.0432205895252  0.00218034495243
305.33039088  3.373898127e-05  0.99918801069  -0.0472475721961  -0.0482718071606  0.00217819667757
306.967961246  3.67664517825e-05  0.997905598172  -0.0517594821934  -0.053576581951  0.00217606186517
308.596795727  4.00062689651e-05  0.996628397884  -0.0566148563865  -0.0567435484946  0.00217394029384
310.217032901  4.34689533323e-05  0.995356408994  -0.0618329739676  -0.0620439513087  0.00217183168963
311.828807713  4.71651970163e-05  0.994089435184  -0.0674335323456  -0.0682018416125  0.00216973556799
313.432251614  5.11059821192e-05  0.992827385734  -0.0734368843118  -0.0749659970362  0.00216765191426
315.027492683  5.53023959022e-05  0.991570079831  -0.0798639360468  -0.0809551087929  0.0021655802252
316.614655745  5.9765971836e-05  0.990317454798  -0.0867363038314  -0.086714518909  0.00216352046726
