# from huang2001shs
0.1000000000 0.0000000000
0.2000000000 0.0000000000
0.3000000000 0.0000000000
0.4000000000 0.0000000000
0.5000000000 0.0000000000
0.6000000000 0.0000000000
0.7000000000 0.0000000000
0.8000000000 0.0000000000
0.9000000000 0.0000000000
1.0000000000 0.0000000000
1.1000000000 0.0000000000
1.2000000000 0.0000000000
1.3000000000 0.0000000000
1.4000000000 0.0000000000
1.5000000000 0.0000000000
1.6000000000 0.0000000000
1.7000000000 0.0000000000
1.8000000000 0.0000000000
1.9000000000 0.0000000000
2.0000000000 0.0000000000
2.1000000000 0.0000000000
2.2000000000 0.0000000000
2.3000000000 0.0000000000
2.4000000000 0.0000000000
2.5000000000 0.0000000000
2.6000000000 0.0000000000
2.7000000000 0.0000000000
2.8000000000 0.0000000000
2.9000000000 0.0000000000
3.0000000000 0.0000000000
3.1000000000 0.0000000000
3.2000000000 0.0000000000
3.3000000000 0.0000000000
3.4000000000 0.0000000000
3.5000000000 0.0000000000
3.6000000000 0.0000000000
3.7000000000 0.0000000000
3.8000000000 0.0000000000
3.9000000000 0.0000000000
4.0000000000 0.0000000000
4.1000000000 0.0000000000
4.2000000000 0.0000000000
4.3000000000 0.0000000000
4.4000000000 0.0000000000
4.5000000000 0.0000000000
4.6000000000 0.0000000000
4.7000000000 0.0000000000
4.8000000000 0.0000000000
4.9000000000 0.0000000000
5.0000000000 0.0000000000
5.1000000000 0.0000000000
5.2000000000 0.0000000000
5.3000000000 0.0000000000
5.4000000000 0.0000000000
5.5000000000 0.0000000000
5.6000000000 0.0000000000
5.7000000000 0.0000000000
5.8000000000 0.0000000000
5.9000000000 0.0000000000
6.0000000000 0.0000000000
6.1000000000 0.0000000000
6.2000000000 0.0000000000
6.3000000000 0.0000000000
6.4000000000 0.0000000000
6.5000000000 0.0000000000
6.6000000000 0.0000000000
6.7000000000 0.0000000000
6.8000000000 0.0000000000
6.9000000000 0.0000000000
7.0000000000 0.0000000000
7.1000000000 0.0000000000
7.2000000000 0.0000000000
7.3000000000 0.0000000000
7.4000000000 0.0000000000
7.5000000000 0.0000000000
7.6000000000 0.0000000000
7.7000000000 0.0000000000
7.8000000000 0.0000000000
7.9000000000 0.0000000000
8.0000000000 0.5401864398
8.1000000000 1.0971400086
8.2000000000 1.1232511864
8.3000000000 1.1347561819
8.4000000000 1.1635623978
8.5000000000 1.1856758409
8.6000000000 1.1882771950
8.7000000000 1.1937362832
8.8000000000 1.1972701681
8.9000000000 1.1860861080
9.0000000000 1.1739934124
9.1000000000 1.1600764086
9.2000000000 1.1380480253
9.3000000000 1.1130777777
9.4000000000 1.0965066374
9.5000000000 1.0706538356
9.6000000000 1.0481189675
9.7000000000 1.0374442736
9.8000000000 1.0221923431
9.9000000000 0.9871123979
10.0000000000 0.9610841355
10.1000000000 0.9328800755
10.2000000000 0.9154720154
10.3000000000 0.8978488972
10.4000000000 0.8787560980
10.5000000000 0.8596569665
10.6000000000 0.8640163273
10.7000000000 0.8809174765
10.8000000000 0.8919782536
10.9000000000 0.8942321601
11.0000000000 0.9088000200
11.1000000000 0.9269913038
11.2000000000 0.9562735233
11.3000000000 0.9750991558
11.4000000000 0.9960985516
11.5000000000 0.9914597317
11.6000000000 0.9919366146
