# from huang2001shs
0.1000000000 0.0000000000
0.2000000000 0.0000000000
0.3000000000 0.0000000000
0.4000000000 0.0000000000
0.5000000000 0.0000000000
0.6000000000 0.0000000000
0.7000000000 0.0000000000
0.8000000000 0.0000000000
0.9000000000 0.0000000000
1.0000000000 0.0000000000
1.1000000000 0.0000000000
1.2000000000 0.0000000000
1.3000000000 0.0000000000
1.4000000000 0.0000000000
1.5000000000 0.0000000000
1.6000000000 0.0000000000
1.7000000000 0.0000000000
1.8000000000 0.0000000000
1.9000000000 0.0000000000
2.0000000000 0.0000000000
2.1000000000 0.0000000000
2.2000000000 0.0000000000
2.3000000000 0.0000000000
2.4000000000 0.0000000000
2.5000000000 0.0000000000
2.6000000000 0.0000000000
2.7000000000 0.0000000000
2.8000000000 0.0000000000
2.9000000000 0.0000000000
3.0000000000 0.0000000000
3.1000000000 0.0000000000
3.2000000000 0.0000000000
3.3000000000 0.0000000000
3.4000000000 0.0000000000
3.5000000000 0.0000000000
3.6000000000 0.0000000000
3.7000000000 0.0000000000
3.8000000000 0.0000000000
3.9000000000 0.0000000000
4.0000000000 1.0321239973
4.1000000000 1.9767241706
4.2000000000 1.8805443084
4.3000000000 1.7975649473
4.4000000000 1.6930350393
4.5000000000 1.6201078942
4.6000000000 1.5559710334
4.7000000000 1.4884382843
4.8000000000 1.4065720631
4.9000000000 1.3541851294
5.0000000000 1.2832971069
5.1000000000 1.1987645726
5.2000000000 1.1203760369
5.3000000000 1.0571177687
5.4000000000 0.9898995657
5.5000000000 0.9514861787
5.6000000000 0.9059051769
5.7000000000 0.8594841838
5.8000000000 0.8075776955
5.9000000000 0.7599520710
6.0000000000 0.7450692252
6.1000000000 0.7302869856
6.2000000000 0.7349939209
6.3000000000 0.7509034458
6.4000000000 0.7752273859
6.5000000000 0.8301930693
6.6000000000 0.8888224459
6.7000000000 0.9572741553
6.8000000000 1.0069439061
6.9000000000 1.0288926395
7.0000000000 1.0396448896
7.1000000000 1.0474136292
7.2000000000 1.0469250936
7.3000000000 1.0500142265
7.4000000000 1.0561999140
7.5000000000 1.0546509016
7.6000000000 1.0508295004
7.7000000000 1.0564916783
7.8000000000 1.0538362909
7.9000000000 1.0343726934
8.0000000000 1.0069639281
8.1000000000 1.0014395550
8.2000000000 0.9936769898
8.3000000000 0.9926360122
8.4000000000 0.9975122062
8.5000000000 0.9959775836
8.6000000000 0.9951835131
8.7000000000 0.9922101649
8.8000000000 1.0009744273
8.9000000000 0.9862479436
9.0000000000 0.9728192149
9.1000000000 0.9626756303
9.2000000000 0.9395174689
9.3000000000 0.9299521595
9.4000000000 0.9210188298
9.5000000000 0.9154044754
9.6000000000 0.9182364812
9.7000000000 0.9232293811
9.8000000000 0.9248735006
9.9000000000 0.9362108715
10.0000000000 0.9453224023
10.1000000000 0.9557266638
10.2000000000 0.9749426709
10.3000000000 0.9822865559
10.4000000000 0.9885321898
10.5000000000 0.9901654539
10.6000000000 0.9969742316
10.7000000000 0.9931490061
10.8000000000 0.9938619502
10.9000000000 0.9900456659
11.0000000000 0.9932439792
11.1000000000 0.9938349570
11.2000000000 0.9977150704
11.3000000000 0.9993616261
11.4000000000 0.9962577817
