Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
274.000000000	0.000650015606274	55.4997713517	0.0180180922488	0.0638375837273	0.0638492957685	0.233341780270	75.9446257061	75.9719214053	1406.46615875	-0.240604205877	1739.98726954	0.562632670902	0.0755287004287	0.000285498855741	3502.64100851	42.8056464458	45.0824176939	164.534686299	25.5650858233	33.9621270510	409.608561226	576.972035342	9.23594278697	0.0171151434403
275.000000000	0.000698451107416	55.5022221297	0.0180172966348	0.139780887220	0.139793471421	0.510002633142	75.9029511655	75.9153740280	1411.35218806	-0.239649848111	1682.04065349	0.564532309522	0.0753881894659	0.000305665682343	3271.54815789	42.8304379673	45.1154545954	164.057861266	25.5801048589	33.9801783620	410.332051213	558.886066133	9.25960391310	0.0171681034959
276.000000000	0.000750055738265	55.5037235031	0.0180168092677	0.215669716781	0.215683230392	0.785461538382	75.8594566082	75.8629277230	1416.12415044	-0.238714613038	1627.11455568	0.566433532716	0.0752470862417	0.000327069749294	3057.45181925	42.8552200255	45.1484791630	163.585446802	25.5952371868	33.9984088798	411.053861481	541.408735410	9.28351157609	0.0172216524684
277.000000000	0.000805005995027	55.5043062048	0.0180166201215	0.291508017803	0.291522521290	1.05974145955	75.8142204459	75.8142770706	1420.78428687	-0.237797590156	1574.99941165	0.568335564758	0.0751053918999	0.000349774667616	2858.98349019	42.8799923651	45.1814910462	163.117389564	25.6104764230	34.0168129202	411.774003093	524.523445926	9.30766055942	0.0172757847587
278.000000000	0.000863486728068	55.5039991737	0.0180167197839	0.367299444850	0.367315002048	1.33286406389	75.7673155933	75.7691452861	1425.33476901	-0.236897919731	1525.50350028	0.570237576728	0.0749631075881	0.000373846617158	2674.89380431	42.9047547243	45.2144898851	162.653637024	25.6258165285	34.0353852127	412.492486459	508.213725063	9.33204579144	0.0173304950895
279.000000000	0.000925690927254	55.5028296959	0.0180170994070	0.443047388547	0.443064066813	1.60484983750	75.7188098116	75.7272808231	1429.77770021	-0.236014790299	1478.45116548	0.572138698905	0.0748202344577	0.000399354416556	2504.04141921	42.9295068341	45.2474753104	162.194137449	25.6412518387	34.0541209333	413.209321290	492.463245173	9.35666233955	0.0173857784954
280.000000000	0.000991820378267	55.5008235315	0.0180177506633	0.518754999319	0.518772869692	1.87571818717	75.6687660510	75.6884544489	1434.11511724	-0.235147436086	1433.68123968	0.574038031606	0.0746767736639	0.000426369593783	2345.38300709	42.9542484184	45.2804469431	161.738839878	25.6567770900	34.0730157351	413.924516564	477.255843051	9.38150540463	0.0174416303127
281.000000000	0.00106208514148	55.4980050296	0.0180186657064	0.594425208415	0.594444345772	2.14548753077	75.6172427893	75.6524567214	1438.34899243	-0.234295134423	1391.04564354	0.575934654671	0.0745327263659	0.000454966457252	2197.96423244	42.9789791938	45.3134043944	161.287694109	25.6723874441	34.0920657757	414.638080483	462.575538435	9.40657031568	0.0174980461707
282.000000000	0.00113670493258	55.4943972331	0.0180198371342	0.670060746573	0.670081229811	2.41417537753	75.5642943621	75.6190958083	1442.48123622	-0.233457203184	1350.40813980	0.577827635749	0.0743880937265	0.000485222167415	2060.91161360	43.0036988691	45.3463472650	160.840650679	25.6880785096	34.1112677419	415.350020447	448.406551454	9.43185252481	0.0175550219827
283.000000000	0.00121590845934	55.4900219724	0.0180212579569	0.745664160664	0.745686072864	2.68179839992	75.5099712827	75.5881955976	1446.51369976	-0.232632998291	1311.64322240	0.579716037519	0.0742428769127	0.000517216808849	1933.42517662	43.0284071456	45.3792751453	160.397660847	25.7038463618	34.1306188723	416.060343020	434.733318964	9.45734760239	0.0176125539372
