# version: 0.0.0-2306-gdeb92257-dirty
# seed: 0
# well_width: 1.5
# ff: 0.17
# N: 256
# walls: 0
# cell dimensions: (18.4768, 18.4768, 18.4768)
# translation_scale: 0.1
# energy_levels: 2305
# min_T: 1
# max_entropy_state: 509
# min_important_energy: 932
# too_high_energy: -1
# too_low_energy: -1

# WL Factor: 1.87952e-07
# iterations: 2078319360
# working moves: 310329383326
# total moves: 532049756160
# acceptance rate: 0.583271

# converged state: 1625
# converged temperature: 0.286578

# energy	lndos	ps	lndos_tm
0	-1507.584117	0	-1496.21
1	-1501.111343	0	-1496.21
2	-1491.308596	0	-1486.33
3	-1483.228933	0	-1478.13
4	-1474.832346	0	-1470.04
5	-1467.222472	0	-1462.55
6	-1460.076912	0	-1455.47
7	-1453.25237	0	-1448.69
8	-1446.682221	0	-1442.14
9	-1440.364023	0	-1435.74
10	-1434.181764	0	-1429.45
11	-1428.133822	0	-1423.27
12	-1422.13112	0	-1417.17
13	-1416.209093	0	-1411.13
14	-1410.358642	0	-1405.16
15	-1404.568297	0	-1399.22
16	-1398.816759	0	-1393.32
17	-1393.112254	0	-1387.45
18	-1387.410854	0	-1381.59
19	-1381.729935	0	-1375.74
20	-1376.027103	0	-1369.89
21	-1370.316209	0	-1364.03
22	-1364.539304	0	-1358.16
23	-1358.722463	0	-1352.29
24	-1352.846548	0	-1346.41
25	-1346.978562	0	-1340.5
26	-1341.056924	0	-1334.57
27	-1335.112102	0	-1328.63
28	-1329.179402	0	-1322.65
29	-1323.268457	0	-1316.65
30	-1317.331333	0	-1310.62
31	-1311.351345	0	-1304.56
32	-1305.392615	0	-1298.48
33	-1299.395063	0	-1292.37
34	-1293.381746	0	-1286.22
35	-1287.329215	0	-1280.03
36	-1281.161931	0	-1273.79
37	-1274.683805	0	-1267.47
38	-1267.51291	0	-1261.05
39	-1259.858374	0	-1254.52
40	-1252.115888	0	-1247.87
41	-1244.457875	0	-1241.11
42	-1236.723966	0	-1234.24
43	-1229.06487	0	-1227.28
44	-1221.484568	0	-1220.23
45	-1213.93106	0	-1213.1
46	-1206.491905	0	-1205.91
47	-1199.000495	0	-1198.67
48	-1191.653339	0	-1191.41
49	-1184.336267	0	-1184.14
50	-1177.017632	0	-1176.87
51	-1169.754047	0	-1169.63
52	-1162.471776	0	-1162.43
53	-1155.292243	0	-1155.26
54	-1148.168483	0	-1148.12
55	-1141.02279	0	-1141.04
56	-1133.925729	0	-1133.98
