# iterations	 errorinentropy	 maxerror
496	60	249.3
6.821e+07	7.935	30.45
6.874e+07	7.934	30.45
6.907e+07	7.934	30.45
6.944e+07	7.933	30.45
6.99e+07	7.931	30.45
7.043e+07	7.931	30.45
7.104e+07	7.93	30.45
7.178e+07	7.93	30.45
7.256e+07	7.929	30.45
7.348e+07	7.926	30.45
7.45e+07	7.925	30.45
7.557e+07	7.925	30.45
7.675e+07	7.923	30.45
7.801e+07	7.918	30.44
7.929e+07	7.915	30.44
8.065e+07	7.914	30.44
8.222e+07	7.911	30.44
8.388e+07	7.905	30.41
8.56e+07	7.903	30.4
8.732e+07	7.883	30.39
8.918e+07	7.884	30.39
9.102e+07	7.884	30.39
9.299e+07	7.884	30.39
9.501e+07	7.877	30.29
9.703e+07	7.838	29.95
9.945e+07	7.769	29.92
1.018e+08	7.768	29.92
1.043e+08	7.769	29.92
1.069e+08	7.786	29.92
1.095e+08	7.785	29.92
1.123e+08	7.786	29.92
1.151e+08	7.787	29.92
1.178e+08	7.787	29.92
1.205e+08	7.79	29.92
1.236e+08	7.79	29.92
1.266e+08	7.79	29.92
1.299e+08	7.791	29.92
1.329e+08	7.79	29.92
1.363e+08	7.79	29.92
1.397e+08	7.79	29.92
1.433e+08	7.791	29.92
1.47e+08	7.791	29.92
1.507e+08	7.791	29.92
1.543e+08	7.791	29.92
1.582e+08	7.79	29.92
1.62e+08	7.801	29.92
1.66e+08	7.801	29.92
1.703e+08	7.801	29.92
1.745e+08	7.801	29.92
1.789e+08	7.801	29.92
1.832e+08	7.801	29.92
1.877e+08	7.801	29.92
1.923e+08	7.801	29.92
1.968e+08	7.8	29.92
2.015e+08	7.8	29.92
2.064e+08	7.8	29.92
2.112e+08	7.799	29.92
2.162e+08	7.799	29.92
2.21e+08	7.798	29.92
2.263e+08	7.798	29.92
2.314e+08	7.798	29.92
2.368e+08	7.545	30.15
2.42e+08	7.542	29.88
2.475e+08	7.542	29.85
2.531e+08	7.52	29.81
2.589e+08	7.505	29.77
2.646e+08	7.5	29.57
2.704e+08	7.499	29.57
2.763e+08	7.498	29.56
2.823e+08	7.496	29.56
2.884e+08	7.494	29.56
2.948e+08	7.494	29.56
3.009e+08	7.477	29.39
3.071e+08	7.455	29.01
3.137e+08	7.455	29
3.202e+08	7.455	29
3.267e+08	7.455	29
3.333e+08	7.449	29
3.401e+08	7.441	28.99
3.471e+08	7.408	28.89
3.542e+08	7.408	28.89
3.613e+08	7.408	28.89
3.684e+08	7.408	28.89
3.756e+08	7.416	28.89
3.83e+08	7.416	28.89
3.906e+08	7.416	28.89
3.98e+08	7.416	28.89
4.054e+08	7.415	28.88
4.131e+08	7.372	28.3
4.207e+08	7.36	28.17
4.284e+08	7.33	27.79
4.364e+08	7.28	27.36
4.443e+08	7.28	27.36
4.522e+08	7.236	27.23
4.604e+08	7.222	27.21
4.686e+08	7.158	27.2
4.769e+08	7.147	27.07
4.856e+08	7.132	27.08
4.94e+08	7.117	27.15
5.028e+08	7.088	27.15
5.115e+08	7.056	27.07
5.201e+08	7.011	26.64
5.289e+08	6.982	26.68
5.378e+08	6.982	26.68
5.467e+08	6.97	26.65
5.558e+08	6.775	26.64
5.651e+08	6.74	26.49
5.745e+08	6.682	26.33
5.836e+08	6.659	26.19
5.931e+08	6.612	26.27
6.026e+08	6.608	26.11
6.123e+08	6.554	26.14
6.219e+08	6.499	26.24
6.319e+08	6.482	26.33
6.416e+08	6.43	26.31
6.515e+08	6.394	26.17
6.615e+08	6.331	26.23
6.714e+08	6.321	26.06
6.817e+08	6.28	25.95
6.919e+08	6.12	26.77
7.022e+08	6.053	26.56
7.126e+08	6.035	26.63
7.231e+08	6.006	26.55
7.337e+08	5.993	26.46
7.446e+08	5.933	26.59
7.553e+08	5.901	26.38
7.664e+08	5.858	26.34
7.773e+08	5.814	26.12
7.884e+08	5.657	25.88
7.995e+08	5.636	25.97
8.107e+08	5.595	25.9
8.221e+08	5.567	25.83
8.334e+08	5.549	25.86
8.448e+08	5.514	25.65
8.567e+08	5.469	25.51
8.686e+08	5.45	25.36
8.801e+08	5.415	25.27
8.919e+08	5.386	25.08
9.037e+08	5.379	25.05
9.157e+08	5.33	24.91
9.279e+08	5.269	24.78
9.399e+08	5.246	24.66
9.519e+08	5.204	24.59
9.642e+08	5.152	24.48
9.767e+08	5.083	24.45
9.893e+08	5.028	24.37
1.002e+09	4.954	24.22
1.015e+09	4.915	24.11
1.028e+09	4.847	24.06
1.041e+09	4.791	23.96
1.053e+09	4.725	23.86
1.066e+09	4.676	23.8
1.08e+09	4.631	23.76
1.093e+09	4.565	23.66
1.106e+09	4.494	23.57
1.12e+09	4.436	23.51
1.133e+09	4.419	23.47
1.147e+09	4.375	23.4
1.161e+09	4.318	23.34
1.174e+09	4.255	23.27
1.188e+09	4.213	23.29
1.202e+09	4.148	23.22
1.215e+09	4.102	23.17
1.229e+09	4.073	23.14
1.243e+09	4.028	23.09
1.258e+09	3.975	23.03
1.272e+09	3.925	22.99
1.286e+09	3.87	22.93
1.301e+09	3.793	22.91
1.316e+09	3.741	22.93
1.33e+09	3.698	22.88
1.345e+09	3.633	22.82
1.36e+09	3.568	22.78
1.375e+09	3.508	22.81
1.39e+09	3.442	22.85
1.405e+09	3.372	22.8
1.42e+09	3.308	22.75
1.436e+09	3.244	22.74
1.451e+09	3.19	22.7
1.467e+09	3.138	22.66
1.482e+09	3.066	22.62
