# version: 0.0.0-2195-gca28196b-dirty
# seed: 0
# well_width: 1.3
# ff: 0.3
# N: 500
# walls: 0
# cell dimensions: (19.1123, 19.1123, 19.1123)
# translation_scale: 0.1
# energy_levels: 4501
# min_T: 0.5
# max_entropy_state: 1206
# min_important_energy: 2610
# too_high_energy: -1
# too_low_energy: -1

# iterations: 8146743000
# working moves: 1620570306770
# total moves: 4073371500000
# acceptance rate: 0.397845

# converged state: 2613
# converged temperature: 0.497812

# energy	lndos	ps
0	-1619.138809	0
1	-1619.138809	0
2	-1619.138809	0
3	-1619.138809	0
4	-1619.138809	0
5	-1619.138809	0
6	-1619.138809	0
7	-1619.138809	0
8	-1619.138809	0
9	-1619.138809	0
10	-1619.138809	0
11	-1619.138809	0
12	-1619.138809	0
13	-1619.138809	0
14	-1619.138809	0
15	-1619.138809	0
16	-1619.138809	0
17	-1619.138809	0
18	-1619.138809	0
19	-1619.138809	0
20	-1619.138809	0
21	-1619.138809	0
22	-1619.138809	0
23	-1619.138809	0
24	-1619.138809	0
25	-1619.138809	0
26	-1619.138809	0
27	-1619.138809	0
28	-1619.138809	0
29	-1619.138809	0
30	-1619.138809	0
31	-1619.138809	0
32	-1619.138809	0
33	-1619.138809	0
34	-1619.138809	0
35	-1619.138809	0
36	-1619.138809	0
37	-1619.138809	0
38	-1619.138809	0
39	-1619.138809	0
40	-1619.138809	0
41	-1619.138809	0
42	-1619.138809	0
43	-1619.138809	0
44	-1619.138809	0
45	-1619.138809	0
46	-1619.138809	0
47	-1619.138809	0
48	-1619.138809	0
49	-1619.138809	0
50	-1619.138809	0
51	-1619.138809	0
52	-1619.138809	0
53	-1619.138809	0
54	-1619.138809	0
55	-1619.138809	0
56	-1619.138809	0
57	-1619.138809	0
58	-1619.138809	0
59	-1619.138809	0
60	-1619.138809	0
61	-1619.138809	0
62	-1619.138809	0
63	-1619.138809	0
64	-1619.138809	0
65	-1619.138809	0
66	-1619.138809	0
67	-1619.138809	0
68	-1619.138809	0
69	-1619.138809	0
70	-1619.138809	0
71	-1619.138809	0
72	-1619.138809	0
73	-1619.138809	0
74	-1619.138809	0
75	-1619.138809	0
76	-1619.138809	0
77	-1619.138809	0
78	-1619.138809	0
79	-1619.138809	0
80	-1619.138809	0
81	-1619.138809	0
82	-1619.138809	0
83	-1619.138809	0
84	-1619.138809	0
85	-1619.138809	0
86	-1619.138809	0
87	-1619.138809	0
88	-1619.138809	0
89	-1619.138809	0
90	-1619.138809	0
91	-1619.138809	0
92	-1619.138809	0
93	-1619.138809	0
94	-1619.138809	0
95	-1619.138809	0
96	-1619.138809	0
97	-1619.138809	0
98	-1619.138809	0
99	-1619.138809	0
100	-1619.138809	0
101	-1619.138809	0
102	-1619.138809	0
103	-1619.138809	0
104	-1619.138809	0
105	-1619.138809	0
106	-1619.138809	0
107	-1619.138809	0
108	-1619.138809	0
109	-1619.138809	0
110	-1619.138809	0
111	-1619.138809	0
112	-1619.138809	0
113	-1619.138809	0
114	-1619.138809	0
115	-1619.138809	0
116	-1619.138809	0
117	-1619.138809	0
118	-1619.138809	0
119	-1619.138809	0
120	-1619.138809	0
121	-1619.138809	0
122	-1619.138809	0
123	-1619.138809	0
