0        6.20955923507307e-07
0.1      6.56372114054944e-07
0.2      6.91210800575696e-07
0.3      7.26840182400818e-07
0.4      7.62680272977656e-07
0.5      7.98058355776559e-07
0.6      8.32919106672099e-07
0.7      8.68589798569622e-07
0.8      9.0411114526422e-07
0.9      9.39241161018251e-07
1.0      9.74598705685663e-07
1.1      1.01065336320199e-06
1.2      1.01003606894707e-06
1.3      1.00829642271259e-06
1.4      1.00989777644198e-06
1.5      1.01010935304148e-06
1.6      1.01001289452705e-06
1.7      1.00974385848942e-06
1.8      1.00865758283061e-06
1.9      1.01014265382898e-06
2.0      1.00918249091317e-06
