# from huang2001shs
0.1000000000 0.0000000000
0.2000000000 0.0000000000
0.3000000000 0.0000000000
0.4000000000 0.0000000000
0.5000000000 0.0000000000
0.6000000000 0.0000000000
0.7000000000 0.0000000000
0.8000000000 0.0000000000
0.9000000000 0.0000000000
1.0000000000 0.0000000000
1.1000000000 0.0000000000
1.2000000000 0.0000000000
1.3000000000 0.0000000000
1.4000000000 0.0000000000
1.5000000000 0.0000000000
1.6000000000 0.0000000000
1.7000000000 0.0000000000
1.8000000000 0.0000000000
1.9000000000 0.0000000000
2.0000000000 1.0022012521
2.1000000000 1.8621664594
2.2000000000 1.7534938369
2.3000000000 1.6641905585
2.4000000000 1.5321384638
2.5000000000 1.4623009675
2.6000000000 1.3945719332
2.7000000000 1.3519755578
2.8000000000 1.3024832289
2.9000000000 1.2673746223
3.0000000000 1.2389630465
3.1000000000 1.1796287752
3.2000000000 1.1169916057
3.3000000000 1.0388875885
3.4000000000 0.9934330469
3.5000000000 0.9364013784
3.6000000000 0.9299502085
3.7000000000 0.8939604391
3.8000000000 0.9045283567
3.9000000000 0.9064358447
4.0000000000 0.8923960903
4.1000000000 0.8690875467
4.2000000000 0.8477072003
4.3000000000 0.8499172833
4.4000000000 0.8406641263
4.5000000000 0.8509538620
4.6000000000 0.8879096529
4.7000000000 0.9255628665
4.8000000000 0.9502209892
4.9000000000 0.9850301032
5.0000000000 0.9937191308
5.1000000000 1.0014362054
5.2000000000 1.0012998144
5.3000000000 1.0089206595
5.4000000000 1.0053393709
5.5000000000 0.9947398131
5.6000000000 1.0114306427
5.7000000000 0.9974776501
5.8000000000 0.9767418341
5.9000000000 0.9895338551
6.0000000000 0.9848253076
6.1000000000 0.9844598289
6.2000000000 0.9957205505
6.3000000000 0.9948566734
6.4000000000 0.9909150072
6.5000000000 0.9989417314
6.6000000000 1.0026227162
6.7000000000 0.9897321565
6.8000000000 1.0081908482
6.9000000000 1.0128374155
7.0000000000 1.0145121963
7.1000000000 1.0123428187
7.2000000000 1.0000521222
7.3000000000 0.9878256819
7.4000000000 0.9797272966
7.5000000000 0.9765380628
7.6000000000 0.9742852354
7.7000000000 0.9791995086
7.8000000000 0.9710083791
7.9000000000 0.9702529644
8.0000000000 0.9679596254
8.1000000000 0.9764496007
8.2000000000 0.9953324302
