# E	 Serror
-625	-0.08035
-626	-0.08258
-627	-0.08247
-628	-0.08481
-629	-0.08635
-630	-0.08721
-631	-0.08782
-632	-0.08877
-633	-0.08943
-634	-0.09277
-635	-0.09154
-636	-0.09295
-637	-0.0927
-638	-0.09414
-639	-0.09467
-640	-0.09513
-641	-0.0948
-642	-0.09351
-643	-0.09578
-644	-0.09637
-645	-0.0988
-646	-0.0993
-647	-0.09967
-648	-0.0986
-649	-0.09863
-650	-0.09898
-651	-0.09709
-652	-0.09826
-653	-0.09862
-654	-0.09996
-655	-0.1005
-656	-0.1008
-657	-0.09978
-658	-0.1018
-659	-0.09999
-660	-0.1004
-661	-0.1004
-662	-0.09784
-663	-0.09728
-664	-0.09699
-665	-0.09581
-666	-0.09688
-667	-0.09557
-668	-0.09311
-669	-0.09542
-670	-0.09222
-671	-0.09038
-672	-0.09208
-673	-0.08976
-674	-0.08867
-675	-0.0875
-676	-0.08332
-677	-0.0818
-678	-0.07789
-679	-0.07515
-680	-0.07446
-681	-0.07363
-682	-0.07106
-683	-0.07002
-684	-0.06869
-685	-0.06724
-686	-0.06811
-687	-0.07038
-688	-0.06917
-689	-0.06507
-690	-0.06442
-691	-0.06466
-692	-0.06328
-693	-0.06188
-694	-0.05943
-695	-0.06042
-696	-0.05927
-697	-0.05812
-698	-0.05512
-699	-0.05266
-700	-0.05109
-701	-0.0498
-702	-0.05084
-703	-0.04976
-704	-0.04602
-705	-0.04752
-706	-0.04754
-707	-0.04946
-708	-0.04977
-709	-0.05154
-710	-0.05482
-711	-0.05525
-712	-0.05445
-713	-0.05314
-714	-0.05572
-715	-0.05416
-716	-0.05306
-717	-0.05087
-718	-0.05011
-719	-0.0501
-720	-0.05013
-721	-0.05181
-722	-0.05141
-723	-0.04948
-724	-0.05096
-725	-0.05284
-726	-0.05268
-727	-0.05039
-728	-0.04993
-729	-0.0458
-730	-0.04588
-731	-0.04548
-732	-0.04722
-733	-0.04482
-734	-0.04296
-735	-0.04284
-736	-0.04314
-737	-0.04027
-738	-0.0403
-739	-0.03718
-740	-0.03601
-741	-0.03596
-742	-0.03602
-743	-0.03463
-744	-0.03347
-745	-0.032
-746	-0.03172
-747	-0.0297
-748	-0.03035
-749	-0.02995
-750	-0.02845
-751	-0.02724
-752	-0.02667
-753	-0.0276
-754	-0.02601
-755	-0.02542
-756	-0.02599
-757	-0.02367
-758	-0.02258
-759	-0.02055
-760	-0.01971
-761	-0.02089
-762	-0.01595
-763	-0.01611
-764	-0.01295
-765	-0.01257
-766	-0.00905
-767	-0.005839
-768	-0.002405
-769	-0.0006036
-770	0.0004732
-771	-0.0003732
-772	0.0002055
-773	-0.0003589
-774	-0.001518
-775	-0.002608
-776	-0.0005415
-777	0.0002249
-778	0.0009481
-779	0.0002949
-780	0.002158
-781	0.003551
-782	0.005535
-783	0.006933
-784	0.009331
-785	0.01305
-786	0.01394
-787	0.01246
-788	0.01441
-789	0.01237
-790	0.01423
-791	0.01438
-792	0.01547
-793	0.01673
-794	0.01906
-795	0.02494
-796	0.02868
-797	0.02663
-798	0.02975
-799	0.03027
-800	0.03435
-801	0.0345
-802	0.03683
-803	0.03923
-804	0.04366
-805	0.04349
-806	0.04502
-807	0.04572
-808	0.0453
-809	0.045
-810	0.04657
-811	0.04841
-812	0.04761
-813	0.04985
-814	0.05095
-815	0.05094
-816	0.05179
-817	0.05447
-818	0.05641
-819	0.05931
-820	0.06083
-821	0.06235
-822	0.06836
-823	0.06898
-824	0.07439
-825	0.07906
-826	0.08367
-827	0.08791
-828	0.08907
-829	0.09142
-830	0.09229
-831	0.09325
-832	0.09655
-833	0.097
-834	0.09574
-835	0.09569
-836	0.09452
-837	0.09529
-838	0.09673
-839	0.09733
-840	0.09823
-841	0.1
-842	0.09968
-843	0.1002
-844	0.09989
-845	0.1016
-846	0.1039
-847	0.1049
-848	0.1042
-849	0.1037
-850	0.1046
-851	0.1087
-852	0.1083
-853	0.1122
-854	0.1122
-855	0.1112
-856	0.1078
-857	0.1077
-858	0.1057
-859	0.1059
-860	0.1064
-861	0.1049
-862	0.1077
-863	0.1082
-864	0.1115
-865	0.113
-866	0.1148
-867	0.1196
-868	0.1207
-869	0.1224
-870	0.1251
