# version: 0.0.0-2192-gf1e731df-dirty
# seed: 5904706408274517152
# well_width: 1.3
# ff: 0.3
# N: 50
# walls: 0
# cell dimensions: (8.87113, 8.87113, 8.87113)
# translation_scale: 0.1
# energy_levels: 451
# min_T: 0.2
# max_entropy_state: 120
# min_important_energy: 267
# too_high_energy: -1
# too_low_energy: -1

# WL Factor: 1.39434e-08
# iterations: 143436694800
# working moves: 1730757189391
# total moves: 7171834740000
# acceptance rate: 0.241327

# converged state: 274
# converged temperature: 0.109236

# energy	lndos	ps	lndos_tm
169	-38.62939455	5555990	-38.6293
170	-40.01968152	5238579	-40.0196
171	-41.42652737	4942947	-41.4261
172	-42.84890507	4667560	-42.8484
173	-44.28675954	4410056	-44.2862
174	-45.73944541	4170915	-45.7393
175	-47.20772409	3947819	-47.2074
176	-48.69088281	3739213	-48.6902
177	-50.18837324	3543462	-50.1875
178	-51.69942687	3360406	-51.6994
179	-53.22584817	3188773	-53.2253
180	-54.76570622	3028566	-54.7653
181	-56.31942402	2878224	-56.3191
182	-57.88713517	2737022	-57.8868
183	-59.46827952	2604593	-59.4683
184	-61.0624896	2480232	-61.0635
185	-62.67147875	2363903	-62.6721
186	-64.29483499	2255466	-64.2946
187	-65.93104992	2152974	-65.9305
188	-67.58007345	2056950	-67.5801
189	-69.2433937	1967208	-69.2435
190	-70.91989576	1881938	-70.9204
191	-72.61045865	1802049	-72.6111
192	-74.31524756	1727145	-74.3158
193	-76.03503663	1656237	-76.0343
194	-77.76690704	1589343	-77.7672
195	-79.51424467	1526218	-79.5139
196	-81.27659805	1467053	-81.2752
197	-83.05224086	1410867	-83.0507
198	-84.84196808	1357690	-84.8411
199	-86.64482914	1307056	-86.6461
200	-88.46399734	1259170	-88.4665
201	-90.29863652	1213820	-90.3019
202	-92.14897478	1170845	-92.1528
203	-94.01529524	1129668	-94.0193
204	-95.897481	1090382	-95.9017
205	-97.79497412	1052556	-97.8
206	-99.70863287	1016488	-99.7146
207	-101.6393707	982052	-101.646
208	-103.5883599	948864	-103.594
209	-105.5527727	916904	-105.559
210	-107.5337336	886306	-107.541
211	-109.5334242	856486	-109.541
212	-111.5514386	827791	-111.559
213	-113.58653	799681	-113.594
214	-115.6412116	772359	-115.648
