# energies_found, t, ehi, elo
1 1 1212 1212
2 5 1212 1213
3 19 1212 1214
4 25 1212 1215
5 30 1212 1216
6 31 1212 1217
7 90 1212 1218
8 135 1212 1219
9 142 1212 1220
10 144 1212 1221
11 151 1212 1222
12 160 1212 1223
13 165 1212 1224
14 175 1212 1226
15 180 1212 1226
16 346 1211 1226
17 515 1209 1226
18 517 1209 1226
19 563 1208 1226
20 580 1207 1226
21 582 1206 1226
22 893 1206 1227
23 894 1206 1228
24 902 1206 1229
25 905 1206 1230
26 906 1206 1231
27 922 1206 1232
28 1063 1206 1233
29 1065 1206 1234
30 1070 1206 1236
31 1072 1206 1237
32 1094 1206 1237
33 1652 1206 1238
34 1653 1206 1239
35 1661 1206 1240
36 1666 1206 1241
37 1675 1206 1242
38 1684 1206 1243
39 1689 1206 1244
40 1713 1206 1245
41 2046 1206 1246
42 2053 1206 1247
43 2058 1206 1248
44 2097 1206 1249
45 2103 1206 1250
46 3377 1205 1250
47 3381 1204 1250
48 3384 1203 1250
49 3422 1201 1250
50 3431 1201 1250
51 3439 1200 1250
52 3440 1199 1250
53 3446 1198 1250
54 4212 1197 1250
55 4520 1196 1250
56 4521 1195 1250
57 4536 1194 1250
58 7429 1194 1252
59 7446 1194 1254
60 7450 1194 1256
61 7464 1194 1257
62 7483 1194 1257
63 7517 1194 1257
64 7583 1194 1257
65 7738 1194 1258
66 7745 1194 1259
67 7747 1194 1260
68 7816 1194 1261
69 7857 1194 1262
70 7864 1194 1263
71 7878 1194 1264
72 8986 1194 1265
73 8987 1194 1266
74 8992 1194 1267
75 9014 1194 1268
76 9040 1194 1269
77 9168 1194 1271
78 9170 1194 1272
79 9174 1194 1273
80 9178 1194 1274
81 9185 1194 1275
82 9196 1194 1276
83 9202 1194 1278
84 9212 1194 1279
85 9215 1194 1280
86 9218 1194 1281
87 9279 1194 1281
88 9371 1194 1281
89 9558 1194 1283
90 9564 1194 1284
91 9567 1194 1288
92 9573 1194 1289
93 9579 1194 1290
94 9583 1194 1291
95 9591 1194 1292
96 9611 1194 1293
97 9613 1194 1294
98 9633 1194 1294
99 9634 1194 1294
100 9647 1194 1294
101 9835 1194 1294
102 14834 1193 1294
103 14841 1192 1294
104 14859 1191 1294
105 14861 1189 1294
106 14862 1188 1294
107 16988 1188 1294
108 17000 1187 1294
109 25504 1187 1295
110 25514 1187 1296
111 25523 1187 1297
112 25526 1187 1298
113 25550 1187 1299
114 25556 1187 1300
115 25580 1187 1302
116 25584 1187 1302
117 25619 1187 1303
118 25620 1187 1304
119 25622 1187 1305
120 25628 1187 1306
121 25648 1187 1307
122 25650 1187 1308
123 25655 1187 1310
124 25659 1187 1311
125 25671 1187 1312
126 25678 1187 1313
127 25679 1187 1314
128 25683 1187 1315
129 25698 1187 1316
130 25709 1187 1317
131 25722 1187 1318
132 25733 1187 1319
133 25742 1187 1320
134 25753 1187 1321
135 25811 1187 1321
136 29036 1187 1322
137 29050 1187 1323
138 29149 1187 1325
139 29150 1187 1326
140 29154 1187 1327
141 29158 1187 1328
142 29179 1187 1328
143 31126 1187 1330
144 31130 1187 1331
145 31153 1187 1332
146 31155 1187 1333
147 31157 1187 1334
148 31238 1187 1334
149 50463 1187 1336
150 50480 1187 1337
151 50483 1187 1338
152 50484 1187 1339
153 50494 1187 1340
154 50502 1187 1342
155 50517 1187 1343
156 50527 1187 1344
157 50544 1187 1345
158 50554 1187 1347
159 50561 1187 1348
160 50563 1187 1349
161 50583 1187 1350
162 50610 1187 1351
163 50618 1187 1352
164 50650 1187 1353
165 50656 1187 1354
166 50658 1187 1356
167 50668 1187 1357
168 50678 1187 1358
169 50699 1187 1359
170 50715 1187 1360
171 50746 1187 1361
172 50771 1187 1362
173 50795 1187 1363
174 50819 1187 1364
175 51002 1187 1364
176 51082 1187 1364
177 51143 1187 1364
178 51325 1187 1364
179 56249 1187 1365
180 56254 1187 1366
181 56274 1187 1367
182 56300 1187 1368
183 56301 1187 1369
184 57166 1187 1373
185 57180 1187 1374
186 57181 1187 1375
187 57182 1187 1376
188 57187 1187 1377
189 57189 1187 1378
190 57210 1187 1379
191 57222 1187 1380
192 57257 1187 1381
193 57258 1187 1382
194 57405 1187 1382
195 57406 1187 1382
196 57428 1187 1382
197 69293 1186 1382
198 69296 1185 1382
199 69566 1184 1382
200 69569 1182 1382
201 69570 1181 1382
202 69577 1180 1382
203 69581 1179 1382
204 69584 1178 1382
205 69608 1178 1382
206 101425 1178 1383
207 101428 1178 1384
208 101431 1178 1385
209 101436 1178 1386
210 101442 1178 1387
211 101448 1178 1388
212 101455 1178 1389
213 101511 1178 1390
214 101555 1178 1391
215 101557 1178 1392
216 101567 1178 1393
217 101588 1178 1394
218 101591 1178 1395
219 101623 1178 1396
220 101644 1178 1397
221 101660 1178 1398
222 101744 1178 1399
223 101757 1178 1400
224 101790 1178 1401
225 101795 1178 1402
226 101808 1178 1403
227 101821 1178 1405
228 101846 1178 1405
229 101860 1178 1407
230 101895 1178 1407
231 101949 1178 1408
232 101965 1178 1409
233 101976 1178 1410
234 101987 1178 1411
235 101996 1178 1412
236 102005 1178 1413
237 102129 1178 1415
238 102134 1178 1415
239 102167 1178 1416
240 183854 1178 1417
241 183924 1178 1418
242 183928 1178 1419
243 183943 1178 1420
244 183951 1178 1421
245 183954 1178 1422
246 183965 1178 1423
247 183969 1178 1424
248 184005 1178 1425
249 184020 1178 1426
250 184030 1178 1427
251 184098 1178 1428
252 184105 1178 1429
253 184115 1178 1430
254 184129 1178 1431
255 184135 1178 1432
256 184140 1178 1433
257 184171 1178 1434
258 184180 1178 1435
259 184195 1178 1436
260 184216 1178 1437
261 184373 1178 1438
262 184375 1178 1439
263 184392 1178 1440
264 184393 1178 1441
265 184409 1178 1442
266 184419 1178 1443
267 184466 1178 1444
268 184503 1178 1445
269 184851 1178 1446
270 184860 1178 1447
271 185108 1178 1448
272 185115 1178 1449
273 185118 1178 1450
274 185200 1178 1451
275 185351 1178 1452
276 185362 1178 1453
277 185371 1178 1454
278 185374 1178 1455
279 185382 1178 1456
280 185408 1178 1457
281 185447 1178 1458
282 185451 1178 1459
283 185455 1178 1460
284 185476 1178 1461
285 185479 1178 1462
286 185501 1178 1463
287 185507 1178 1465
288 185533 1178 1466
289 185571 1178 1467
290 185601 1178 1468
291 185627 1178 1469
292 185652 1178 1470
293 185668 1178 1471
294 185701 1178 1472
295 185795 1178 1472
296 256023 1177 1472
297 294744 1176 1472
298 295123 1175 1472
299 295126 1174 1472
300 295134 1173 1472
301 295138 1172 1472
302 304019 1171 1472
303 304023 1170 1472
304 304049 1169 1472
305 304053 1168 1472
306 357021 1168 1473
307 357082 1168 1474
308 357098 1168 1475
309 357183 1168 1476
310 357239 1168 1477
311 357303 1168 1479
312 357304 1168 1480
313 357310 1168 1481
314 357329 1168 1482
315 357343 1168 1483
316 357410 1168 1484
317 357426 1168 1485
318 357441 1168 1486
319 357448 1168 1488
320 357452 1168 1489
321 357495 1168 1490
322 357496 1168 1491
323 357645 1168 1492
324 357686 1168 1493
325 357705 1168 1494
326 357706 1168 1495
327 357737 1168 1496
328 358002 1168 1497
329 358007 1168 1498
330 358015 1168 1499
331 358046 1168 1500
332 358067 1168 1501
333 358106 1168 1502
334 358129 1168 1503
335 358133 1168 1504
336 358263 1168 1505
337 358273 1168 1506
338 358290 1168 1507
