# moves	 wl_factor
2.408035000000000000e+08	5.000000000000000000e-01
2.700600000000000000e+08	2.500000000000000000e-01
3.735830000000000000e+08	1.250000000000000000e-01
4.726050000000000000e+08	6.250000000000000000e-02
6.053845000000000000e+08	3.125000000000000000e-02
7.291620000000000000e+08	1.562500000000000000e-02
8.101800000000000000e+08	7.812500000000000000e-03
9.542120000000000000e+08	3.906250000000000000e-03
1.030729000000000000e+09	1.953120000000000030e-03
1.255779000000000000e+09	9.765620000000000463e-04
1.386308000000000000e+09	4.882810000000000232e-04
1.647366000000000000e+09	2.441410000000000195e-04
1.984941000000000000e+09	1.220700000000000019e-04
2.662341500000000000e+09	6.103520000000000137e-05
3.400505500000000000e+09	3.051760000000000068e-05
4.642781500000000000e+09	1.525880000000000034e-05
6.882029000000000000e+09	7.629390000000000318e-06
9.809929500000000000e+09	3.814700000000000085e-06
1.435819000000000000e+10	1.907350000000000043e-06
4.272574250000000000e+10	9.536739999999999937e-07
1.612618280000000000e+11	4.768369999999999969e-07
2.134216665000000000e+11	2.384190000000000122e-07
5.923923635000000000e+11	1.192090000000000056e-07
7.985336625000000000e+11	5.960460000000000157e-08
2.242760530500000000e+12	2.980230000000000078e-08
2.284757111000000000e+12	1.490119999999999979e-08
