# round trips	 doserror
2.806e+04	0.1478
2.824e+04	-0.0943
2.841e+04	0.02357
2.856e+04	0.00269
2.87e+04	0.1348
2.886e+04	-0.1681
2.902e+04	-0.1904
2.918e+04	-0.2035
2.933e+04	-0.09461
2.949e+04	0.1433
2.964e+04	0.2412
2.979e+04	0.2488
2.994e+04	0.3334
3.009e+04	0.08085
3.024e+04	0.1199
3.041e+04	0.295
3.058e+04	-0.02905
3.075e+04	-0.1113
3.091e+04	0.07683
3.107e+04	-0.002013
3.124e+04	0.08318
3.14e+04	0.07582
3.155e+04	0.1389
3.172e+04	0.09293
3.189e+04	0.03071
3.206e+04	0.03679
3.221e+04	-0.06159
3.238e+04	0.05654
3.253e+04	0.07848
3.27e+04	-0.133
3.29e+04	0.2854
3.306e+04	0.2395
3.322e+04	-0.1039
3.339e+04	-0.03557
3.358e+04	0.06945
3.374e+04	-0.08667
3.392e+04	-0.09225
3.412e+04	0.2652
3.429e+04	0.2861
3.447e+04	0.03223
3.463e+04	-0.2869
3.481e+04	0.261
3.497e+04	0.01742
3.514e+04	0.04845
3.529e+04	-0.0635
3.55e+04	0.03125
3.567e+04	0.165
3.586e+04	0.01849
3.603e+04	-0.06706
3.62e+04	-0.2056
3.637e+04	0.05213
3.654e+04	-0.09537
3.671e+04	-0.07188
3.688e+04	0.03276
3.705e+04	0.3065
3.723e+04	-0.09813
3.742e+04	-0.2471
3.759e+04	-0.13
3.776e+04	0.1762
3.794e+04	0.1723
3.812e+04	-0.1757
3.83e+04	-0.07677
3.846e+04	0.09665
3.865e+04	0.03647
3.883e+04	-0.05404
3.9e+04	-0.04848
3.918e+04	0.04362
3.937e+04	-0.08318
3.956e+04	0.1329
3.976e+04	0.03747
3.993e+04	-0.2925
4.011e+04	0.0952
4.028e+04	-0.1197
4.046e+04	0.024
4.067e+04	0.04675
4.085e+04	0.07973
4.103e+04	-0.04245
4.118e+04	0.04475
4.137e+04	0.1036
4.156e+04	-0.1508
4.174e+04	0.001998
4.194e+04	0.09942
4.212e+04	0.1401
4.23e+04	0.02579
4.247e+04	-0.1538
4.268e+04	-0.07958
4.289e+04	0.1318
4.31e+04	-0.0754
4.329e+04	0.01674
4.35e+04	0.1404
4.368e+04	0.15
4.386e+04	-0.2326
4.404e+04	-0.177
4.423e+04	-0.09156
4.442e+04	-0.04832
4.462e+04	0.1531
4.48e+04	0.06178
4.5e+04	0.2114
4.518e+04	0.002003
4.538e+04	0.3218
4.556e+04	0.3405
4.576e+04	-0.0276
4.596e+04	-0.1503
4.615e+04	0.1383
4.635e+04	0.108
4.654e+04	-0.2074
4.672e+04	0.03265
4.692e+04	0.1162
4.712e+04	0.1112
4.732e+04	0.1142
4.752e+04	0.1252
4.772e+04	-0.1467
4.792e+04	0.07185
4.812e+04	0.08365
4.832e+04	0.2059
4.851e+04	-0.0391
4.87e+04	-0.1191
4.89e+04	-0.1602
4.91e+04	0.02067
4.930e+04	-0.3072
4.952e+04	0.243
4.973e+04	0.01619
4.994e+04	0.02115
5.016e+04	-0.1287
5.038e+04	-0.06686
5.059e+04	0.2101
5.08e+04	-0.001804
5.1e+04	0.1022
5.12e+04	-0.2069
5.14e+04	-0.03834
5.161e+04	0.1734
5.184e+04	0.07063
5.204e+04	-0.03245
5.225e+04	-0.04385
5.246e+04	0.1875
5.267e+04	0.01435
5.289e+04	-0.02562
5.309e+04	0.1154
5.334e+04	0.1976
5.353e+04	0.1071
5.376e+04	-0.03747
5.394e+04	-0.05011
5.414e+04	0.05529
5.435e+04	-0.02008
5.459e+04	0.07856
5.479e+04	0.1303
5.502e+04	0.09138
5.524e+04	0.1818
5.543e+04	0.1912
5.563e+04	0.03899
5.586e+04	-0.07728
5.608e+04	-0.03257
5.628e+04	0.1677
5.651e+04	0.1812
5.672e+04	-0.01401
5.695e+04	-0.01847
5.715e+04	0.01287
5.738e+04	0.1752
5.762e+04	-0.06146
5.782e+04	-0.1396
5.806e+04	0.1474
5.826e+04	0.01578
5.85e+04	0.08861
5.87e+04	-0.1548
5.893e+04	0.1161
5.918e+04	-0.1123
5.939e+04	0.09185
5.963e+04	0.1055
5.986e+04	0.1736
6.007e+04	0.1257
6.031e+04	0.008335
6.053e+04	-0.1288
6.074e+04	0.1063
6.099e+04	0.1992
6.122e+04	0.009368
6.143e+04	-0.03821
6.166e+04	0.2753
6.189e+04	0.1655
6.21e+04	-0.2056
6.232e+04	0.1201
6.255e+04	-0.02467
6.277e+04	0.07006
6.299e+04	-0.07841
6.324e+04	0.1024
