# well_width: 1.3
# ff: 0.3
# N: 20
# walls: 0
# cell dimensions: (6.53631, 6.53631, 6.53631)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 120
# min_T: 0.1
# fractional_sample_error after initialization: 0.0270457

# histogram method: simple flat
# none: 200
# iterations: 49152000
# working moves: 470932292
# total moves: 983040000
# acceptance rate: 0.479057

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0
24  0
25  0
26  0
27  0
28  0
29  0
30  0
31  0
32  0
33  0
34  0
35  0
36  0
37  0
38  0
39  0
40  0
41  0
42  0
43  0
44  0
45  0
46  0
47  0
48  0
49  0.0652224
50  0.229724
51  0.490805
52  0.846106
53  1.29319
54  1.83074
55  2.45577
56  3.1654
57  3.96023
58  4.83248
59  5.78589
60  6.81771
61  7.92174
62  9.09785
63  10.3409
64  11.6532
65  13.0319
66  14.4782
67  15.983
68  17.5507
69  19.1795
70  20.8676
71  22.6176
72  24.4259
73  26.3027
74  28.2358
75  30.2269
76  32.2841
77  34.4106
78  36.5916
79  38.8447
80  41.161
81  43.5425
82  45.9848
83  48.4818
84  51.0224
85  53.5982
86  56.1795
87  58.7487
88  61.2963
89  63.816
90  66.3214
91  68.8586
92  71.4755
93  74.2652
94  77.3795
95  81.1465
96  89.4149
97  99.0668
98  109.067
99  119.067
100  129.067
101  139.067
102  149.067
103  159.067
104  169.067
105  179.067
106  189.067
107  199.067
108  209.067
109  219.067
110  229.067
111  239.067
112  249.067
113  259.067
114  269.067
115  279.067
116  289.067
117  299.067
118  309.067
119  319.067
