# well_width: 1.3
# ff: 0.3
# N: 20
# walls: 0
# cell dimensions: (6.53631, 6.53631, 6.53631)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 120
# min_T: 0.2
# fractional_sample_error after initialization: 0.909737
# min_important_energy after initialization: 95

# histogram method: simple flat
# none: 3000000
# iterations: 3000000
# working moves: 29547517
# total moves: 60000000
# acceptance rate: 0.492459

# energy	samples
48  0
49  187568
50  101901
51  66447
52  46157
53  33177
54  24389
55  18505
56  14258
57  11143
58  8876
59  7207
60  5831
61  4749
62  3912
63  3279
64  2731
65  1484
66  1239
67  1163
68  1082
69  978
70  891
71  781
72  698
73  616
74  551
75  487
76  432
77  388
78  357
79  320
80  294
81  270
82  235
83  197
84  173
85  146
86  121
87  89
88  77
89  52
90  32
91  22
92  15
93  13
94  8
95  7
96  3
