# well_width: 1.3
# ff: 0.3
# N: 8
# walls: 0
# cell dimensions: (4.44366, 4.44366, 5.65685)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 48
# min_T: 0.2
# fractional_sample_error after initialization: 0.164286
# min_important_energy after initialization: 26

# histogram method: simple flat
# none: 3000000
# iterations: 3000000
# working moves: 7084609
# total moves: 11420160
# acceptance rate: 0.62036

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  -0.0487118
18  0.211404
19  0.697804
20  1.64532
21  2.99476
22  4.65053
23  6.73782
24  9.30072
25  12.417
26  7.10806
27  12.1081
28  17.1081
29  22.1081
30  27.1081
31  32.1081
32  37.1081
33  42.1081
34  47.1081
35  52.1081
36  57.1081
37  62.1081
38  67.1081
39  72.1081
40  77.1081
41  82.1081
42  87.1081
43  92.1081
44  97.1081
45  102.108
46  107.108
47  112.108
