# well_width: 1.3
# ff: 0.3
# N: 15
# walls: 0
# cell dimensions: (5.93863, 5.93863, 5.93863)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 84
# min_T: 0.2
# fractional_sample_error after initialization: 0.336469
# min_important_energy after initialization: 72

# histogram method: simple flat
# none: 3000000
# iterations: 3000000
# working moves: 2873172
# total moves: 6311700
# acceptance rate: 0.455214

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0
24  0
25  0
26  0
27  0
28  0
29  0
30  0
31  0
32  0
33  0
34  0
35  0
36  0
37  0.0695512
38  0.262733
39  0.5835
40  1.00899
41  1.55863
42  2.21612
43  2.85242
44  3.70988
45  4.7724
46  5.83331
47  5.83883
48  7.26585
49  9.45219
50  10.9769
51  12.4827
52  14.0668
53  15.7335
54  17.494
55  19.3353
56  21.1151
57  23.1475
58  25.4487
59  27.7011
60  30.0449
61  32.371
62  35.0529
63  37.714
64  40.5183
65  43.4677
66  46.5627
67  49.8422
68  53.3292
69  57.0226
70  61.0411
71  65.3675
72  70.0378
73  75.1977
74  69.2213
75  74.2213
76  79.2213
77  84.2213
78  89.2213
79  94.2213
80  99.2213
81  104.221
82  109.221
83  114.221
