# version: 0.0.0-115-g9829181-dirty
# well_width: 1.3
# ff: 0.3
# N: 21
# walls: 0
# cell dimensions: (6.64348, 6.64348, 6.64348)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 120
# min_T: 0.2
# fractional_sample_error after initialization: 0.00849982
# min_important_energy after initialization: 102

# histogram method: simple flat
# init_iter_limit: 44100000
# iterations: 44100000
# working moves: 458421682
# total moves: 926100000
# acceptance rate: 0.495002

# energy	samples
50  0
51  2777160
52  1513414
53  989565
54  694748
55  504715
56  377178
57  286932
58  222162
59  175165
60  139961
61  113051
62  92309
63  75870
64  62889
65  52486
66  44179
67  37410
68  31841
69  27297
70  23552
71  20303
72  17597
73  15271
74  13333
75  11577
76  10145
77  8868
78  7913
79  6942
80  6180
81  5474
82  4868
83  4358
84  3864
85  3399
86  2980
87  2610
88  2289
89  1962
90  1663
91  1357
92  1083
93  850
94  692
95  553
96  443
97  354
98  266
99  212
100  174
101  130
102  113
103  2
