# git version: 0.0.0-2154-ge1712eac
# fac figs/new-melting.mkdat && figs/new-melting.mkdat --kT 2 --n 1.3 --gw=0.1 --fv 0 --mc-error 1e-3 --dx 1 | tail -1 >> DATA_LOGS/n1.3_T2_gw_0.1_fv_0.dat

# FROZEN

# homogeneous free energy: -3.31428


#dx	mc-err	phi1	phi2	phi3	Ftot		Fideal		time-in-min


0.8	0.0001	2.83372	14.6689	13.6549	-3.7798		-34.9373	18.6192
0.9	0.0001	2.82984	14.6698	13.8403	-3.59729	-34.9373	9.79715
1	0.0001	2.82984	14.6698	13.8403	-3.59708	-34.9371	9.96923
2	0.0001	3.01566	19.701	24.9926	12.1587		-35.5506	0.945869
5	0.0001	1.11684	2.28666	3.11838	-443.011	-449.533	0.0174396

0.2	0.001	2.78681	14.2412	12.9853	-4.92403	-34.9373	9.49581
0.3	0.001	2.78586	14.2403	13.0017	-4.90946	-34.9373	2.5117
0.5	0.001	2.78135	14.1903	12.9331	-5.03263	-34.9373	0.6698
0.6	0.001	2.77497	14.1318	12.8367	-5.19383	-34.9373	0.412059
0.7	0.001	2.78786	14.2625	13.0905	-4.79644	-34.9373	0.231367
0.8	0.001	2.78786	14.2625	13.0905	-4.79644	-34.9373	0.227921
0.9	0.001	2.79117	14.3076	13.219	-4.61942	-34.9373	0.115604
1	0.001	2.79117	14.3076	13.219	-4.61921	-34.9371	0.117365
2	0.001	2.96818	19.1822	23.8806	10.4804		-35.5506	0.0146634
5	0.001	1.12493	2.31595	3.14602	-442.946	-449.533	0.000274983

0.1	0.01	2.75994	14.2099	13.1835	-4.78401	-34.9373	0.702297
0.2	0.01	2.76215	14.2214	13.1816	-4.77208	-34.9373	0.0940036
0.3	0.01	2.75571	14.146	13.0358	-4.99979	-34.9373	0.0256233
0.5	0.01	2.76663	14.2581	13.2557	-4.6569		-34.9373	0.00663915
0.6	0.01	2.75069	14.1805	13.009	-4.99713	-34.9373	0.0041489
0.7	0.01	2.78207	14.3906	13.599	-4.16566	-34.9373	0.0023612
0.8	0.01	2.78207	14.3906	13.599	-4.16566	-34.9373	0.00238947
0.9	0.01	2.79871	14.6307	13.9981	-3.50972	-34.9373	0.00127708
1	0.01	2.79871	14.6307	13.9981	-3.50952	-34.9371	0.00132923
2	0.01	2.99637	20.1318	25.9466	13.5242		-35.5506	9.83833e-05
5	0.01	1.01068	1.96288	2.61878	-443.941	-449.533	2.78833e-05

#0.1	0.1	NAN! 
#0.2	0.1	NAN!
#0.3	0.1	NAN! 
#0.5	0.1	NAN! 
#0.6	0.1	NAN! 
0.7	0.1	2.92923	15.2542	17.1202	3.50282		-31.8007	0.00142578
#0.8	0.1	NAN!
0.9	0.1	2.78841	13.9714	14.0442	-0.996679	-31.8007	0.0006699
1	0.1	2.78841	13.9714	14.0442	-0.996677	-31.8007	0.000645183
2	0.1	2.80162	14.1427	18.2145	1.27936		-33.8795	0.000337667
5	0.1	0.0694255 0.120565 0.298387 -169.858	-170.347	0.000286733

#0.1	0.999	NAN! 
#0.2	0.999	NAN!
#0.3	0.999	NAN! 
#0.5	0.999	NAN! 
#0.6	0.999	NAN! 
0.7	0.999	2.92923	15.2542	17.1202	3.50282		-31.8007	0.0014276
#0.8	0.999	NAN! 
0.9	0.999	2.78841	13.9714	14.0442	-0.996679	-31.8007	0.000667633
1	0.999	2.78841	13.9714	14.0442	-0.996677	-31.8007	0.000630767
2	0.999	2.80162	14.1427	18.2145	1.27936		-33.8795	0.000344567
5	0.999	0.0694255 0.120565 0.298387 -169.858	-170.347	0.000305517
