# git version: 0.0.0-2154-ge1712eac
# fac figs/new-melting.mkdat && figs/new-melting.mkdat --kT 2 --n 1.0 --gw=0.13 --fv 0 --mc-error 1e-3 --dx 1 | tail -1 >> DATA_LOGS/n1.0_T2_gw_0.13_fv_0.dat

# NOT FROZEN

# homogeneous free energy:  -18.6478

#dx	mc-err	phi1	phi2	phi3	Ftot		Fideal		time-in-min

0.7	0.0001	1.52389	4.5383	1.49315	-18.4804	-26.0358	22.4383
0.8	0.0001	1.52629	4.56301	1.51857	-18.4279	-26.0357	12.8638
0.9	0.0001	1.52629	4.56301	1.51857	-18.4279	-26.0357	12.6129
1	0.0001	1.52275	4.56875	1.65859	-18.2857	-26.0357	6.02695
2	0.0001	1.46135	9.46377	6.91347	-8.39367	-26.2323	0.80927
5	0.0001	0.559644 1.07292 1.82229 -79.9209	-83.3758	0.00418128

0.2	0.001	1.50789	4.39537	1.43148	-18.701		-26.0358	8.92811
0.3	0.001	1.50841	4.40118	1.43272	-18.6934	-26.0358	3.06031
0.5	0.001	1.50735	4.39232	1.4334	-18.7027	-26.0358	0.564379
0.6	0.001	1.51131	4.43303	1.45028	-18.6411	-26.0358	0.389025
0.7	0.001	1.50479	4.36038	1.41922	-18.7514	-26.0358	0.230012
0.8	0.001	1.50712	4.39512	1.45495	-18.6786	-26.0357	0.1298
0.9	0.001	1.50712	4.39512	1.45495	-18.6786	-26.0357	0.129664
1	0.001	1.50077	4.37202	1.58154	-18.5814	-26.0357	0.0750494
2	0.001	1.46388	9.46382	6.91724	-8.38731	-26.2323	0.0124989
5	0.001	0.568916 1.0542	1.69403	-80.0587	-83.3758	6.99667e-05

0.1	0.01	1.50681	4.4466	1.50024	-18.5821	-26.0358	0.623245
0.2	0.01	1.508	4.45345	1.4979	-18.5764	-26.0358	0.0778309
0.3	0.01	1.50381	4.4144	1.46657	-18.651		-26.0358	0.0266137
0.5	0.01	1.51207	4.48203	1.49928	-18.5424	-26.0358	0.00520623
0.6	0.01	1.50418	4.43433	1.48077	-18.6165	-26.0358	0.00342802
0.7	0.01	1.50773	4.46641	1.52539	-18.5362	-26.0358	0.00229763
0.8	0.01	1.5	4.33816	1.43651	-18.7611	-26.0357	0.00136987
0.9	0.01	1.5	4.33816	1.43651	-18.7611	-26.0357	0.00133868
1	0.01	1.49803	4.39686	1.62814	-18.5127	-26.0357	0.00060755
2	0.01	1.51809	9.80562	7.30523	-7.60331	-26.2323	0.000154317
5	0.01	0.568916 1.0542	1.69403	-80.0587	-83.3758	6.98833e-05

0.1	0.1	1.5647	4.81787	1.82749	-17.8257	-26.0358	0.1588
#0.2	0.1 NAN!
0.3	0.1	1.55807	4.77463	1.7524	-17.9507	-26.0358	0.00675978
0.5	0.1	1.55012	4.63259	1.6554	-18.1976	-26.0358	0.00133135
0.6	0.1	1.54383	4.63545	1.70747	-18.149		-26.0358	0.000898767
0.7	0.1	1.58899	4.91581	1.8527	-17.6782	-26.0358	0.00060685
0.8	0.1	1.56216	4.75936	1.7079	-18.0063	-26.0357	0.000359183
0.9	0.1	1.56216	4.75936	1.7079	-18.0063	-26.0357	0.00034165
1	0.1	1.58698	4.81911	1.99077	-17.6389	-26.0357	0.000236017
2	0.1	1.63847	10.7355	8.79275	-5.0655		-26.2323	8.5e-05
5	0.1	0.568916 1.0542	1.69403	-80.0587	-83.3758	7.03333e-05

0.1	0.999	1.5647	4.81787	1.82749	-17.8257	-26.0358	0.159724
#0.2	0.999 NAN!
0.3	0.999	1.55807	4.77463	1.7524	-17.9507	-26.0358	0.00675992
0.5	0.999	1.55012	4.63259	1.6554	-18.1976	-26.0358	0.00132742
0.6	0.999	1.54383	4.63545	1.70747	-18.149		-26.0358	0.0008974
0.7	0.999	1.58899	4.91581	1.8527	-17.6782	-26.0358	0.00060055
0.8	0.999	1.56216	4.75936	1.7079	-18.0063	-26.0357	0.00035905
0.9	0.999	1.56216	4.75936	1.7079	-18.0063	-26.0357	0.000341117
1	0.999	1.58698	4.81911	1.99077	-17.6389	-26.0357	0.0002366
2	0.999	1.63847	10.7355	8.79275	-5.0655		-26.2323	8.52333e-05
5	0.999	0.568916 1.0542	1.69403	-80.0587	-83.3758	7.04167e-05
