# git version: 0.0.0-2154-ge1712eac
# fac figs/new-melting.mkdat && figs/new-melting.mkdat --kT 2 --n 1.3 --gw=0.2 --fv 0 --mc-error 1e-3 --dx 1 | tail -1 >> DATA_LOGS/n1.3_T2_gw_0.2_fv_0.dat

# FROZEN

# homogeneous free energy:  -3.31428

#dx	mc-err	phi1	phi2	phi3	Ftot		Fideal		time-in-min



0.8	0.0001	2.8038	14.6842	14.0784	-5.2632		-36.8296	17.4363
0.9	0.0001	2.82092	14.8817	14.5072	-4.61982	-36.8296	8.79639
1	0.0001	2.82092	14.8817	14.5072	-4.61886	-36.8287	8.81723
2	0.0001	2.81836	15.8534	16.7854	-3.74857	-39.2057	1.86126
5	0.0001	2.13256	5.53533	5.31572	-190.367	-203.35		0.267098

0.2	0.001	2.72607	14.0611	13.1005	-6.94212	-36.8297	7.35814
0.3	0.001	2.72055	14.0188	13.0355	-7.05497	-36.8297	1.94586
0.5	0.001	2.72913	14.0758	13.1284	-6.89637	-36.8297	0.578061
0.6	0.001	2.72724	14.0745	13.1234	-6.9046		-36.8297	0.320831
0.7	0.001	2.71466	13.9603	12.9097	-7.24516	-36.8298	0.17595
0.8	0.001	2.71466	13.9603	12.9097	-7.24502	-36.8296	0.175842
0.9	0.001	2.73879	14.192	13.3755	-6.52334	-36.8296	0.0686079
1	0.001	2.73879	14.192	13.3755	-6.52238	-36.8287	0.0694165
2	0.001	2.64228	14.3354	14.1564	-8.07164	-39.2057	0.0205853
5	0.001	2.04464	5.08719	4.60707	-191.612	-203.35		0.00111995

0.1	0.01	2.69719	14.0698	13.2049	-6.85792	-36.8297	0.688096
0.2	0.01	2.71161	14.1866	13.4078	-6.52371	-36.8297	0.09566
0.3	0.01	2.71297	14.1963	13.3862	-6.53424	-36.8297	0.025288
0.5	0.01	2.71426	14.2313	13.4822	-6.40195	-36.8297	0.00765168
0.6	0.01	2.72448	14.267	13.5391	-6.29914	-36.8297	0.0044141
0.7	0.01	2.72159	14.3201	13.6929	-6.09516	-36.8298	0.00209257
0.8	0.01	2.72159	14.3201	13.6929	-6.09503	-36.8296	0.0021393
0.9	0.01	2.76225	14.417	13.7939	-5.85646	-36.8296	0.000993167
1	0.01	2.76225	14.417	13.7939	-5.8555		-36.8287	0.00100688
2	0.01	2.75014	15.1463	15.6199	-5.68937	-39.2057	0.000304183
5	0.01	2.70609	9.35408	12.2256	-179.065	-203.35		2.45833e-05

#0.1	0.1	NAN!
0.2	0.1	3.0492	17.2504	21.9484	5.41833		-36.8297	0.0131899
#0.3	0.1	NAN!
0.5	0.1	2.96641	16.4478	18.799	1.38342		-36.8297	0.00107432
0.6	0.1	3.09882	17.7867	21.7873	5.84302		-36.8297	0.000611967
0.7	0.1	3.121	18.1958	24.9638	9.45078		-36.8298	0.000328733
0.8	0.1	3.121	18.1958	24.9638	9.45091		-36.8296	0.00031745
0.9	0.1	2.81244	14.489	15.4237	-4.10444	-36.8296	0.000142483
1	0.1	2.81244	14.489	15.4237	-4.10347	-36.8287	0.0001463
2	0.1	3.28864	20.9797	34.476	19.5387		-39.2057	3.615e-05
5	0.1	2.62648	8.7298	10.8122	-181.182	-203.35		6.18333e-06

#0.1	0.999	NAN!
0.2	0.999	3.0492	17.2504	21.9484	5.41833		-36.8297	0.0133855
#0.3	0.999	NAN!
0.5	0.999	2.96641	16.4478	18.799	1.38342		-36.8297	0.00105993
0.6	0.999	3.09882	17.7867	21.7873	5.84302		-36.8297	0.0006162
0.7	0.999	3.121	18.1958	24.9638	9.45078		-36.8298	0.000326533
0.8	0.999	3.121	18.1958	24.9638	9.45091		-36.8296	0.00031725
0.9	0.999	2.81244	14.489	15.4237	-4.10444	-36.8296	0.0001474
1	0.999	2.81244	14.489	15.4237	-4.10347	-36.8287	0.000133133
2	0.999	3.28864	20.9797	34.476	19.5387		-39.2057	3.76667e-05
5	0.999	2.62648	8.7298	10.8122	-181.182	-203.35		6.43333e-06
