# git version: 0.0.0-2154-ge1712eac
# fac figs/new-melting.mkdat && figs/new-melting.mkdat --kT 2 --n 1.3 --gw=0.18 --fv 0 --mc-error 1e-3 --dx 1 | tail -1 >> DATA_LOGS/n1.3_T2_gw_0.18_fv_0.dat

# FROZEN

# homogeneous free energy: -3.31428

#dx	mc-err	phi1	phi2	phi3	Ftot		Fideal		time-in-min

0.7	0.0001	2.81381	14.6716	13.9316	-4.79924	-36.2163	24.281
0.8	0.0001	2.81445	14.6884	13.9629	-4.75062	-36.2163	13.1566
0.9	0.0001	2.81445	14.6884	13.9629	-4.75037	-36.2161	13.1585
1	0.0001	2.80406	14.6544	14.0262	-4.73137	-36.2161	6.5784
2	0.0001	2.83536	16.5086	18.2063	1.28226		-36.268		1.31418
5	0.0001	1.89295	4.5825	5.10631	-260.475	-272.057	0.0683291

0.2	0.001	2.74904	14.146	13.1069	-6.21438	-36.2163	7.86967
0.3	0.001	2.74975	14.1506	13.113	-6.20295	-36.2163	2.35611
0.5	0.001	2.75677	14.2169	13.2436	-5.99906	-36.2163	0.503715
0.6	0.001	2.75414	14.182	13.1401	-6.14012	-36.2163	0.274864
0.7	0.001	2.75414	14.182	13.1401	-6.14011	-36.2163	0.275199
0.8	0.001	2.75116	14.1551	13.0877	-6.22242	-36.2163	0.157176
0.9	0.001	2.75116	14.1551	13.0877	-6.22218	-36.2161	0.157752
1	0.001	2.74519	14.1824	13.2279	-6.06052	-36.2161	0.0640023
2	0.001	2.7106	15.339	16.061	-2.15731	-36.268		0.0156286
5	0.001	1.9258	4.93137	5.82484	-259.375	-272.057	0.0010505

0.1	0.01	2.72807	14.1952	13.3169	-5.97614	-36.2163	0.669752
0.2	0.01	2.72396	14.172	13.2818	-6.03862	-36.2163	0.0927896
0.3	0.01	2.71219	14.0761	13.1209	-6.30719	-36.2163	0.0274479
0.5	0.01	2.75388	14.3937	13.6444	-5.4243		-36.2163	0.00592782
0.6	0.01	2.7567	14.4037	13.719	-5.33691	-36.2163	0.00356868
0.7	0.01	2.7567	14.4037	13.719	-5.3369		-36.2163	0.00355968
0.8	0.01	2.73431	14.2329	13.5284	-5.72075	-36.2163	0.00156518
0.9	0.01	2.73431	14.2329	13.5284	-5.72051	-36.2161	0.00155765
1	0.01	2.77681	14.6173	14.2187	-4.60322	-36.2161	0.00085525
2	0.01	2.80754	16.5021	18.2477	1.28942		-36.268		0.000173833
5	0.01	2.1021	5.90986	7.9228	-256.122	-272.057	1.98667e-05

#0.1	0.1	NAN!
0.2	0.1	2.99699	16.806	21.2836	4.87029		-36.2163	0.0138192
0.3	0.1	3.00341	16.6056	19.9469	3.33957		-36.2163	0.00407517
0.5	0.1	3.03342	16.9813	20.9002	4.6986		-36.2163	0.000907483
0.6	0.1	2.97191	16.3121	18.2423	1.30994		-36.2163	0.000512567
0.7	0.1	2.97191	16.3121	18.2423	1.30995		-36.2163	0.00050755
0.8	0.1	2.98339	16.6547	19.1517	2.57343		-36.2163	0.00025575
0.9	0.1	2.98339	16.6547	19.1517	2.57367		-36.2161	0.000252983
1	0.1	2.90062	15.723	17.0227	-0.569718	-36.2161	0.000117467
2	0.1	2.89536	16.2659	18.7139	1.60725		-36.268		3.95333e-05
5	0.1	2.04772	5.2987	6.02179	-258.688	-272.057	7.85e-06

#0.1	0.999	NAN!
0.2	0.999	2.99699	16.806	21.2836	4.87029		-36.2163	0.0137208
0.3	0.999	3.00341	16.6056	19.9469	3.33957		-36.2163	0.00407293
0.5	0.999	3.03342	16.9813	20.9002	4.6986		-36.2163	0.000905767
0.6	0.999	2.97191	16.3121	18.2423	1.30994		-36.2163	0.000513633
0.7	0.999	2.97191	16.3121	18.2423	1.30995		-36.2163	0.000509733
0.8	0.999	2.98339	16.6547	19.1517	2.57343		-36.2163	0.000254517
0.9	0.999	2.98339	16.6547	19.1517	2.57367		-36.2161	0.000253217
1	0.999	2.90062	15.723	17.0227	-0.569718	-36.2161	0.000117783
2	0.999	2.89536	16.2659	18.7139	1.60725		-36.268		3.86833e-05
5	0.999	2.04772	5.2987	6.02179	-258.688	-272.057	7.88333e-06
