# git version: 0.0.0-2154-ge1712eac
# fac figs/new-melting.mkdat && figs/new-melting.mkdat --kT 2 --n 1.1 --gw=0.15 --fv 0 --mc-error 1e-3 --dx 1 | tail -1 >> DATA_LOGS/n1.1_T2_gw_0.15_fv_0.dat

# FROZEN

# homogeneous free energy: -16.524

#dx	mc-err	phi1	phi2	phi3	Ftot		Fideal		time-in-min

0.7	0.0001	1.8459	7.22129	3.65997	-16.8465	-29.5737	15.9015
0.8	0.0001	1.8459	7.22129	3.65997	-16.8465	-29.5737	16.0211
0.9	0.0001	1.84482	7.23106	3.74838	-16.7494	-29.5736	6.98081
1	0.0001	1.84482	7.23106	3.74838	-16.7494	-29.5736	6.72702
2	0.0001	1.88837	10.9582	9.00676	-8.75118	-30.6045	0.899831
5	0.0001	1.1099	2.23665	2.99708	-51.2613	-57.605		0.0166908

0.2	0.001	1.81856	6.99716	3.46474	-17.2932	-29.5737	9.25014
0.3	0.001	1.819	6.99999	3.45757	-17.2971	-29.5737	2.69497
0.5	0.001	1.82379	7.03879	3.49736	-17.2137	-29.5737	0.521044
0.6	0.001	1.83036	7.09697	3.5484	-17.098		-29.5737	0.33522
0.7	0.001	1.82015	7.01704	3.52933	-17.2072	-29.5737	0.194649
0.8	0.001	1.82015	7.01704	3.52933	-17.2071	-29.5737	0.194109
0.9	0.001	1.8266	7.09953	3.68575	-16.9617	-29.5736	0.086264
1	0.001	1.8266	7.09953	3.68575	-16.9617	-29.5736	0.0866589
2	0.001	1.8786	10.8677	8.95456	-8.90357	-30.6045	0.014244
5	0.001	1.10763	2.19432	2.85776	-51.4452	-57.605		0.000268333

0.1	0.01	1.80864	7.03474	3.57526	-17.155		-29.5737	0.682895
0.2	0.01	1.81186	7.07475	3.61012	-17.077		-29.5737	0.0935616
0.3	0.01	1.80612	7.02159	3.59809	-17.1479	-29.5737	0.0271494
0.5	0.01	1.81185	7.08626	3.6028	-17.0728	-29.5737	0.00547863
0.6	0.01	1.81654	7.08111	3.57629	-17.0997	-29.5737	0.00332488
0.7	0.01	1.81523	7.06595	3.60136	-17.0911	-29.5737	0.00215743
0.8	0.01	1.81523	7.06595	3.60136	-17.0911	-29.5737	0.00214808
0.9	0.01	1.79901	7.01915	3.60345	-17.152		-29.5736	0.00102998
1	0.01	1.79901	7.01915	3.60345	-17.152		-29.5736	0.00105088
2	0.01	1.85818	11.0166	9.07402	-8.65563	-30.6045	9.89e-05
5	0.01	0.993698 1.84894 2.35392 -52.4084	-57.605		2.32833e-05

0.1	0.1	1.91142	7.73089	4.43159	-15.4998	-29.5737	0.125549
0.2	0.1	1.91465	7.71386	4.39894	-15.5462	-29.5737	0.0168273
0.3	0.1	1.92145	7.80719	4.48206	-15.363		-29.5737	0.00506877
0.5	0.1	1.87869	7.45764	4.09323	-16.1441	-29.5737	0.00103953
0.6	0.1	1.92649	7.87595	4.6561	-15.1152	-29.5737	0.000636767
0.7	0.1	1.90086	7.60518	4.21991	-15.8477	-29.5737	0.000385033
0.8	0.1	1.90086	7.60518	4.21991	-15.8477	-29.5737	0.000368417
0.9	0.1	1.98865	7.95599	4.87024	-14.7588	-29.5736	0.0002031
1	0.1	1.98865	7.95599	4.87024	-14.7588	-29.5736	0.000203067
2	0.1	2.09148	13.2396	12.5262	-2.74719	-30.6045	3.91833e-05
5	0.1	0.993698 1.84894 2.35392 -52.4084	-57.605		2.09167e-05

0.1	0.999	1.91142	7.73089	4.43159	-15.4998	-29.5737	0.125673
0.2	0.999	1.91465	7.71386	4.39894	-15.5462	-29.5737	0.0168286
0.3	0.999	1.92145	7.80719	4.48206	-15.363		-29.5737	0.00505977
0.5	0.999	1.87869	7.45764	4.09323	-16.1441	-29.5737	0.00103915
0.6	0.999	1.92649	7.87595	4.6561	-15.1152	-29.5737	0.000637333
0.7	0.999	1.90086	7.60518	4.21991	-15.8477	-29.5737	0.00038595
0.8	0.999	1.90086	7.60518	4.21991	-15.8477	-29.5737	0.000368533
0.9	0.999	1.98865	7.95599	4.87024	-14.7588	-29.5736	0.000202983
1	0.999	1.98865	7.95599	4.87024	-14.7588	-29.5736	0.000203033
2	0.999	2.09148	13.2396	12.5262	-2.74719	-30.6045	3.905e-05
5	0.999	0.993698 1.84894 2.35392 -52.4084	-57.605		2.11333e-05
