# git version: 0.0.0-2154-ge1712eac
# fac figs/new-melting.mkdat && figs/new-melting.mkdat --kT 2 --n 1.2 --gw=0.18 --fv 0 --mc-error 1e-3 --dx 1 | tail -1 >> DATA_LOGS/n1.2_T2_gw_0.18_fv_0.dat

# FROZEN

# homogeneous free energy: -11.9745

#dx	mc-err	phi1	phi2	phi3	Ftot		Fideal		time-in-min

0.7	0.0001	2.27285	10.6268	7.72788	-12.8353	-33.4628	20.0805
0.8	0.0001	2.2594	10.5206	7.62663	-13.0562	-33.4628	12.7755
0.9	0.0001	2.2594	10.5206	7.62663	-13.056		-33.4626	12.7746
1	0.0001	2.26287	10.6106	7.82617	-12.763		-33.4626	4.21445
2	0.0001	2.25606	12.0971	10.5806	-8.59713	-33.5309	1.29966
5	0.0001	1.76294	3.84865	3.798	-262.647	-272.056	0.065932

0.2	0.001	2.21652	10.2029	7.22519	-13.8182	-33.4628	7.24397
0.3	0.001	2.21496	10.1895	7.20944	-13.8489	-33.4628	2.15197
0.5	0.001	2.22113	10.2386	7.27726	-13.7258	-33.4628	0.459037
0.6	0.001	2.21362	10.1803	7.20757	-13.8613	-33.4628	0.272613
0.7	0.001	2.21362	10.1803	7.20757	-13.8613	-33.4628	0.270658
0.8	0.001	2.21401	10.1999	7.25525	-13.7937	-33.4628	0.153439
0.9	0.001	2.21401	10.1999	7.25525	-13.7935	-33.4626	0.153529
1	0.001	2.23446	10.4117	7.55581	-13.2606	-33.4626	0.0633145
2	0.001	2.23172	11.9192	10.341	-9.03892	-33.5309	0.0154553
5	0.001	1.79624	4.07344	4.20729	-261.979	-272.056	0.00103975

0.1	0.01	2.20354	10.2718	7.39965	-13.5878	-33.4628	0.686733
0.2	0.01	2.20771	10.2994	7.42195	-13.5338	-33.4628	0.0860994
0.3	0.01	2.19289	10.2111	7.31062	-13.7482	-33.4628	0.025492
0.5	0.01	2.19796	10.2455	7.41324	-13.6061	-33.4628	0.00569118
0.6	0.01	2.20014	10.292	7.45975	-13.511		-33.4628	0.00330332
0.7	0.01	2.20014	10.292	7.45975	-13.511		-33.4628	0.00329233
0.8	0.01	2.19311	10.2024	7.38613	-13.6811	-33.4628	0.00153955
0.9	0.01	2.19311	10.2024	7.38613	-13.6809	-33.4626	0.00153077
1	0.01	2.228	10.4197	7.84948	-12.9654	-33.4626	0.0008099
2	0.01	2.23115	11.887	10.4053	-9.00741	-33.5309	0.000255283
5	0.01	1.9292	4.743	5.50414	-259.88		-272.056	2.02333e-05

0.1	0.1	2.38948	11.6622	9.96545	-9.44571	-33.4628	0.101416
0.2	0.1	2.39984	11.7553	10.0267	-9.28097	-33.4628	0.0127342
0.3	0.1	2.31456	11.1978	9.17768	-10.7728	-33.4628	0.00379273
0.5	0.1	2.37857	11.5415	9.833	-9.70981	-33.4628	0.0008109
0.6	0.1	2.36746	11.3993	9.8309	-9.86514	-33.4628	0.000484317
0.7	0.1	2.36746	11.3993	9.8309	-9.86513	-33.4628	0.000473883
0.8	0.1	2.43168	11.9534	9.9002	-9.17751	-33.4628	0.000254533
0.9	0.1	2.43168	11.9534	9.9002	-9.17727	-33.4626	0.000245
1	0.1	2.16848	10.2266	7.66105	-13.4064	-33.4626	0.000109
2	0.1	2.37664	12.3693	11.5542	-7.23071	-33.5309	3.89167e-05
5	0.1	1.89475	4.36608	4.38348	-261.412	-272.056	8.05e-06

0.1	0.999	2.38948	11.6622	9.96545	-9.44571	-33.4628	0.102343
0.2	0.999	2.39984	11.7553	10.0267	-9.28097	-33.4628	0.0127758
0.3	0.999	2.31456	11.1978	9.17768	-10.7728	-33.4628	0.00379502
0.5	0.999	2.37857	11.5415	9.833	-9.70981	-33.4628	0.000814067
0.6	0.999	2.36746	11.3993	9.8309	-9.86514	-33.4628	0.000485467
0.7	0.999	2.36746	11.3993	9.8309	-9.86513	-33.4628	0.000473867
0.8	0.999	2.43168	11.9534	9.9002	-9.17751	-33.4628	0.000254667
0.9	0.999	2.43168	11.9534	9.9002	-9.17727	-33.4626	0.00024335
1	0.999	2.16848	10.2266	7.66105	-13.4064	-33.4626	0.00010865
2	0.999	2.37664	12.3693	11.5542	-7.23071	-33.5309	3.85333e-05
5	0.999	1.89475	4.36608	4.38348	-261.412	-272.056	7.86667e-06
