# git version: 0.0.0-2154-ge1712eac
# fac figs/new-melting.mkdat && figs/new-melting.mkdat --kT 2 --n 0.9 --gw=0.18 --fv 0 --mc-error 1e-3 --dx 1 | tail -1 >> DATA_LOGS/n0.9_T2_gw_0.18_fv_0.dat

# NOT FROZEN

# homogeneous free energy: -19.2454

#dx	mc-err	phi1	phi2	phi3	Ftot		Fideal		time-in-min

5	0.001	1.73829	3.6945	3.5527	-263.071	-272.056	0.00104713

0.6	0.01	1.13934	3.67705	1.15656	-19.181		-25.154		0.00399728
0.8	0.01	1.13358	3.60824	1.12622	-19.2859	-25.1539	0.00256172
0.9	0.01	1.13184	3.64849	1.18393	-19.1897	-25.1539	0.00107813
1	0.01	1.13184	3.64849	1.18393	-19.1895	-25.1538	0.00106295
2	0.01	1.14444	5.25764	2.81489	-16.1399	-25.3569	0.00024465
5	0.01	1.81973	4.01438	4.14446	-262.078	-272.056	1.985e-05

0.3	0.1	1.22012	4.11628	1.44551	-18.3721	-25.154		0.00396253
0.6	0.1	1.22631	4.08566	1.41532	-18.4267	-25.154		0.000620917
0.7	0.1	1.18343	3.95402	1.34311	-18.6734	-25.154		0.0003796
0.8	0.1	1.18343	3.95402	1.34311	-18.6734	-25.1539	0.000366
0.9	0.1	1.21089	4.18329	1.45381	-18.306		-25.1539	0.000196833
1	0.1	1.21089	4.18329	1.45381	-18.3058	-25.1538	0.000184067
2	0.1	1.10154	5.00029	2.50576	-16.7493	-25.3569	2.775e-05
5	0.1	1.79555	3.7546	3.39534	-263.111	-272.056	7.78333e-06

0.3	0.999	1.22012	4.11628	1.44551	-18.3721	-25.154		0.00393833
0.5	0.999	1.21996	4.07292	1.46762	-18.3935	-25.154		0.0010126
0.7	0.999	1.18343	3.95402	1.34311	-18.6734	-25.154		0.000378783
0.8	0.999	1.18343	3.95402	1.34311	-18.6734	-25.1539	0.00036305
0.9	0.999	1.21089	4.18329	1.45381	-18.306		-25.1539	0.000194183
1	0.999	1.21089	4.18329	1.45381	-18.3058	-25.1538	0.000179783
2	0.999	1.10154	5.00029	2.50576	-16.7493	-25.3569	2.785e-05
5	0.999	1.79555	3.7546	3.39534	-263.111	-272.056	7.76667e-06
