# git version: 0.0.0-2154-ge1712eac
# fac figs/new-melting.mkdat && figs/new-melting.mkdat --kT 2 --n 1.0 --gw=0.1 --fv 0 --mc-error 1e-3 --dx 1 | tail -1 >> DATA_LOGS/n1.0_T2_gw_0.1_fv_0.dat

# NOT FROZEN

# homogeneous free energy: -18.6478

#dx	mc-err	phi1	phi2	phi3	Ftot		Fideal		time-in-min

1	1e-05	1.5957	3.72597	1.0442	-18.0962	-24.4621	618.299	 
5	1e-05	0.0634684 0.108439 0.267688 -169.9	-170.339	0.00436158

0.3	0.0001	1.58849	3.66532	1.04003	-18.1683	-24.4621	265.191
0.4	0.0001	1.58837	3.66326	1.03956	-18.1709	-24.4621	112.425
0.5	0.0001	1.58836	3.66285	1.03985	-18.1711	-24.4621	63.7923
0.6	0.0001	1.58877	3.66825	1.04091	-18.1642	-24.4621	33.1707
0.7	0.0001	1.58735	3.65089	1.03856	-18.1853	-24.4621	22.2029
0.8	0.0001	1.58785	3.65682	1.03856	-18.1789	-24.4621	12.5916
0.9	0.0001	1.58785	3.65682	1.03856	-18.1789	-24.4621	12.9993
1	0.0001	1.59048	3.66436	1.03957	-18.1677	-24.4621	8.0534
2	0.0001	1.73755	3.30271	0.736192 -22.4192	-28.1957	1.66369
5	0.0001	0.0693963 0.120494 0.29814 -169.851	-170.339	0.000276183

0.06	0.001	1.57923	3.56266	1.02136	-18.2989	-24.4621	306.072
0.1	0.001	1.57931	3.56287	1.02143	-18.2985	-24.4621	72.5988
0.15	0.001	1.57918	3.56259	1.02163	-18.2987	-24.4621	20.9253
0.2	0.001	1.57903	3.56041	1.02139	-18.3013	-24.4621	9.51933
0.3	0.001	1.57935	3.56235	1.02075	-18.2997	-24.4621	2.85535
0.5	0.001	1.57895	3.55723	1.02183	-18.3041	-24.4621	0.715067
0.6	0.001	1.57988	3.5666	1.02255	-18.2931	-24.4621	0.349132
0.7	0.001	1.58027	3.57518	1.02749	-18.2792	-24.4621	0.227528
0.8	0.001	1.57909	3.55968	1.02168	-18.3017	-24.4621	0.154474
0.9	0.001	1.57909	3.55968	1.02168	-18.3017	-24.4621	0.15513
1	0.001	1.58346	3.58417	1.0003	-18.2942	-24.4621	0.108834
2	0.001	1.71053	3.00029	0.661256 -22.8236	-28.1957	0.0211996
5	0.001	0.0693963 0.120494 0.29814 -169.851	-170.339	0.000271983



#0.05	0.01	NAN! 
#0.1	0.01	NAN! 
0.2	0.01	1.57973	3.59163	1.04292	-18.2478	-24.4621	0.101285
0.3	0.01	1.58441	3.61082	1.05311	-18.2138	-24.4621	0.030784
0.5	0.01	1.58436	3.60343	1.03711	-18.2372	-24.4621	0.00747368
0.6	0.01	1.58658	3.57028	1.04074	-18.2645	-24.4621	0.0038784
0.7	0.01	1.5763	3.6558	1.05455	-18.1755	-24.4621	0.00280578
0.8	0.01	1.57314	3.55363	1.02444	-18.3109	-24.4621	0.00178488
0.9	0.01	1.57314	3.55363	1.02444	-18.3109	-24.4621	0.00176908
1	0.01	1.56612	3.48633	1.02212	-18.3875	-24.4621	0.00114838
2	0.01	1.68992	3.0813	0.720221 -22.7042	-28.1957	0.000457883
5	0.01	0.0693963 0.120494 0.29814 -169.851	-170.339	0.000296067

	
#0.03	0.1	NAN!
#0.04	0.1	NAN!
#0.05	0.1	NAN!
#0.06	0.1	NAN!
#0.07	0.1	NAN!
#0.08	0.1	NAN!
#0.09	0.1	NAN!
0.1	0.1	1.61266	3.8131	1.18087	-17.8555	-24.4621	0.314785
0.2	0.1	1.61342	3.81612	1.1759	-17.8567	-24.4621	0.0418077
#0.3	0.1	NAN!
0.5	0.1	1.59337	3.77243	1.17171	-17.9246	-24.4621	0.00304072
0.6	0.1	1.63708	3.9272	1.18783	-17.71		-24.4621	0.0016216
0.7	0.1	1.62413	3.78819	1.19751	-17.8523	-24.4621	0.00123567
0.8	0.1	1.59581	3.78724	1.14191	-17.9372	-24.4621	0.000865733
0.9	0.1	1.59581	3.78724	1.14191	-17.9372	-24.4621	0.0008489
1	0.1	1.63415	3.79546	1.18039	-17.8521	-24.4621	0.000565483
2	0.1	1.8518	3.72684	1.18139	-21.4356	-28.1957	0.00032015
5	0.1	0.0693963 0.120494 0.29814 -169.851	-170.339	0.0002864

#0.01	0.999	NAN!
#0.02	0.999	NAN! 
#0.03	0.999	NAN!
#0.04	0.999	NAN!
#0.05	0.999	NAN!
#0.06	0.999	NAN!
#0.07	0.999	NAN!
#0.08	0.999 	NAN!
#0.09	0.999	NAN!
0.1	0.999	1.61266	3.8131	1.18087	-17.8555	-24.4621	0.317094
0.2	0.999	1.61342	3.81612	1.1759	-17.8567	-24.4621	0.041928
#0.3	0.999	NAN! 
0.5	0.999	1.59337	3.77243	1.17171	-17.9246	-24.4621	0.00306073
0.6	0.999	1.63708	3.9272	1.18783	-17.71		-24.4621	0.00163
0.7	0.999	1.62413	3.78819	1.19751	-17.8523	-24.4621	0.00124145
0.8	0.999	1.59581	3.78724	1.14191	-17.9372	-24.4621	0.0008829
0.9	0.999	1.59581	3.78724	1.14191	-17.9372	-24.4621	0.000877267
1	0.999	1.63415	3.79546	1.18039	-17.8521	-24.4621	0.000559067
2	0.999	1.8518	3.72684	1.18139	-21.4356	-28.1957	0.00033955
5	0.999	0.0693963 0.120494 0.29814 -169.851	-170.339	0.000288067
