# git version: 0.0.0-2154-ge1712eac
# fac figs/new-melting.mkdat && figs/new-melting.mkdat --kT 2 --n 1.0 --gw=0.2 --fv 0 --mc-error 1e-3 --dx 1 | tail -1 >> DATA_LOGS/n1.0_T2_gw_0.2_fv_0.dat

# FROZEN

# homogeneous free energy: -18.6478

#dx	mc-err	phi1	phi2	phi3	Ftot		Fideal		time-in-min


0.8	0.0001	1.41939	5.45487	2.40741	-19.1881	-28.4698	12.9849
0.9	0.0001	1.41939	5.45487	2.40741	-19.1881	-28.4698	12.9229
1	0.0001	1.42219	5.50789	2.47119	-19.0674	-28.4687	4.45721
2	0.0001	1.3853	6.1665	3.41373	-21.9984	-32.964		1.23058
5	0.0001	1.90538	4.26809	3.42531	-193.748	-203.347	0.27638

0.2	0.001	1.39809	5.32478	2.29699	-19.4501	-28.47		6.93254
0.3	0.001	1.40057	5.33985	2.30477	-19.4248	-28.47		2.05511
0.5	0.001	1.3996	5.33053	2.31031	-19.4295	-28.47		0.459503
0.6	0.001	1.39877	5.33018	2.31259	-19.4284	-28.47		0.255917
0.7	0.001	1.39877	5.33018	2.31259	-19.4284	-28.47		0.252412
0.8	0.001	1.39912	5.32738	2.32621	-19.4171	-28.4698	0.116704
0.9	0.001	1.39912	5.32738	2.32621	-19.4171	-28.4698	0.118575
1	0.001	1.40224	5.41136	2.42541	-19.2297	-28.4687	0.0545588
2	0.001	1.40555	6.31159	3.56499	-21.6818	-32.964		0.0157667
5	0.001	1.96608	4.62033	3.91154	-192.849	-203.347	0.00110395

0.1	0.01	1.3924	5.3954	2.38594	-19.2962	-28.47		0.72615
0.2	0.01	1.39663	5.41859	2.40351	-19.2512	-28.47		0.0895405
0.3	0.01	1.39702	5.42066	2.3939	-19.2584	-28.47		0.026505
0.5	0.01	1.39307	5.39527	2.38349	-19.2981	-28.47		0.00575362
0.6	0.01	1.38966	5.38358	2.36143	-19.3353	-28.47		0.00345178
0.7	0.01	1.38966	5.38358	2.36143	-19.3353	-28.47		0.00340292
0.8	0.01	1.42	5.58598	2.55276	-18.911		-28.4698	0.00169342
0.9	0.01	1.42	5.58598	2.55276	-18.911		-28.4698	0.00169887
1	0.01	1.40197	5.43342	2.51689	-19.1164	-28.4687	0.00087225
2	0.01	1.44752	6.53823	3.85238	-21.1258	-32.964		0.0002795
5	0.01	2.12517	5.30843	4.85371	-191.059	-203.347	2.00167e-05

0.1	0.1	1.51783	6.07664	3.0564	-17.8191	-28.47		0.100653
0.2	0.1	1.52081	6.09285	3.09746	-17.7588	-28.47		0.0127849
0.3	0.1	1.53237	6.1339	3.09708	-17.7066	-28.47		0.00386958
0.5	0.1	1.50498	5.81683	2.88917	-18.259		-28.47		0.000845167
0.6	0.1	1.50737	6.14316	3.07943	-17.74		-28.47		0.000520633
0.7	0.1	1.50737	6.14316	3.07943	-17.74		-28.47		0.0005092
0.8	0.1	1.62504	6.80135	3.78118	-16.2622	-28.4698	0.00025725
0.9	0.1	1.62504	6.80135	3.78118	-16.2622	-28.4698	0.0002578
1	0.1	1.36694	5.24353	2.40968	-19.4485	-28.4687	0.000121917
2	0.1	1.56782	6.9712	4.29385	-20.1311	-32.964		3.68833e-05
5	0.1	2.06766	5.01574	4.15326	-192.11		-203.347	7.86667e-06

0.1	0.999	1.51783	6.07664	3.0564	-17.8191	-28.47		0.10173
0.2	0.999	1.52081	6.09285	3.09746	-17.7588	-28.47		0.0127755
0.3	0.999	1.53237	6.1339	3.09708	-17.7066	-28.47		0.0039038
0.5	0.999	1.50498	5.81683	2.88917	-18.259		-28.47		0.000838283
0.6	0.999	1.50737	6.14316	3.07943	-17.74		-28.47		0.000505333
0.7	0.999	1.50737	6.14316	3.07943	-17.74		-28.47		0.00049475
0.8	0.999	1.62504	6.80135	3.78118	-16.2622	-28.4698	0.0002399
0.9	0.999	1.62504	6.80135	3.78118	-16.2622	-28.4698	0.0002589
1	0.999	1.36694	5.24353	2.40968	-19.4485	-28.4687	0.000118517
2	0.999	1.56782	6.9712	4.29385	-20.1311	-32.964		3.70333e-05
5	0.999	2.06766	5.01574	4.15326	-192.11		-203.347	8.06667e-06
