# git version: 0.0.0-2154-ge1712eac
# fac figs/new-melting.mkdat && figs/new-melting.mkdat --kT 2 --n 0.9 --gw=0.13 --fv 0 --mc-error 1e-3 --dx 1 | tail -1 >> DATA_LOGS/n0.9_T2_gw_0.13_fv_0.dat

# NOT FROZEN

# homogeneous free energy: -19.2454

#dx	mc-err	phi1	phi2	phi3	Ftot		Fideal		time-in-min

5	0.0001	0.559644 1.07291 1.82228 -79.8465	-83.3013	0.0041885

5	0.001	0.568913 1.05418 1.69394 -79.9843	-83.3013	6.99333e-05

0.6	0.01	1.24516	2.89707	0.659964 -18.6302	-23.4324	0.00306807
0.7	0.01	1.22118	2.77192	0.621162 -18.8182	-23.4324	0.00206335
0.9	0.01	1.23413	2.82366	0.671407 -18.7032	-23.4324	0.001089
1	0.01	1.23413	2.82366	0.671407 -18.7032	-23.4324	0.00108035
2	0.01	1.27888	2.71751	0.620271 -19.1095	-23.7262	0.000318133
5	0.01	0.568913 1.05418 1.69394 -79.9843	-83.3013	7.44167e-05

0.5	0.1	1.28451	3.08024	0.756269 -18.3114	-23.4324	0.00163078
0.6	0.1	1.27675	3.1399	0.780995 -18.2348	-23.4324	0.000838317
0.7	0.1	1.30075	3.231	0.840154 -18.0605	-23.4324	0.000564233
0.8	0.1	1.30075	3.231	0.840154 -18.0605	-23.4324	0.0005255
0.9	0.1	1.30376	3.24627	0.816353 -18.066	-23.4324	0.000341117
1	0.1	1.30376	3.24627	0.816353 -18.066	-23.4324	0.000330883
2	0.1	1.3148	2.85052	0.750367 -18.8105	-23.7262	0.000122767
5	0.1	0.568913 1.05418 1.69394 -79.9843	-83.3013	7.43333e-05

0.3	0.999	1.27687	3.10399	0.791601 -18.26		-23.4324	0.00631797
0.6	0.999	1.27675	3.1399	0.780995 -18.2348	-23.4324	0.000830883
0.7	0.999	1.30075	3.231	0.840154 -18.0605	-23.4324	0.0005679
0.8	0.999	1.30075	3.231	0.840154 -18.0605	-23.4324	0.00052375
0.9	0.999	1.30376	3.24627	0.816353 -18.066	-23.4324	0.0003459
1	0.999	1.30376	3.24627	0.816353 -18.066	-23.4324	0.000328817
2	0.999	1.3148	2.85052	0.750367 -18.8105	-23.7262	0.00012355
5	0.999	0.568913 1.05418 1.69394 -79.9843	-83.3013	6.99167e-05
