# git version: 0.0.0-2154-ge1712eac
# fac figs/new-melting.mkdat && figs/new-melting.mkdat --kT 2 --n 1.1 --gw=0.18 --fv 0 --mc-error 1e-3 --dx 1 | tail -1 >> DATA_LOGS/n1.1_T2_gw_0.18_fv_0.dat

# FROZEN

# homogeneous free energy: -16.524

#dx	mc-err	phi1	phi2	phi3	Ftot		Fideal		time-in-min

0.7	0.0001	1.82436	7.63432	4.23225	-17.0099	-30.7009	22.0263
0.8	0.0001	1.81153	7.53531	4.16591	-17.1881	-30.7009	12.2913
0.9	0.0001	1.81153	7.53531	4.16591	-17.1879	-30.7006	12.4269
1	0.0001	1.81153	7.53531	4.16591	-17.1879	-30.7006	12.3111
2	0.0001	1.80156	9.05034	6.50254	-13.4408	-30.7952	0.991597
5	0.0001	1.7829	3.9642	3.99624	-262.313	-272.056	0.0663355

0.2	0.001	1.77925	7.30902	3.93762	-17.675		-30.7009	8.04843
0.3	0.001	1.78547	7.35548	3.9749	-17.585		-30.7009	2.61337
0.5	0.001	1.77508	7.27475	3.90772	-17.7433	-30.7009	0.674829
0.6	0.001	1.77796	7.30159	3.93988	-17.6814	-30.7009	0.438862
0.7	0.001	1.7763	7.28139	3.93242	-17.7108	-30.7009	0.241671
0.8	0.001	1.77846	7.30587	3.97906	-17.6375	-30.7009	0.113328
0.9	0.001	1.77846	7.30587	3.97906	-17.6372	-30.7006	0.112942
1	0.001	1.77846	7.30587	3.97906	-17.6372	-30.7006	0.113021
2	0.001	1.77568	8.86093	6.28362	-13.875		-30.7952	0.0150002
5	0.001	1.78423	3.98902	4.05416	-262.229	-272.056	0.00104032

0.1	0.01	1.77229	7.3906	4.07322	-17.4648	-30.7009	0.70007
0.2	0.01	1.76991	7.37531	4.0654	-17.4903	-30.7009	0.0950745
0.3	0.01	1.77043	7.36383	4.0428	-17.5238	-30.7009	0.0306499
0.5	0.01	1.77816	7.42128	4.08634	-17.4151	-30.7009	0.00805043
0.6	0.01	1.75309	7.28292	3.99513	-17.6697	-30.7009	0.00504313
0.7	0.01	1.75809	7.27051	3.98482	-17.6875	-30.7009	0.00295555
0.8	0.01	1.79424	7.56799	4.31371	-17.0249	-30.7009	0.00146587
0.9	0.01	1.79424	7.56799	4.31371	-17.0247	-30.7006	0.00145772
1	0.01	1.79424	7.56799	4.31371	-17.0247	-30.7006	0.0014647
2	0.01	1.77902	8.84916	6.49195	-13.6751	-30.7952	0.000245517
5	0.01	1.84859	4.21375	4.5093	-261.485	-272.056	2.02833e-05

0.1	0.1	1.91108	8.29141	5.24693	-15.2515	-30.7009	0.103251
0.2	0.1	1.89887	8.21979	5.1925	-15.3897	-30.7009	0.0141505
0.3	0.1	1.90818	8.25694	5.19748	-15.3383	-30.7009	0.00460725
0.5	0.1	1.87481	8.17071	5.09826	-15.5571	-30.7009	0.00117283
0.6	0.1	1.92766	8.38579	5.66232	-14.7251	-30.7009	0.000743917
0.7	0.1	1.93014	8.21654	5.24512	-15.3091	-30.7009	0.000447317
0.8	0.1	1.77011	7.37549	4.223	-17.3323	-30.7009	0.000236533
0.9	0.1	1.77011	7.37549	4.223	-17.332		-30.7006	0.000227633
1	0.1	1.77011	7.37549	4.223	-17.332		-30.7006	0.000230133
2	0.1	1.80537	9.2415	6.692	-13.0563	-30.7952	2.76333e-05
5	0.1	1.82189	3.92424	3.66571	-262.645	-272.056	7.8e-06

0.1	0.999	1.91108	8.29141	5.24693	-15.2515	-30.7009	0.103275
0.2	0.999	1.89887	8.21979	5.1925	-15.3897	-30.7009	0.0141528
0.3	0.999	1.90818	8.25694	5.19748	-15.3383	-30.7009	0.00461162
0.5	0.999	1.87481	8.17071	5.09826	-15.5571	-30.7009	0.0011766
0.6	0.999	1.92766	8.38579	5.66232	-14.7251	-30.7009	0.000744067
0.7	0.999	1.93014	8.21654	5.24512	-15.3091	-30.7009	0.000454133
0.8	0.999	1.77011	7.37549	4.223	-17.3323	-30.7009	0.000237933
0.9	0.999	1.77011	7.37549	4.223	-17.332		-30.7006	0.000227617
1	0.999	1.77011	7.37549	4.223	-17.332		-30.7006	0.000230333
2	0.999	1.80537	9.2415	6.692	-13.0563	-30.7952	2.79333e-05
5	0.999	1.82189	3.92424	3.66571	-262.645	-272.056	7.85e-06
