# git version: 0.0.0-2154-ge1712eac
# fac figs/new-melting.mkdat && figs/new-melting.mkdat --kT 2 --n 1.1 --gw=0.13 --fv 0 --mc-error 1e-3 --dx 1 | tail -1 >> DATA_LOGS/n1.1_T2_gw_0.13_fv_0.dat

# FROZEN

# homogeneous free energy: -16.524

#dx	mc-err	phi1	phi2	phi3	Ftot		Fideal		time-in-min

0.7	0.0001	1.86797	6.83979	3.21811	-16.713		-28.6388	23.007
0.8	0.0001	1.86862	6.84539	3.25009	-16.6747	-28.6388	12.9351
0.9	0.0001	1.86862	6.84539	3.25009	-16.6747	-28.6388	13.0692
1	0.0001	1.87003	6.90472	3.45883	-16.4052	-28.6388	6.62585
2	0.0001	1.98036	13.1339	12.0077	-5.76677	-32.8888	0.874509
5	0.0001	0.55965	1.07298	1.82249	-80.0342	-83.4893	0.00417872

0.2	0.001	1.84411	6.62337	3.07673	-17.0946	-28.6388	9.81206
0.3	0.001	1.84511	6.63646	3.08588	-17.0714	-28.6388	2.64332
0.5	0.001	1.84239	6.60681	3.0538	-17.1358	-28.6388	0.613039
0.6	0.001	1.84496	6.63486	3.08907	-17.0699	-28.6388	0.439223
0.7	0.001	1.84101	6.59885	3.08269	-17.1163	-28.6388	0.244814
0.8	0.001	1.84653	6.64768	3.14761	-16.997		-28.6388	0.134635
0.9	0.001	1.84653	6.64768	3.14761	-16.997		-28.6388	0.134833
1	0.001	1.84797	6.71803	3.3681	-16.7047	-28.6388	0.0768999
2	0.001	1.98478	13.1676	12.0892	-5.64723	-32.8888	0.0124635
5	0.001	0.568987 1.05479 1.69579 -80.1697	-83.4893	7.00167e-05

#0.1	0.01	NAN!
0.2	0.01	1.84045	6.66687	3.22266	-16.9089	-28.6388	0.084962
0.3	0.01	1.83841	6.77848	29.1002	9.0783		-28.6388	0.0236538
0.5	0.01	1.84153	6.65907	3.1462	-16.992		-28.6388	0.00551715
0.6	0.01	1.84137	6.67211	3.15388	-16.9715	-28.6388	0.00363047
0.7	0.01	1.845	6.7249	3.28062	-16.7883	-28.6388	0.00237312
0.8	0.01	1.8637	6.837	3.36676	-16.5714	-28.6388	0.0015431
0.9	0.01	1.8637	6.837	3.36676	-16.5714	-28.6388	0.00153042
1	0.01	1.84613	6.65524	3.3452	-16.7922	-28.6388	0.000666317
2	0.01	1.9951	12.9062	11.8814	-6.10613	-32.8888	0.0001348
5	0.01	0.568987 1.05479 1.69579 -80.1697	-83.4893	7.19e-05

#0.1	0.1	NAN!
0.2	0.1	1.92302	7.23813	3.86426	-15.6134	-28.6388	0.0212761
0.3	0.1	1.89418	7.06763	3.64769	-16.0293	-28.6388	0.0059291
0.5	0.1	1.926	7.28872	3.82527	-15.5988	-28.6388	0.00137808
0.6	0.1	1.9292	7.12906	3.65031	-15.9303	-28.6388	0.00092985
0.7	0.1	1.9817	7.47378	4.19177	-14.9916	-28.6388	0.00062985
0.8	0.1	1.93625	7.55101	4.583	-14.5686	-28.6388	0.000386767
0.9	0.1	1.93625	7.55101	4.583	-14.5686	-28.6388	0.000369833
1	0.1	1.94715	7.15863	3.76074	-15.7723	-28.6388	0.000226117
2	0.1	2.08692	14.3874	13.3537	-3.06077	-32.8888	8.69e-05
5	0.1	0.568987 1.05479 1.69579 -80.1697	-83.4893	7.00833e-05

#0.1	0.999	NAN!
0.2	0.999	1.92302	7.23813	3.86426	-15.6134	-28.6388	0.0215193
0.3	0.999	1.89418	7.06763	3.64769	-16.0293	-28.6388	0.00595928
0.5	0.999	1.926	7.28872	3.82527	-15.5988	-28.6388	0.00137907
0.6	0.999	1.9292	7.12906	3.65031	-15.9303	-28.6388	0.000930067
0.7	0.999	1.9817	7.47378	4.19177	-14.9916	-28.6388	0.000631067
0.8	0.999	1.93625	7.55101	4.583	-14.5686	-28.6388	0.000389683
0.9	0.999	1.93625	7.55101	4.583	-14.5686	-28.6388	0.000371483
1	0.999	1.94715	7.15863	3.76074	-15.7723	-28.6388	0.0002261
2	0.999	2.08692	14.3874	13.3537	-3.06077	-32.8888	8.745e-05
5	0.999	0.568987 1.05479 1.69579 -80.1697	-83.4893	7.04833e-05
