# git version: 0.0.0-2154-ge1712eac
# fac figs/new-melting.mkdat && figs/new-melting.mkdat --kT 2 --n 1.0 --gw=0.15 --fv 0 --mc-error 1e-3 --dx 1 | tail -1 >> DATA_LOGS/n1.0_T2_gw_0.15_fv_0.dat

# NOT FROZEN

# homogeneous free energy: -18.6478

#dx	mc-err	phi1	phi2	phi3	Ftot		Fideal		time-in-min

0.8	0.0001	1.49096	4.9475	1.81593	-18.6343	-26.8887	15.8176
0.9	0.0001	1.49137	4.97029	1.90386	-18.5231	-26.8886	7.11233
1	0.0001	1.49137	4.97029	1.90386	-18.5231	-26.8886	6.98413
2	0.0001	1.45705	8.17826	5.5499	-13.0475	-28.2327	0.928137
5	0.0001	1.10956	2.23399	2.99054	-50.798		-57.1321	0.0173446

0.2	0.001	1.4706	4.78483	1.71046	-18.9228	-26.8887	8.74591
0.3	0.001	1.47186	4.79379	1.71354	-18.9095	-26.8887	2.49537
0.5	0.001	1.46886	4.77261	1.69775	-18.9495	-26.8887	0.756005
0.6	0.001	1.47585	4.83698	1.74378	-18.8321	-26.8887	0.331848
0.7	0.001	1.47585	4.83698	1.74378	-18.8321	-26.8887	0.325053
0.8	0.001	1.47425	4.82425	1.75878	-18.8314	-26.8887	0.196903
0.9	0.001	1.47051	4.81227	1.83899	-18.7669	-26.8886	0.0816397
1	0.001	1.47051	4.81227	1.83899	-18.7669	-26.8886	0.0816493
2	0.001	1.45306	8.13992	5.54787	-13.0918	-28.2327	0.0136729
5	0.001	1.10729	2.19168	2.85145	-50.9817	-57.1321	0.000285167

0.1	0.01	1.4665	4.84662	1.79208	-18.7835	-26.8887	0.702422
0.2	0.01	1.46782	4.85264	1.79183	-18.7764	-26.8887	0.0879803
0.3	0.01	1.47232	4.88122	1.81065	-18.7245	-26.8887	0.0261651
0.5	0.01	1.47094	4.86704	1.79471	-18.756		-26.8887	0.00779083
0.6	0.01	1.45557	4.81692	1.77103	-18.8452	-26.8887	0.00335308
0.7	0.01	1.45557	4.81692	1.77103	-18.8452	-26.8887	0.00335897
0.8	0.01	1.45664	4.76634	1.80208	-18.8636	-26.8887	0.0021805
0.9	0.01	1.4487	4.73922	1.79408	-18.9066	-26.8886	0.00106575
1	0.01	1.4487	4.73922	1.79408	-18.9066	-26.8886	0.00106303
2	0.01	1.44463	8.1586	5.57328	-13.0562	-28.2327	0.000232983
5	0.01	0.993355 1.8464	2.34796	-51.9444	-57.1321	2.17333e-05

0.1	0.1	1.54297	5.29409	2.17682	-17.8748	-26.8887	0.128385
0.2	0.1	1.54245	5.31059	2.17875	-17.8569	-26.8887	0.0163533
0.3	0.1	1.55901	5.36028	2.20116	-17.7682	-26.8887	0.0048252
0.5	0.1	1.52477	5.21385	2.09565	-18.0544	-26.8887	0.00145567
0.6	0.1	1.55386	5.1915	2.12754	-18.0158	-26.8887	0.000667283
0.7	0.1	1.55386	5.1915	2.12754	-18.0158	-26.8887	0.000628867
0.8	0.1	1.61642	5.83275	2.56308	-16.8764	-26.8887	0.000365833
0.9	0.1	1.56003	5.4369	2.35249	-17.5392	-26.8886	0.00018535
1	0.1	1.56003	5.4369	2.35249	-17.5392	-26.8886	0.000192433
2	0.1	1.58572	9.77373	7.39238	-9.48087	-28.2327	4.36e-05
5	0.1	0.993355 1.8464	2.34796	-51.9444	-57.1321	2.19e-05

0.1	0.999	1.54297	5.29409	2.17682	-17.8748	-26.8887	0.129385
0.2	0.999	1.54245	5.31059	2.17875	-17.8569	-26.8887	0.0162402
0.3	0.999	1.55901	5.36028	2.20116	-17.7682	-26.8887	0.0049522
0.5	0.999	1.52477	5.21385	2.09565	-18.0544	-26.8887	0.00145777
0.6	0.999	1.55386	5.1915	2.12754	-18.0158	-26.8887	0.000666717
0.7	0.999	1.55386	5.1915	2.12754	-18.0158	-26.8887	0.000632917
0.8	0.999	1.61642	5.83275	2.56308	-16.8764	-26.8887	0.000368267
0.9	0.999	1.56003	5.4369	2.35249	-17.5392	-26.8886	0.0002057
1	0.999	1.56003	5.4369	2.35249	-17.5392	-26.8886	0.000194917
2	0.999	1.58572	9.77373	7.39238	-9.48087	-28.2327	3.84667e-05
5	0.999	0.993355 1.8464	2.34796	-51.9444	-57.1321	2.185e-05
