# git version: 0.0.0-2154-ge1712eac
# fac figs/new-melting.mkdat && figs/new-melting.mkdat --kT 2 --n 1.0 --gw=0.18 --fv 0 --mc-error 1e-3 --dx 1 | tail -1 >> DATA_LOGS/n1.0_T2_gw_0.18_fv_0.dat

# FROZEN

# homogeneous free energy: -18.6478

#dx	mc-err	phi1	phi2	phi3	Ftot		Fideal		time-in-min

0.7	0.0001	1.45804	5.4067	2.25219	-18.8141	-27.931		20.5436
0.8	0.0001	1.45228	5.36838	2.25361	-18.8567	-27.931		11.92
0.9	0.0001	1.45228	5.36838	2.25361	-18.8565	-27.9308	11.9248
1	0.0001	1.45228	5.36838	2.25361	-18.8565	-27.9308	11.9252
2	0.0001	1.42748	6.81843	4.09773	-15.7236	-28.0672	0.953096
5	0.0001	1.74891	3.75331	3.63451	-262.92		-272.056	0.065949

0.2	0.001	1.4252	5.18105	2.0996	-19.2252	-27.931		7.50222
0.3	0.001	1.42548	5.18262	2.10154	-19.2214	-27.931		2.38048
0.5	0.001	1.42483	5.17769	2.09588	-19.2326	-27.931		0.63213
0.6	0.001	1.4167	5.11849	2.06142	-19.3344	-27.931		0.386559
0.7	0.001	1.42426	5.17143	2.10709	-19.2282	-27.931		0.222416
0.8	0.001	1.4345	5.25275	2.18935	-19.0544	-27.931		0.107082
0.9	0.001	1.4345	5.25275	2.18935	-19.0542	-27.9308	0.108325
1	0.001	1.4345	5.25275	2.18935	-19.0542	-27.9308	0.107137
2	0.001	1.42587	6.82008	4.11093	-15.7104	-28.0672	0.0148268
5	0.001	1.75802	3.82363	3.77053	-262.704	-272.056	0.00104463

0.1	0.01	1.41971	5.24304	2.18716	-19.0811	-27.931		0.695628
0.2	0.01	1.42137	5.24576	2.187	-19.0769	-27.931		0.0872344
0.3	0.01	1.42468	5.29402	2.22782	-18.9845	-27.931		0.0282585
0.5	0.01	1.42499	5.29779	2.23633	-18.9719	-27.931		0.00728735
0.6	0.01	1.40472	5.15374	2.13672	-19.2358	-27.931		0.0044058
0.7	0.01	1.42638	5.30545	2.24149	-18.9577	-27.931		0.00265248
0.8	0.01	1.43907	5.33454	2.28841	-18.869		-27.931		0.00131625
0.9	0.01	1.43907	5.33454	2.28841	-18.8688	-27.9308	0.00130732
1	0.01	1.43907	5.33454	2.28841	-18.8688	-27.9308	0.00130598
2	0.01	1.44478	6.88526	4.24746	-15.4897	-28.0672	0.000242483
5	0.01	1.82387	4.04486	4.20055	-261.987	-272.056	1.99333e-05

0.1	0.1	1.52781	5.84903	2.76522	-17.789		-27.931		0.104269
0.2	0.1	1.52624	5.86797	2.81135	-17.7255	-27.931		0.0130966
0.3	0.1	1.52876	5.86297	2.76473	-17.7746	-27.931		0.00421247
0.5	0.1	1.52201	5.84985	2.75014	-17.809		-27.931		0.00107507
0.6	0.1	1.50875	5.74184	2.67288	-18.0075	-27.931		0.00068985
0.7	0.1	1.51932	5.71401	2.67743	-18.0203	-27.931		0.000398733
0.8	0.1	1.50484	5.65598	2.7111	-18.0591	-27.931		0.000207617
0.9	0.1	1.50484	5.65598	2.7111	-18.0589	-27.9308	0.000200233
1	0.1	1.50484	5.65598	2.7111	-18.0589	-27.9308	0.0001992
2	0.1	1.42088	6.84199	4.09487	-15.7095	-28.0672	2.75833e-05
5	0.1	1.79935	3.78069	3.43723	-263.039	-272.056	7.86667e-06

0.1	0.999	1.52781	5.84903	2.76522	-17.789		-27.931		0.104054
0.2	0.999	1.52624	5.86797	2.81135	-17.7255	-27.931		0.0130917
0.3	0.999	1.52876	5.86297	2.76473	-17.7746	-27.931		0.0042131
0.5	0.999	1.52201	5.84985	2.75014	-17.809		-27.931		0.0010767
0.6	0.999	1.50875	5.74184	2.67288	-18.0075	-27.931		0.000690167
0.7	0.999	1.51932	5.71401	2.67743	-18.0203	-27.931		0.00039915
0.8	0.999	1.50484	5.65598	2.7111	-18.0591	-27.931		0.000206233
0.9	0.999	1.50484	5.65598	2.7111	-18.0589	-27.9308	0.000201767
1	0.999	1.50484	5.65598	2.7111	-18.0589	-27.9308	0.000199467
2	0.999	1.42088	6.84199	4.09487	-15.7095	-28.0672	2.775e-05
5	0.999	1.79935	3.78069	3.43723	-263.039	-272.056	7.78333e-06

