#git version: 0.0.0-1996-gae4897fa (and simliar later versions… upto git version: 0.0.0-1998-g52a568be)
#Data for:      KT=2      N=1      Fv=0      gw=0.1       inclusion radius = 4.0             lattice_constant = 1.587401     
#
#Numpts/seed	hFideal/vol		hphi_1			hphi_2			hphi_3			hFE/vol		cFideal/vol
#80/1		-29.764004032169	1.44398240718802	6.31410552085355	3.35808298366232	-18.6478	-24.4622
#
#dx	Cphi_1_80	Cphi_2_80	Cphi_3_80	cFE/vol_80
0.1	2.44636		7.73252		4.80317		-9.48018
0.09	2.49841		7.8002		5.03566		-9.12784
0.08	2.43527		8.17794		4.92117		-8.92775
0.07	2.52593		8.81527		4.90054		-8.22039
0.06	2.64963		8.02961		4.89456		-8.88832
0.05	2.65224		8.273		4.84352		-8.69337
0.04	2.78342		8.11515		4.90464		-8.65892
0.03	2.82575		8.73197		4.87943		-8.02496
#0.02	x		x		x		x
#0.01	x		x		x		x

