#NEW DATA!
#git version: 0.0.0-2084-g2d66cfdb
#Data for:      KT=2      N=1      Fv=0      gw=0.1       inclusion radius = 4.0             lattice_constant = 1.587401     
#
#Numpts/seed	hFideal/vol		hphi_1			hphi_2			hphi_3			hFE/vol		cFideal/vol
#80000/1		-29.76400403216937818	1.44398240718802739	6.31410552085355370	3.35808298366232139	-18.6478	-24.4621
#
#dx	Cphi_1_80000	Cphi_2_80000	Cphi_3_80000	cFE/vol_80000	cFideal/vol
0.1	1.59732		3.77428		1.06441		-18.0261	-24.4621
0.09	1.59745		3.7734		1.0631		-18.0282	-24.4621
0.08	1.59758		3.77485		1.06381		-18.0259	-24.4621
0.07	1.59737		3.77394		1.06353		-18.0273	-24.4621
0.06	1.59728		3.77309		1.06282		-18.0289	-24.4621
0.05	1.59748		3.77362		1.06318		-18.0278	-24.4621
0.04	1.5973		3.77311		1.06276		-18.029		-24.4621
0.05	1.59738		3.77338		1.06305		-18.0283	-24.4621
0.04	1.5973		3.77311		1.06276		-18.029		-24.4621
0.03	1.59738		3.77338		1.06305		-18.0283	-24.4621
0.02	1.59738		3.77313		1.06299		-18.0286	-24.4621






