Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
280.0000000	0.0009918203783	55.50082353	0.01801775066	0.5187549993	0.5187728697	1.875718187	75.66876605	75.68845445	1434.115117	-0.2351474361	1433.681240	0.5740380316	0.07467677366	0.0004263695938	2345.383007	42.95424842	45.28044694	161.7388399	25.65677709	34.07301574	413.9245166	477.2558431	9.381505405	0.01744163031
290.0000000	0.001919999111	55.43952189	0.01803767359	1.274170138	1.274204770	4.526596179	75.09479486	75.42863264	1472.091403	-0.2272007215	1084.018355	0.5927293978	0.07321010118	0.0007972442127	1254.320802	43.20101912	45.60931391	157.4062829	25.81614625	34.27014485	420.9876798	351.6464780	9.641424168	0.01803058363
300.0000000	0.003536806756	55.31491552	0.01807830656	2.027822176	2.027886115	7.081604211	74.41200830	75.32025546	1501.357940	-0.2202386371	853.8428383	0.6102775747	0.07168596253	0.001420443686	704.0053821	43.44637400	45.93630499	153.4430005	25.98231314	34.48264839	427.8903415	264.3519475	9.919529878	0.01867317515
310.0000000	0.006231118242	55.13888157	0.01813602256	2.780839854	2.780952862	9.550739052	73.64456834	75.29449431	1523.216551	-0.2139263839	693.5385122	0.6260464035	0.07010558028	0.002423656612	412.5997037	43.68989832	46.26085588	149.8084907	26.15815021	34.71582075	434.6268450	203.7430367	10.21258157	0.01936854259
320.0000000	0.01054597623	54.91937050	0.01820851169	3.533856355	3.534048382	11.94146846	72.81065310	75.31729728	1538.712654	-0.2080384955	577.0241034	0.6397053258	0.06847022151	0.003977820782	251.3939302	43.93109009	46.58228450	146.4672063	26.35046228	34.97974737	441.1838821	161.2520918	10.51793626	0.02011740507
330.0000000	0.01721315168	54.66196935	0.01829425489	4.287263953	4.287578855	14.25982791	71.92676129	75.37300461	1548.701085	-0.2024071347	489.4866535	0.6511757414	0.06678120108	0.006304189765	158.6246667	44.16936544	46.89979589	143.3877583	26.56817315	35.28734780	447.5431337	130.9227683	10.83338106	0.02092161912
340.0000000	0.02718781424	54.37073978	0.01839224561	5.041352342	5.041852387	16.51100559	71.00843602	75.45615261	1553.881935	-0.1968982710	421.9688463	0.6605473680	0.06503988529	0.009680808837	103.2971539	44.40406443	47.21248826	140.5422876	26.82081124	35.65278319	453.6837633	108.7692536	11.15702445	0.02178380580
350.0000000	0.04168172973	54.04870132	0.01850183215	5.796384450	5.797155638	18.69966098	70.06988972	75.56680020	1554.826228	-0.1913997442	368.7686589	0.6680020227	0.06324769601	0.01444822614	69.21264868	44.63445355	47.51935647	137.9059491	27.11784019	36.09084099	459.5839151	92.17787647	11.48722632	0.02270703180
360.0000000	0.06219356548	53.69812493	0.01862262419	6.552635962	6.553794170	20.83009629	69.12354437	75.70780885	1551.997640	-0.1858142480	326.0991793	0.6737563522	0.06140611521	0.02101440942	47.58639560	44.85972489	47.81929250	135.4564806	27.46873643	36.61717445	465.2211681	79.44041906	11.82255358	0.02369453938
370.0000000	0.09053517076	53.32071858	0.01875443592	7.310413932	7.312111868	22.90634697	68.17978666	75.88332112	1545.771584	-0.1800544001	291.3555052	0.6780242769	0.05951669009	0.02985898401	33.49075774	45.07899481	48.11108628	133.1738454	27.88330912	37.24880492	470.5724509	69.42699838	12.16175305	0.02474952537
380.0000000	0.1288530538	52.91774791	0.01889725167	8.070063983	8.072498952	24.93222978	67.24695508	76.09798384	1536.451720	-0.1740387794	262.6926065	0.6809957090	0.05758103888	0.04153703429	24.07490128	45.29130598	48.39343053	131.0399445	28.37170291	38.00423163	475.6140452	61.37321838	12.50373575	0.02587497131
390.0000000	0.1796446525	52.49011619	0.01905120569	8.831971962	8.835394409	26.91137026	66.33149182	76.35662357	1524.283846	-0.1676884719	238.7711632	0.6828270319	0.05560085738	0.05668280678	17.64203392	45.49563531	48.66493237	129.0383907	28.94376819	38.90278093	480.3220656	54.74910788	12.84756910	0.02707352657
400.0000000	0.2457693456	52.03841760	0.01921657203	9.596563487	9.601286331	28.84722142	65.43818571	76.66418872	1509.467282	-0.1609239049	218.5984756	0.6836391854	0.05357792640	0.07601372019	13.15551979	45.69090741	48.92413090	127.1543328	29.60786343	39.96327936	484.6733946	49.18106532	13.19247451	0.02834744651
410.0000000	0.3304544487	51.56297224	0.01939376178	10.36430339	10.37071215	30.74308002	64.57045015	77.02584474	1492.163986	-0.1536618188	201.4254576	0.6835200775	0.05151412030	0.1003351370	9.966598242	45.87601049	49.16951722	125.3743119	30.36947422	41.20252149	488.6467083	44.40508655	13.53782901	0.02969858813
420.0000000	0.4372966832	51.06384793	0.01958332637	11.13569614	11.14425986	32.60210331	63.73060019	77.44715834	1472.505708	-0.1458122368	186.6779470	0.6825289864	0.04941141674	0.1305464037	7.660111439	46.04980980	49.39955112	123.6861301	31.23015358	42.63415751	492.2231188	40.23678998	13.88317013	0.03112846751
430.0000000	0.5702597800	50.54087194	0.01978596652	11.91128774	11.92257089	34.42732752	62.92010902	77.93433887	1450.599497	-0.1372752762	173.9097117	0.6807014216	0.04727190805	0.1676487422	5.964852386	46.21115389	49.61266930	122.0787192	32.18717983	44.26851086	495.3861114	36.54988793	14.22820373	0.03263838638
440.0000000	0.7336690157	49.99363410	0.02000254668	12.69166960	12.70634485	36.22168887	62.13983577	78.49452744	1426.531842	-0.1279376158	162.7695713	0.6780535278	0.04509781438	0.2127556914	4.700226789	46.35887074	49.80728150	120.5419994	33.23407226	46.11354707	498.1207371	33.25921623	14.57281495	0.03422963976
450.0000000	0.9322035636	49.42148237	0.02023411586	13.47748441	13.49634673	37.98804703	61.39022338	79.13614045	1400.371668	-0.1176683860	152.9779371	0.6745855526	0.04289149916	0.2671069673	3.743818478	46.49175281	49.98175374	119.0667293	34.36182930	48.17690063	500.4122838	30.30707702	14.91708269	0.03590382250
460.0000000	1.170887603	48.82351051	0.02048193564	14.26943448	14.29341653	39.72921176	60.67146976	79.86928754	1372.172381	-0.1063141811	144.3097806	0.6702841956	0.04065548733	0.3320868589	3.011260377	46.60853227	50.13437972	117.6443491	35.56056598	50.46865369	502.2447559	27.65273925	15.26129856	0.03766326120
470.0000000	1.455081174	48.19853743	0.02074751752	15.06829290	15.09848222	41.44797304	59.98367806	80.70629897	1341.973058	-0.09369278644	136.5820714	0.6651238549	0.03839248709	0.4092486238	2.443502413	46.70784823	50.26334259	116.2668249	36.82117367	53.00450871	503.5994471	25.26503937	15.60599159	0.03951161016
480.0000000	1.790471805	47.54507644	0.02103267204	15.87491807	15.91257648	43.14713590	59.32699304	81.66241595	1309.798841	-0.07958505327	129.6443790	0.6590669299	0.03610541602	0.5003468641	1.998613505	46.78820760	50.36666873	114.9264948	38.13668965	55.80909806	504.4537572	23.11773351	15.95196078	0.04145466875
490.0000000	2.183068013	46.86129192	0.02133957386	16.69027280	16.73685855	44.82956150	58.70173236	82.75672550	1275.660552	-0.06372410546	123.3717413	0.6520634758	0.03379743277	0.6073806254	1.646414058	46.84794000	50.44217387	113.6159193	39.50319382	58.91937828	504.7802693	21.18698728	16.30031861	0.04350150566
500.0000000	2.639195872	46.14493937	0.02167084871	17.51544925	17.57264286	46.49821711	58.10852272	84.01346487	1239.553446	-0.04578067555	117.6591771	0.6440506774	0.03147197608	0.7326511329	1.364906099	46.88514489	50.48739944	112.3277303	40.92019177	62.38832582	504.5460209	19.45030639	16.65254984	0.04566602017
510.0000000	3.165500051	45.39328274	0.02202969117	18.35170213	18.42143711	48.15623879	57.54845403	85.46389275	1201.455025	-0.02534275504	112.4173962	0.6349528755	0.02913281327	0.8788398979	1.137863680	46.89762687	50.49953440	111.0544688	42.39058567	66.28949023	503.7118155	17.88628263	17.01059241	0.04796914042
