Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
610.000000000	14.0325579722	34.4514383069	0.0290263643303	27.9169798319	28.3242939721	65.3085325055	55.2576361297	141.002438367	681.267156058	0.616601678849	71.7590917342	0.475034948388	0.00626896489489	4.84973340230	0.206196901365	44.6129891230	47.5064590951	96.7547048383	62.8305479010	203.844656381	445.113782463	7.93287352530	22.2292363080	0.105166478923
613.000000000	14.5732107455	33.9242844060	0.0294774088093	28.2768780858	28.7064585766	65.9076281310	55.4424638422	147.512534584	659.380617505	0.675126751590	70.4955364593	0.468818728145	0.00565587409556	5.13406244801	0.194777529515	44.4082561047	47.2467900908	96.1528671428	63.7794467021	219.573710745	440.932784403	7.70744669545	22.5379583313	0.110620884388
616.000000000	15.1305584246	33.3690883805	0.0299678549380	28.6471858655	29.1006162455	66.5220934650	55.6787386348	155.308035705	636.650117434	0.741321717864	69.1936085452	0.462552170405	0.00505312928941	5.44313422905	0.183717681380	44.1853145271	46.9650656389	95.5228229997	64.7765414109	238.212379905	436.463784511	7.48061117994	22.8740703837	0.116846424793
619.000000000	15.7051305681	32.7810455794	0.0305054333175	29.0296736799	29.5087654932	67.1549238663	55.9809769982	164.842597483	612.905487100	0.816995956327	67.8442766516	0.456227186145	0.00446186508432	5.78103604000	0.172979374818	43.9415162696	46.6581799367	94.8599552775	65.8309564903	260.677628036	431.667298595	7.25140135016	23.2428954282	0.124017089520
622.000000000	16.2974961812	32.1537240404	0.0311005965823	29.4266972785	29.9335591325	67.8101101074	56.3706114604	176.804540926	587.928965127	0.904584394686	66.4355412754	0.449836705086	0.00388341480424	6.15303533232	0.162521413577	43.6734789497	46.3221710669	94.1583608057	66.9553000804	288.326976781	426.491719603	7.01862530484	23.6513831805	0.132367610260
625.000000000	16.9082693181	31.4783207873	0.0317678953321	29.8414615030	30.3786016329	68.4930910523	56.8804191020	192.271135340	561.453963087	1.00737567163	64.9511268503	0.443378884720	0.00331937428241	6.56611272405	0.152297111248	43.3767561806	45.9518367539	93.4102672459	68.1676609235	323.263898777	420.867400562	6.78075085361	24.1088624529	0.142226659910
628.000000000	17.5381169237	30.7425827760	0.0325281713409	30.2784068716	30.8488897439	69.2114216005	57.5621669019	212.984599484	533.180353672	1.12977978877	63.3686650471	0.436865240165	0.00277169772188	7.02985364693	0.142250472090	43.0452842085	45.5400896205	92.6050519772	69.4952044655	368.939855949	414.696498723	6.53570594421	24.6283033960	0.154077136427
631.000000000	18.1877735408	29.9293275548	0.0334120436942	30.7437584455	31.3514491297	69.9757317848	58.4994151487	241.865730847	502.831920851	1.27755749029	61.6573777820	0.430339484681	0.00224284941958	7.55805124914	0.132309237797	42.6703827292	45.0767931836	91.7274656262	70.9811501097	431.453940573	407.834139414	6.28050405711	25.2285908443	0.168675178727
634.000000000	18.8580771631	29.0146231512	0.0344653795704	31.2462798117	31.8962305991	70.8010660201	59.8261870990	284.057486478	470.310651013	1.45781201426	59.7755973182	0.423936850696	0.00173606071451	8.17187732737	0.122370902051	42.2387684799	44.5464483933	90.7540909320	72.6997045437	522.716266612	400.049658862	6.01047718797	25.9390266339	0.187312156866
637.000000000	19.5500652332	27.9653643131	0.0357585186019	31.7985397904	32.4976211618	71.7091438103	61.7430791536	349.743588734	435.990656683	1.67882095084	57.6678319847	0.418133074272	0.00125580719570	8.90702993216	0.112270870045	41.7280661820	43.9229690152	89.6453256838	74.7925544940	669.549294897	390.934795293	5.71752026140	26.8094988593	0.212483676588
640.000000000	20.2652092675	26.7287806155	0.0374128552435	32.4218600997	33.1800394405	72.7369289109	64.5209299242	467.357222452	400.658115114	1.95420608949	55.2468690125	0.414926421226	0.000808822855221	9.83307340155	0.101697603502	41.0947475303	43.1556707473	88.3238528277	77.5761642523	947.357106170	379.639367575	5.38544175013	27.9381977077	0.250009687857
643.000000000	21.0058098394	25.1533389112	0.0397561533890	33.1772067032	34.0123169013	73.9897364250	68.8552535149	782.344859102	362.100055222	2.33637372791	52.2480744041	0.423750850947	0.000406789423998	11.1226869325	0.0899063334308	40.2321535978	42.1207089412	86.5999884311	81.9623933989	1672.57258143	363.840398117	4.97484062930	29.5727528923	0.318635663422
646.000000000	21.7749107459	22.3675778390	0.0447075676767	34.3992869611	35.3727902569	76.0501302990	82.7681032334	3685.62657328	297.125641276	3.08438512414	48.0219867017	0.528035970031	7.78949267741e-05	13.5141956193	0.0739962649774	38.7080491088	40.3193111742	83.7072834218	92.7005693612	6940.09366970	331.605997670	4.34869129377	33.2484869911	0.556110275179
