# N, min_e
5, 3
6, 15
7, 20
8, 26
9, 28
10, 37
11, 42
12, 45
13, 58
14, 65
15, 72
16, 76
17, 80
18, 90
19, 88
20, 95
21, 102
22, 108
23, 114
24, 116
25, 123
26, 129
27, 132
28, 136
29, 144
30, 155
