# version: 0.0.0-222-g56de6ba-dirty
# well_width: 1.3
# ff: 0.3
# N: 12
# walls: 0
# cell dimensions: (4.44366, 4.44366, 8.48528)
# seed: 27
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 72
# min_T: 0.2
# fractional_sample_error after initialization: 0.0161971
# min_important_energy after initialization: 48

# histogram method: tmmc
# init_iter_limit: 14400000
# iterations: 14400000
# working moves: 97892434
# total moves: 172800000
# acceptance rate: 0.566507

# min_important_energy: 48

# energy   counts
13  2
14  11
15  203
16  1312
17  7002
18  32231
19  123713
20  410140
21  1101949
22  2433186
23  4379266
24  6420966
25  7669859
26  7644582
27  7648971
28  7665354
29  7669036
30  7666241
31  7615027
32  7568220
33  7573106
34  7510805
35  7534120
36  7637978
37  7629641
38  7613182
39  7522238
40  7346362
41  7024551
42  6731709
43  6560524
44  6370483
45  6001395
46  3502462
47  75925
48  89258
49  18990
