# iterations	 errorinentropy	 maxerror
2.48e+05	32.63	111.5
2.805e+05	30.3	102.2
3.15e+05	28.9	93.3
3.515e+05	28.71	92.74
3.9e+05	25.19	83.61
4.515e+05	23.04	78.09
5.175e+05	23.08	78.44
5.88e+05	22.84	78.37
6.63e+05	20.54	71.61
7.425e+05	20.06	70.56
8.265e+05	19.43	68.83
9.15e+05	18.1	65.47
1.008e+06	18.33	65.83
1.106e+06	17.26	62.82
1.173e+06	16.8	61.8
1.242e+06	16	58.85
1.314e+06	15.53	57.33
1.425e+06	14.16	53.87
1.58e+06	12.97	50.75
1.743e+06	12.8	49.93
1.914e+06	11.68	45.57
2.093e+06	11.1	44.21
2.186e+06	10.82	43.38
2.28e+06	10.76	42.32
2.426e+06	9.955	39.95
2.626e+06	9.931	39.37
2.836e+06	9.45	37.77
3.052e+06	8.515	34.99
3.164e+06	8.585	35.1
3.278e+06	8.707	35.38
3.452e+06	7.995	32.64
3.690e+06	7.606	31.53
3.938e+06	7.127	30.04
4.128e+06	6.616	28.24
4.258e+06	6.324	27.19
4.456e+06	6.058	26.66
4.726e+06	5.768	25.61
5.006e+06	5.326	24.34
5.22e+06	5.122	23.73
5.439e+06	4.942	23.3
5.738e+06	5.032	23.42
6.045e+06	4.727	22.17
6.202e+06	4.435	21.41
6.44e+06	4.31	21.04
6.765e+06	4.284	20.94
7.098e+06	4.004	20.24
7.268e+06	3.876	19.44
7.612e+06	3.727	18.95
7.966e+06	3.642	18.38
8.236e+06	3.259	17.49
8.51e+06	3.208	17.28
8.883e+06	3.257	17.1
9.168e+06	3.162	15.75
9.458e+06	2.925	14.67
9.850e+06	2.836	14.4
1.015e+07	2.571	13.53
1.046e+07	2.579	13.54
1.087e+07	2.47	13.19
1.118e+07	2.278	12.35
1.161e+07	2.301	12.44
1.204e+07	2.281	12.43
1.238e+07	2.111	11.98
1.283e+07	2.118	11.94
1.317e+07	2.025	11.62
1.363e+07	1.935	11.4
1.398e+07	1.822	11.12
1.434e+07	1.833	11.14
1.482e+07	1.804	10.99
1.519e+07	1.742	10.64
1.569e+07	1.686	10.45
1.607e+07	1.679	10.47
1.658e+07	1.622	10.28
1.71e+07	1.508	10.01
1.749e+07	1.482	9.91
1.802e+07	1.493	9.947
1.843e+07	1.516	9.977
1.898e+07	1.394	9.527
1.939e+07	1.387	9.493
1.995e+07	1.275	9.011
2.038e+07	1.266	8.995
2.11e+07	1.255	8.986
2.154e+07	1.242	8.95
2.198e+07	1.192	8.793
2.242e+07	1.21	8.856
2.303e+07	1.198	8.865
2.349e+07	1.184	8.793
2.395e+07	1.16	8.654
2.441e+07	1.103	8.444
2.488e+07	1.09	8.412
2.552e+07	1.106	8.448
2.6e+07	1.096	8.41
2.665e+07	1.109	8.476
2.714e+07	1.062	8.167
2.781e+07	1.058	8.171
2.831e+07	1.064	8.184
2.898e+07	1.046	8.167
2.95e+07	1.053	8.182
3.002e+07	1.068	8.254
3.071e+07	1.07	8.318
3.124e+07	1.088	8.4
3.195e+07	1.054	8.19
3.249e+07	1.029	8.114
3.303e+07	0.9849	7.94
3.376e+07	0.9594	7.836
3.432e+07	0.9345	7.686
3.488e+07	0.8863	7.476
3.563e+07	0.8938	7.518
3.62e+07	0.882	7.467
3.677e+07	0.8535	7.361
3.754e+07	0.857	7.367
3.812e+07	0.8651	7.395
3.871e+07	0.8757	7.424
3.95e+07	0.8775	7.446
4.01e+07	0.8851	7.475
4.07e+07	0.8944	7.509
4.151e+07	0.9118	7.593
4.213e+07	0.8904	7.463
4.275e+07	0.8756	7.363
4.358e+07	0.8649	7.33
4.442e+07	0.8388	7.222
4.505e+07	0.8062	7.044
4.569e+07	0.7854	6.974
4.655e+07	0.7926	7.006
4.742e+07	0.7952	7.017
