# version: 0.0.0-135-ga62a855-dirty
# well_width: 1.3
# ff: 0.3
# N: 10
# walls: 0
# cell dimensions: (4.05649, 4.05649, 8.48528)
# seed: 2
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 60
# min_T: 0.2
# fractional_sample_error after initialization: 0.040599
# min_important_energy after initialization: 37

# histogram method: simple flat
# init_iter_limit: 10000000
# iterations: 10000000
# working moves: 3982326
# total moves: 8904970
# acceptance rate: 0.447203

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0.128691
21  0.616884
22  1.477
23  2.71291
24  4.31745
25  6.22323
26  8.29488
27  10.4495
28  12.7076
29  15.041
30  17.451
31  19.9929
32  22.8266
33  26.2143
34  29.7631
35  34.9371
36  38.7004
37  43.2981
38  114.322
39  119.322
40  124.322
41  129.322
42  134.322
43  139.322
44  144.322
45  149.322
46  154.322
47  159.322
48  164.322
49  169.322
50  174.322
51  179.322
52  184.322
53  189.322
54  194.322
55  199.322
56  204.322
57  209.322
58  214.322
59  219.322
