# version: 0.0.0-135-ga62a855-dirty
# well_width: 1.3
# ff: 0.3
# N: 11
# walls: 0
# cell dimensions: (4.25448, 4.25448, 8.48528)
# seed: 2
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 60
# min_T: 0.2
# fractional_sample_error after initialization: 0.0198256
# min_important_energy after initialization: 42

# histogram method: simple flat
# init_iter_limit: 12100000
# iterations: 12100000
# working moves: 16924695
# total moves: 32895159
# acceptance rate: 0.514504

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0.0699936
24  0.398495
25  0.999457
26  1.87124
27  3.00925
28  4.39992
29  6.02586
30  7.8324
31  9.75399
32  11.7416
33  13.8175
34  16.0129
35  18.3498
36  20.8315
37  23.4628
38  26.3059
39  29.7884
40  33.5729
41  37.3733
42  41.2924
43  46.2924
44  51.2924
45  56.2924
46  61.2924
47  66.2924
48  71.2924
49  76.2924
50  81.2924
51  86.2924
52  91.2924
53  96.2924
54  101.292
55  106.292
56  111.292
57  116.292
58  121.292
59  126.292
