# version: 0.0.0-135-ga62a855-dirty
# well_width: 1.3
# ff: 0.3
# N: 15
# walls: 0
# cell dimensions: (5.93863, 5.93863, 5.93863)
# seed: 2
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 84
# min_T: 0.2
# fractional_sample_error after initialization: 0.0128283
# min_important_energy after initialization: 73

# histogram method: simple flat
# init_iter_limit: 22500000
# iterations: 22500000
# working moves: 68946222
# total moves: 146199075
# acceptance rate: 0.471591

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0
24  0
25  0
26  0
27  0
28  0
29  0
30  0
31  0
32  0
33  0
34  0
35  0
36  0
37  0.0657412
38  0.256181
39  0.567538
40  0.997298
41  1.5435
42  2.19619
43  2.95648
44  3.81741
45  4.78021
46  5.83633
47  6.98868
48  8.22266
49  9.55614
50  10.9745
51  12.4728
52  14.0568
53  15.7333
54  17.4827
55  19.3278
56  21.263
57  23.3002
58  25.432
59  27.6762
60  30.0341
61  32.49
62  35.0511
63  37.7305
64  40.5245
65  43.4471
66  46.5267
67  49.7769
68  53.2448
69  56.9515
70  60.9362
71  65.207
72  69.8364
73  75.1313
74  80.1313
75  85.1313
76  90.1313
77  95.1313
78  100.131
79  105.131
80  110.131
81  115.131
82  120.131
83  125.131
