#git version: 0.0.0-1998-g52a568be
#Data for:      kT=2      n=0.01     fv=0      gw=0.1        inclusion radius = 4.0          
#lattice_constant =  [4(1-fv)/n]^1/3 = 7.36806
#
#Numpts/seed	hFideal/vol		hphi_1			hphi_2			hphi_3			hFE/vol		cFideal/vol
#800/1		-0.389743444		-0.000102754726564	0.000305913981334	7.88E-07		-0.389334	-0.244621
#
#dx	Cphi_1_800	Cphi_2_800	Cphi_3_800	cFE/vol_800
0.1	0.0508193	-0.124165	0.00504632	-0.312921
0.09	0.0517771	-0.147544	0.00471679	-0.335672
0.08	0.0551875	-0.146186	0.0045145	-0.331105
0.07	0.0547635	-0.150724	0.00435732	-0.336225
0.06	0.0586821	-0.187321	0.00422684	-0.369034
0.05	0.0595742	-0.199781	0.00407379	-0.380754
0.04	0.0632179	-0.210372	0.00391529	-0.38786
0.03	0.0657214	-0.228293	0.00376182	-0.403431
0.02	0.068886	-0.241162	0.00360013	-0.413297
0.01	0.0694065	-0.261375	0.00345865	-0.433131
0.009	0.0697211	-0.262047	0.00344083	-0.433506
0.008	0.0697282	-0.265015	0.00342655	-0.436481
0.007	0.0700555	-0.267531	0.0034122	-0.438684
0.006	0.0705182	-0.268209	0.00339807	-0.438914



