#git version: 0.0.0-1998-g52a568be
#Data for:      kT=2      n=0.01     fv=0      gw=0.1        inclusion radius = 4.0          
#lattice_constant =  [4(1-fv)/n]^1/3 = 7.36806
#
#Numpts/seed	hFideal/vol		hphi_1			hphi_2			hphi_3			hFE/vol		cFideal/vol
#8000/1		-0.389743444		-0.000102754726564	0.000305913981334	7.88E-07		-0.389334	-0.244621
#
#dx	Cphi_1_8000	Cphi_2_8000	Cphi_3_8000	cFE/vol_8000
0.1	0.0492588	-0.122174	0.00488599	-0.31265
0.09	0.0520724	-0.132889	0.00473719	-0.320701
0.08	0.0560867	-0.146973	0.00452862	-0.330979
0.07	0.0554002	-0.158394	0.00439506	-0.34322
0.06	0.0583226	-0.172546	0.00421736	-0.354627
0.05	0.0602658	-0.187118	0.00406101	-0.367412
0.04	0.0657847	-0.19818	0.00390159	-0.373115
0.03	0.0655179	-0.215064	0.00373811	-0.390429
0.02	0.0671031	-0.226269	0.00358975	-0.400198
0.01	0.069315	-0.241766	0.00344267	-0.41363



