#git version: 0.0.0-1998-g52a568be
#Data for:      kT=2      n=0.01     fv=0      gw=0.1        inclusion radius = 4.0          
#lattice_constant =  [4(1-fv)/n]^1/3 = 7.36806
#
#Numpts/seed	hFideal/vol		hphi_1			hphi_2			hphi_3			hFE/vol		cFideal/vol
#8/1		-0.389743444		-0.000102754726564	0.000305913981334	7.88E-07		-0.389334	-0.244621
#
#dx	Cphi_1_8	Cphi_2_8	Cphi_3_8	cFE/vol_8
0.1	0.0500235	-9.69158	0.0066963	-9.87948
0.09	0.0520128	-1.4877		0.00731471	-1.67299
0.08	0.102739	-351.517	0.00622886	-351.652
0.07	0.0650694	-281.273	0.00640159	-281.447
0.06	0.0780896	-1524.13	0.00637113	-1524.29
0.05	0.0694134	-261.964	0.00576903	-262.134
0.04	0.0727465	-160.798	0.0056485	-160.964
0.03	0.0824016	-303.491	0.00556387	-303.648
0.02	0.0783042	-1498.52	0.00541036	-1498.68
0.01	0.084591	-12861.5	0.00527195	-12861.6



