#git version: 0.0.0-1998-g52a568be
#Data for:      kT=2      n=0.01     fv=0      gw=0.1        inclusion radius = 4.0          
#lattice_constant =  [4(1-fv)/n]^1/3 = 7.36806
#
#Numpts/seed	hFideal/vol		hphi_1			hphi_2			hphi_3			hFE/vol		cFideal/vol
#80/1		-0.389743444		-0.000102754726564	0.000305913981334	7.88E-07		-0.389334	-0.244621
#
#dx	Cphi_1_80	Cphi_2_80	Cphi_3_80	cFE/vol_80
0.1	0.0531254	-0.166923	0.00555567	-0.352863
0.09	0.0536333	-0.425028	0.00477571	-0.61124
0.08	0.050946	-0.323881	0.00478006	-0.512776
0.07	0.0564969	-0.186022	0.00455399	-0.369592
0.06	0.0582221	-0.416269	0.00428645	-0.598382
0.05	0.0601623	-0.356219	0.004286	-0.536392
0.04	0.0626679	-0.696113	0.00408774	-0.873978
0.03	0.0655627	-0.416468	0.00394011	-0.591586
0.02	0.0687226	-0.585218	0.00373271	-0.757384
0.01	0.0717664	-0.845949	0.00358675	-1.01522



