#git version: 0.0.0-1998-g52a568be
#Data for:      kT=2      n=0.01     fv=0      gw=0.1        inclusion radius = 4.0          
#lattice_constant =  [4(1-fv)/n]^1/3 = 7.36806
#
#Numpts/seed	hFideal/vol		hphi_1			hphi_2			hphi_3			hFE/vol		cFideal/vol
#400/1		-0.389743444		-0.000102754726564	0.000305913981334	7.88E-07		-0.389334	-0.244621
#
#dx	Cphi_1_400	Cphi_2_400	Cphi_3_400	cFE/vol_400
0.1	0.0470833	-0.120547	0.00511711	-0.312968
0.09	0.0492357	-0.144748	0.00485293	-0.33528
0.08	0.0544778	-0.166464	0.00456832	-0.352039
0.07	0.0541957	-0.162908	0.00440253	-0.348931
0.06	0.0578845	-0.205334	0.00425095	-0.38782
0.05	0.0599368	-0.207618	0.00407045	-0.388232
0.04	0.0640603	-0.230863	0.00393373	-0.40749
0.03	0.0641203	-0.243336	0.00375208	-0.420085
0.02	0.0685256	-0.257572	0.0036098	-0.430057
0.01	0.06949		-0.29077	0.00347271	-0.462429
0.009	0.0699915	-0.289963	0.00345794	-0.461135
0.008	0.0701836	-0.292078	0.00344353	-0.463072
0.007	0.0705159	-0.292521	0.0034276	-0.463198
0.006	0.0702265	-0.296044	0.00341127	-0.467028



