# s	g2	z	x
0	0.993267	3.005	10
0.1	0.999502	3.005	9.9
0.2	1.00491	3.005	9.8
0.3	1.01029	3.005	9.7
0.4	1.01618	3.005	9.6
0.5	1.01838	3.005	9.5
0.6	1.02007	3.005	9.4
0.7	1.01918	3.005	9.3
0.8	1.01441	3.005	9.2
0.9	1.00868	3.005	9.1
1	1.00268	3.005	9
1.1	0.993281	3.005	8.9
1.2	0.984389	3.005	8.8
1.3	0.978178	3.005	8.7
1.4	0.97131	3.005	8.6
1.5	0.970207	3.005	8.5
1.6	0.972335	3.005	8.4
1.7	0.976695	3.005	8.3
1.8	0.9853	3.005	8.2
1.9	0.997122	3.005	8.1
2	1.00915	3.005	8
2.1	1.0219	3.005	7.9
2.2	1.03374	3.005	7.8
2.3	1.04273	3.005	7.7
2.4	1.04687	3.005	7.6
2.5	1.04531	3.005	7.5
2.6	1.03574	3.005	7.4
2.7	1.0207	3.005	7.3
2.8	1.00217	3.005	7.2
2.9	0.981987	3.005	7.1
3	0.960359	3.005	7
3.1	0.945743	3.005	6.9
3.2	0.935584	3.005	6.8
3.3	0.930302	3.005	6.7
3.4	0.935155	3.005	6.6
3.5	0.948973	3.005	6.5
3.6	0.96987	3.005	6.4
3.7	0.997985	3.005	6.3
3.8	1.02513	3.005	6.2
3.9	1.05156	3.005	6.1
4	1.07562	3.005	6
4.1	1.09372	3.005	5.9
4.2	1.10303	3.005	5.8
4.3	1.1026	3.005	5.7
4.4	1.09072	3.005	5.6
4.5	1.05873	3.005	5.5
4.6	1.01871	3.005	5.4
4.7	0.967296	3.005	5.3
4.8	0.916113	3.005	5.2
4.9	0.877792	3.005	5.1
5	0.848466	3.005	5
5.1	0.831395	3.005	4.9
5.2	0.83544	3.005	4.8
5.3	0.855506	3.005	4.7
5.4	0.894479	3.005	4.6
5.5	0.956503	3.005	4.5
5.6	1.0336	3.005	4.4
5.7	1.13103	3.005	4.3
5.8	1.2293	3.005	4.2
5.9	1.30778	3.005	4.1
6	1.31335	3.005	4
6.1	1.24405	3.005	3.9
6.2	1.19176	3.005	3.8
6.3	1.12277	3.005	3.7
6.4	1.02852	3.005	3.6
6.5	0.906808	3.005	3.5
6.6	0.791098	3.005	3.4
6.7	0.7036	3.005	3.3
6.8	0.646297	3.005	3.2
6.9	0.611706	3.005	3.1
7	0.5989	3.005	3
7.1	0.614038	3.005	2.9
7.2	0.656944	3.005	2.8
7.3	0.733546	3.005	2.7
7.4	0.854638	3.005	2.6
7.5	1.0392	3.005	2.5
7.6	1.32336	3.005	2.4
7.7	1.74903	3.005	2.3
7.8	2.42499	3.005	2.2
7.9	3.49369	3.005	2.1
8	5.1142	3.005	2.005
8.03149	4.9258	3.03649	2.00475
8.06299	4.74466	3.06798	2.00401
8.09448	4.57058	3.09945	2.00277
8.12598	4.40846	3.13089	2.00104
8.15747	4.2927	3.16231	1.99882
8.18897	4.18167	3.19369	1.9961
8.22046	4.07525	3.22502	1.99289
8.25196	3.97331	3.25629	1.98919
8.28345	3.87574	3.28751	1.985
8.31494	3.78239	3.31865	1.98032
8.34644	3.69316	3.34972	1.97514
8.37793	3.60791	3.3807	1.96949
8.40943	3.53752	3.41159	1.96334
8.44092	3.47835	3.44238	1.95671
8.47242	3.42192	3.47306	1.9496
8.50391	3.36817	3.50362	1.94201
8.53541	3.31699	3.53407	1.93394
8.5669	3.2683	3.56438	1.92539
8.59839	3.22201	3.59455	1.91636
8.62989	3.17803	3.62458	1.90687
8.66138	3.13629	3.65445	1.8969
8.69288	3.09671	3.68417	1.88647
8.72437	3.05919	3.71372	1.87557
8.75587	3.02368	3.74309	1.8642
8.78736	2.99009	3.77228	1.85238
8.81886	2.95835	3.80128	1.8401
8.85035	2.9284	3.83009	1.82736
8.88185	2.9067	3.85869	1.81418
8.91334	2.88686	3.88708	1.80055
8.94483	2.86821	3.91525	1.78647
8.97633	2.85069	3.9432	1.77195
9.00782	2.83428	3.97092	1.75699
9.03932	2.81891	3.99839	1.74161
9.07081	2.80456	4.02563	1.72579
9.10231	2.79118	4.05261	1.70954
9.1338	2.77874	4.07933	1.69288
9.1653	2.7672	4.10579	1.67579
9.19679	2.75652	4.13198	1.6583
9.22828	2.74667	4.15789	1.64039
9.25978	2.73763	4.18351	1.62208
9.29127	2.72934	4.20884	1.60337
