# s	g2	z	x
0	1.00001	3.005	10
0.1	1.00001	3.005	9.9
0.2	1	3.005	9.8
0.3	0.99999	3.005	9.7
0.4	0.999979	3.005	9.6
0.5	0.999967	3.005	9.5
0.6	0.999957	3.005	9.4
0.7	0.99995	3.005	9.3
0.8	0.999948	3.005	9.2
0.9	0.999952	3.005	9.1
1	0.999963	3.005	9
1.1	0.999981	3.005	8.9
1.2	1.00001	3.005	8.8
1.3	1.00003	3.005	8.7
1.4	1.00007	3.005	8.6
1.5	1.0001	3.005	8.5
1.6	1.00012	3.005	8.4
1.7	1.00014	3.005	8.3
1.8	1.00014	3.005	8.2
1.9	1.00013	3.005	8.1
2	1.00009	3.005	8
2.1	1.00004	3.005	7.9
2.2	0.999965	3.005	7.8
2.3	0.999882	3.005	7.7
2.4	0.999794	3.005	7.6
2.5	0.999713	3.005	7.5
2.6	0.999649	3.005	7.4
2.7	0.999615	3.005	7.3
2.8	0.999622	3.005	7.2
2.9	0.999678	3.005	7.1
3	0.999788	3.005	7
3.1	0.99995	3.005	6.9
3.2	1.00016	3.005	6.8
3.3	1.00039	3.005	6.7
3.4	1.00063	3.005	6.6
3.5	1.00084	3.005	6.5
3.6	1.001	3.005	6.4
3.7	1.00107	3.005	6.3
3.8	1.00101	3.005	6.2
3.9	1.00082	3.005	6.1
4	1.00048	3.005	6
4.1	1	3.005	5.9
4.2	0.999412	3.005	5.8
4.3	0.998759	3.005	5.7
4.4	0.99811	3.005	5.6
4.5	0.997548	3.005	5.5
4.6	0.997165	3.005	5.4
4.7	0.997048	3.005	5.3
4.8	0.997276	3.005	5.2
4.9	0.997897	3.005	5.1
5	0.998926	3.005	5
5.1	1.00033	3.005	4.9
5.2	1.00202	3.005	4.8
5.3	1.00385	3.005	4.7
5.4	1.00563	3.005	4.6
5.5	1.00713	3.005	4.5
5.6	1.00811	3.005	4.4
5.7	1.00833	3.005	4.3
5.8	1.0076	3.005	4.2
5.9	1.00582	3.005	4.1
6	1.00298	3.005	4
6.1	0.999227	3.005	3.9
6.2	0.99484	3.005	3.8
6.3	0.990262	3.005	3.7
6.4	0.986066	3.005	3.6
6.5	0.982921	3.005	3.5
6.6	0.981534	3.005	3.4
6.7	0.982581	3.005	3.3
6.8	0.986624	3.005	3.2
6.9	0.994033	3.005	3.1
7	1.00492	3.005	3
7.1	1.01909	3.005	2.9
7.2	1.03606	3.005	2.8
7.3	1.05509	3.005	2.7
7.4	1.07534	3.005	2.6
7.5	1.09601	3.005	2.5
7.6	1.11666	3.005	2.4
7.7	1.13753	3.005	2.3
7.8	1.15993	3.005	2.2
7.9	1.18671	3.005	2.1
8	1.22066	3.005	2.005
8.03149	1.22204	3.03649	2.00475
8.06299	1.22336	3.06798	2.00401
8.09448	1.22463	3.09945	2.00277
8.12598	1.22585	3.13089	2.00104
8.15747	1.22702	3.16231	1.99882
8.18897	1.22815	3.19369	1.9961
8.22046	1.22923	3.22502	1.99289
8.25196	1.23028	3.25629	1.98919
8.28345	1.23129	3.28751	1.985
8.31494	1.23226	3.31865	1.98032
8.34644	1.2332	3.34972	1.97514
8.37793	1.23412	3.3807	1.96949
