# s	g2	z	x
0	0.999484	3.005	10
0.1	1.00126	3.005	9.9
0.2	0.998818	3.005	9.8
0.3	0.998735	3.005	9.7
0.4	0.999188	3.005	9.6
0.5	0.997602	3.005	9.5
0.6	0.998544	3.005	9.4
0.7	0.998991	3.005	9.3
0.8	0.998927	3.005	9.2
0.9	0.999262	3.005	9.1
1	0.998917	3.005	9
1.1	0.999566	3.005	8.9
1.2	1.00005	3.005	8.8
1.3	1.00041	3.005	8.7
1.4	1.0017	3.005	8.6
1.5	1.00286	3.005	8.5
1.6	1.00166	3.005	8.4
1.7	1.00089	3.005	8.3
1.8	1.00118	3.005	8.2
1.9	1.00045	3.005	8.1
2	0.998606	3.005	8
2.1	0.999532	3.005	7.9
2.2	0.998389	3.005	7.8
2.3	0.997045	3.005	7.7
2.4	0.996188	3.005	7.6
2.5	0.995268	3.005	7.5
2.6	0.996023	3.005	7.4
2.7	0.993571	3.005	7.3
2.8	0.998573	3.005	7.2
2.9	0.996516	3.005	7.1
3	1.00033	3.005	7
3.1	1.00092	3.005	6.9
3.2	1.00446	3.005	6.8
3.3	1.00459	3.005	6.7
3.4	1.00721	3.005	6.6
3.5	1.01053	3.005	6.5
3.6	1.01156	3.005	6.4
3.7	1.01196	3.005	6.3
3.8	1.01104	3.005	6.2
3.9	1.00582	3.005	6.1
4	1.00145	3.005	6
4.1	0.995605	3.005	5.9
4.2	0.992061	3.005	5.8
4.3	0.985067	3.005	5.7
4.4	0.979785	3.005	5.6
4.5	0.97807	3.005	5.5
4.6	0.974471	3.005	5.4
4.7	0.97599	3.005	5.3
4.8	0.976675	3.005	5.2
4.9	0.983545	3.005	5.1
5	0.992496	3.005	5
5.1	1.00371	3.005	4.9
5.2	1.01083	3.005	4.8
5.3	1.03085	3.005	4.7
5.4	1.04319	3.005	4.6
5.5	1.05563	3.005	4.5
5.6	1.06766	3.005	4.4
5.7	1.07405	3.005	4.3
5.8	1.0727	3.005	4.2
5.9	1.06203	3.005	4.1
6	1.02635	3.005	4
6.1	0.982317	3.005	3.9
6.2	0.939734	3.005	3.8
6.3	0.906911	3.005	3.7
6.4	0.877908	3.005	3.6
6.5	0.855119	3.005	3.5
6.6	0.848675	3.005	3.4
6.7	0.848039	3.005	3.3
6.8	0.860363	3.005	3.2
6.9	0.882245	3.005	3.1
7	0.915463	3.005	3
7.1	0.96084	3.005	2.9
7.2	1.02235	3.005	2.8
7.3	1.1077	3.005	2.7
7.4	1.20579	3.005	2.6
7.5	1.33411	3.005	2.5
7.6	1.48565	3.005	2.4
7.7	1.67393	3.005	2.3
7.8	1.90829	3.005	2.2
7.9	2.19637	3.005	2.1
8	2.54543	3.005	2.005
8.03149	2.58709	3.03649	2.00475
8.06299	2.62766	3.06798	2.00401
