# s	g2	z	x
0	nan	3.005	10
0.1	nan	3.005	9.9
0.2	nan	3.005	9.8
0.3	nan	3.005	9.7
0.4	nan	3.005	9.6
0.5	nan	3.005	9.5
0.6	nan	3.005	9.4
0.7	nan	3.005	9.3
0.8	nan	3.005	9.2
0.9	nan	3.005	9.1
1	nan	3.005	9
1.1	nan	3.005	8.9
1.2	nan	3.005	8.8
1.3	nan	3.005	8.7
1.4	nan	3.005	8.6
1.5	nan	3.005	8.5
1.6	nan	3.005	8.4
1.7	nan	3.005	8.3
1.8	nan	3.005	8.2
1.9	nan	3.005	8.1
2	nan	3.005	8
2.1	nan	3.005	7.9
2.2	nan	3.005	7.8
2.3	nan	3.005	7.7
2.4	nan	3.005	7.6
2.5	nan	3.005	7.5
2.6	nan	3.005	7.4
2.7	nan	3.005	7.3
2.8	nan	3.005	7.2
2.9	nan	3.005	7.1
3	nan	3.005	7
3.1	nan	3.005	6.9
3.2	nan	3.005	6.8
3.3	nan	3.005	6.7
3.4	nan	3.005	6.6
3.5	nan	3.005	6.5
3.6	nan	3.005	6.4
3.7	nan	3.005	6.3
3.8	nan	3.005	6.2
3.9	nan	3.005	6.1
4	nan	3.005	6
4.1	nan	3.005	5.9
4.2	nan	3.005	5.8
4.3	nan	3.005	5.7
4.4	nan	3.005	5.6
4.5	nan	3.005	5.5
4.6	nan	3.005	5.4
4.7	nan	3.005	5.3
4.8	nan	3.005	5.2
4.9	nan	3.005	5.1
5	nan	3.005	5
5.1	nan	3.005	4.9
5.2	nan	3.005	4.8
5.3	nan	3.005	4.7
5.4	nan	3.005	4.6
5.5	nan	3.005	4.5
5.6	nan	3.005	4.4
5.7	nan	3.005	4.3
5.8	nan	3.005	4.2
5.9	nan	3.005	4.1
6	nan	3.005	4
6.1	nan	3.005	3.9
6.2	nan	3.005	3.8
6.3	nan	3.005	3.7
6.4	nan	3.005	3.6
6.5	nan	3.005	3.5
6.6	nan	3.005	3.4
6.7	nan	3.005	3.3
6.8	nan	3.005	3.2
6.9	nan	3.005	3.1
7	nan	3.005	3
7.1	nan	3.005	2.9
7.2	nan	3.005	2.8
7.3	nan	3.005	2.7
7.4	nan	3.005	2.6
7.5	nan	3.005	2.5
7.6	nan	3.005	2.4
7.7	nan	3.005	2.3
7.8	nan	3.005	2.2
7.9	nan	3.005	2.1
8	nan	3.005	2.005
8.03149	nan	3.03649	2.00475
8.06299	nan	3.06798	2.00401
8.09448	nan	3.09945	2.00277
8.12598	nan	3.13089	2.00104
8.15747	nan	3.16231	1.99882
8.18897	nan	3.19369	1.9961
8.22046	nan	3.22502	1.99289
8.25196	nan	3.25629	1.98919
8.28345	nan	3.28751	1.985
8.31494	nan	3.31865	1.98032
8.34644	nan	3.34972	1.97514
8.37793	nan	3.3807	1.96949
8.40943	nan	3.41159	1.96334
8.44092	nan	3.44238	1.95671
8.47242	nan	3.47306	1.9496
8.50391	nan	3.50362	1.94201
8.53541	nan	3.53407	1.93394
8.5669	nan	3.56438	1.92539
8.59839	nan	3.59455	1.91636
8.62989	nan	3.62458	1.90687
8.66138	nan	3.65445	1.8969
8.69288	nan	3.68417	1.88647
8.72437	nan	3.71372	1.87557
8.75587	nan	3.74309	1.8642
8.78736	nan	3.77228	1.85238
8.81886	nan	3.80128	1.8401
8.85035	nan	3.83009	1.82736
8.88185	nan	3.85869	1.81418
8.91334	nan	3.88708	1.80055
8.94483	nan	3.91525	1.78647
8.97633	nan	3.9432	1.77195
9.00782	nan	3.97092	1.75699
9.03932	nan	3.99839	1.74161
9.07081	nan	4.02563	1.72579
9.10231	nan	4.05261	1.70954
9.1338	nan	4.07933	1.69288
9.1653	nan	4.10579	1.67579
9.19679	nan	4.13198	1.6583
9.22828	nan	4.15789	1.64039
9.25978	nan	4.18351	1.62208
9.29127	nan	4.20884	1.60337
9.32277	nan	4.23388	1.58426
9.35426	nan	4.25861	1.56476
9.38576	nan	4.28304	1.54488
9.41725	nan	4.30714	1.52461
9.44875	nan	4.33093	1.50397
9.48024	nan	4.35439	1.48296
9.51173	nan	4.37752	1.46158
9.54323	nan	4.40031	1.43984
9.57472	nan	4.42275	1.41775
9.60622	nan	4.44484	1.39531
9.63771	nan	4.46658	1.37252
9.66921	nan	4.48796	1.34939
9.7007	nan	4.50897	1.32593
9.7322	nan	4.52961	1.30214
9.76369	nan	4.54988	1.27804
9.79518	nan	4.56976	1.25361
9.82668	nan	4.58926	1.22888
9.85817	nan	4.60837	1.20384
9.88967	nan	4.62708	1.17851
9.92116	nan	4.64539	1.15289
9.95266	nan	4.6633	1.12698
9.98415	nan	4.68079	1.10079
10.0156	nan	4.69788	1.07433
10.0471	nan	4.71454	1.04761
10.0786	nan	4.73079	1.02063
10.1101	nan	4.74661	0.993395
10.1416	nan	4.76199	0.965916
10.1731	nan	4.77695	0.938199
10.2046	nan	4.79147	0.910251
10.2361	nan	4.80555	0.882078
10.2676	nan	4.81918	0.853687
10.2991	nan	4.83236	0.825086
10.3306	nan	4.8451	0.796282
10.3621	nan	4.85738	0.76728
10.3936	nan	4.8692	0.73809
10.4251	nan	4.88057	0.708717
10.4566	nan	4.89147	0.67917
10.4881	nan	4.9019	0.649454
10.5196	nan	4.91187	0.619579
10.5511	nan	4.92136	0.589551
10.5825	nan	4.93039	0.559377
10.614	nan	4.93894	0.529065
10.6455	nan	4.94701	0.498623
10.677	nan	4.9546	0.468058
10.7085	nan	4.96171	0.437377
10.74	nan	4.96834	0.406589
10.7715	nan	4.97449	0.3757
10.803	nan	4.98014	0.344718
10.8345	nan	4.98532	0.313651
10.866	nan	4.99	0.282507
10.8975	nan	4.99419	0.251293
10.929	nan	4.99789	0.220017
10.9605	nan	5.0011	0.188687
10.992	nan	5.00382	0.15731
11.0235	nan	5.00604	0.125895
11.055	nan	5.00777	0.0944484
11.0865	nan	5.00901	0.0629786
11.118	nan	5.00975	0.0314932
11.1444	nan	5.01	0
11.2444	nan	5.11	0
11.3444	nan	5.21	0
11.4444	nan	5.31	0
11.5444	nan	5.41	0
11.6444	nan	5.51	0
11.7444	nan	5.61	0
11.8444	nan	5.71	0
11.9444	nan	5.81	0
12.0444	nan	5.91	0
12.1444	nan	6.01	0
12.2444	nan	6.11	0
12.3444	nan	6.21	0
12.4444	nan	6.31	0
12.5444	nan	6.41	0
12.6444	nan	6.51	0
12.7444	nan	6.61	0
12.8444	nan	6.71	0
