# s	g2	z	x
0	1.00296	3.005	10
0.1	1.00444	3.005	9.9
0.2	1.0044	3.005	9.8
0.3	1.00443	3.005	9.7
0.4	1.00255	3.005	9.6
0.5	1.00187	3.005	9.5
0.6	0.998024	3.005	9.4
0.7	0.999074	3.005	9.3
0.8	0.994272	3.005	9.2
0.9	0.99384	3.005	9.1
1	0.992813	3.005	9
1.1	0.99255	3.005	8.9
1.2	0.991086	3.005	8.8
1.3	0.991876	3.005	8.7
1.4	0.995497	3.005	8.6
1.5	0.996641	3.005	8.5
1.6	1.00203	3.005	8.4
1.7	1.00317	3.005	8.3
1.8	1.00662	3.005	8.2
1.9	1.0104	3.005	8.1
2	1.01422	3.005	8
2.1	1.01568	3.005	7.9
2.2	1.01286	3.005	7.8
2.3	1.01004	3.005	7.7
2.4	1.00692	3.005	7.6
2.5	1.00094	3.005	7.5
2.6	0.99328	3.005	7.4
2.7	0.986469	3.005	7.3
2.8	0.978941	3.005	7.2
2.9	0.976315	3.005	7.1
3	0.970747	3.005	7
3.1	0.972918	3.005	6.9
3.2	0.97782	3.005	6.8
3.3	0.984317	3.005	6.7
3.4	0.992298	3.005	6.6
3.5	1.00488	3.005	6.5
3.6	1.0176	3.005	6.4
3.7	1.02872	3.005	6.3
3.8	1.03873	3.005	6.2
3.9	1.04723	3.005	6.1
4	1.04698	3.005	6
4.1	1.04595	3.005	5.9
4.2	1.03308	3.005	5.8
4.3	1.02014	3.005	5.7
4.4	0.999511	3.005	5.6
4.5	0.976554	3.005	5.5
4.6	0.95481	3.005	5.4
4.7	0.935363	3.005	5.3
4.8	0.925156	3.005	5.2
4.9	0.915834	3.005	5.1
5	0.915338	3.005	5
5.1	0.925571	3.005	4.9
5.2	0.940528	3.005	4.8
5.3	0.970099	3.005	4.7
5.4	1.0055	3.005	4.6
5.5	1.04671	3.005	4.5
5.6	1.09664	3.005	4.4
5.7	1.14624	3.005	4.3
5.8	1.18646	3.005	4.2
5.9	1.20646	3.005	4.1
6	1.17478	3.005	4
6.1	1.10815	3.005	3.9
6.2	1.04557	3.005	3.8
6.3	0.97201	3.005	3.7
6.4	0.901048	3.005	3.6
6.5	0.83087	3.005	3.5
6.6	0.781139	3.005	3.4
6.7	0.74176	3.005	3.3
6.8	0.721339	3.005	3.2
6.9	0.717719	3.005	3.1
7	0.733029	3.005	3
7.1	0.776945	3.005	2.9
7.2	0.830528	3.005	2.8
7.3	0.922498	3.005	2.7
7.4	1.04908	3.005	2.6
7.5	1.22745	3.005	2.5
7.6	1.46928	3.005	2.4
7.7	1.79884	3.005	2.3
7.8	2.25742	3.005	2.2
7.9	2.90612	3.005	2.1
8	3.78389	3.005	2.005
8.03149	3.79118	3.03649	2.00475
8.06299	3.79066	3.06798	2.00401
8.09448	3.78544	3.09945	2.00277
8.12598	3.77761	3.13089	2.00104
8.15747	3.7686	3.16231	1.99882
8.18897	3.75939	3.19369	1.9961
8.22046	3.75064	3.22502	1.99289
8.25196	3.74276	3.25629	1.98919
8.28345	3.73603	3.28751	1.985
8.31494	3.73059	3.31865	1.98032
8.34644	3.72653	3.34972	1.97514
8.37793	3.72385	3.3807	1.96949
8.40943	3.72253	3.41159	1.96334
8.44092	3.72251	3.44238	1.95671
8.47242	3.72372	3.47306	1.9496
8.50391	3.72607	3.50362	1.94201
8.53541	3.72948	3.53407	1.93394
8.5669	3.73383	3.56438	1.92539
8.59839	3.73904	3.59455	1.91636
8.62989	3.74498	3.62458	1.90687
8.66138	3.75156	3.65445	1.8969
8.69288	3.75868	3.68417	1.88647
8.72437	3.76622	3.71372	1.87557
8.75587	3.77409	3.74309	1.8642
8.78736	3.78219	3.77228	1.85238
8.81886	3.79041	3.80128	1.8401
8.85035	3.79866	3.83009	1.82736
8.88185	3.80685	3.85869	1.81418
8.91334	3.81487	3.88708	1.80055
8.94483	3.82265	3.91525	1.78647
8.97633	3.83011	3.9432	1.77195
9.00782	3.83715	3.97092	1.75699
9.03932	3.84371	3.99839	1.74161
9.07081	3.84971	4.02563	1.72579
9.10231	3.85511	4.05261	1.70954
9.1338	3.85984	4.07933	1.69288
9.1653	3.86385	4.10579	1.67579
9.19679	3.8671	4.13198	1.6583
9.22828	3.86957	4.15789	1.64039
9.25978	3.87123	4.18351	1.62208
9.29127	3.87206	4.20884	1.60337
9.32277	3.87206	4.23388	1.58426
9.35426	3.87123	4.25861	1.56476
9.38576	3.86958	4.28304	1.54488
9.41725	3.86712	4.30714	1.52461
9.44875	3.86388	4.33093	1.50397
9.48024	3.85989	4.35439	1.48296
9.51173	3.85518	4.37752	1.46158
9.54323	3.84979	4.40031	1.43984
