# s	g2	z	x
0	1.0001	3.005	10
0.1	1.00006	3.005	9.9
0.2	1.00001	3.005	9.8
0.3	0.999934	3.005	9.7
0.4	0.999856	3.005	9.6
0.5	0.999777	3.005	9.5
0.6	0.999709	3.005	9.4
0.7	0.999662	3.005	9.3
0.8	0.999647	3.005	9.2
0.9	0.999673	3.005	9.1
1	0.999747	3.005	9
1.1	0.999869	3.005	8.9
1.2	1.00003	3.005	8.8
1.3	1.00023	3.005	8.7
1.4	1.00045	3.005	8.6
1.5	1.00066	3.005	8.5
1.6	1.00083	3.005	8.4
1.7	1.00093	3.005	8.3
1.8	1.00094	3.005	8.2
1.9	1.00083	3.005	8.1
2	1.00059	3.005	8
2.1	1.00022	3.005	7.9
2.2	0.999734	3.005	7.8
2.3	0.999172	3.005	7.7
2.4	0.998585	3.005	7.6
2.5	0.998044	3.005	7.5
2.6	0.997629	3.005	7.4
2.7	0.997422	3.005	7.3
2.8	0.997499	3.005	7.2
2.9	0.997918	3.005	7.1
3	0.998707	3.005	7
3.1	0.999852	3.005	6.9
3.2	1.00129	3.005	6.8
3.3	1.00292	3.005	6.7
3.4	1.00456	3.005	6.6
3.5	1.00602	3.005	6.5
3.6	1.00706	3.005	6.4
3.7	1.00746	3.005	6.3
3.8	1.00701	3.005	6.2
3.9	1.00555	3.005	6.1
4	1.00303	3.005	6
4.1	0.999498	3.005	5.9
4.2	0.995156	3.005	5.8
4.3	0.990342	3.005	5.7
4.4	0.985531	3.005	5.6
4.5	0.981314	3.005	5.5
4.6	0.978343	3.005	5.4
4.7	0.977271	3.005	5.3
4.8	0.978676	3.005	5.2
4.9	0.982969	3.005	5.1
5	0.990316	3.005	5
5.1	1.00056	3.005	4.9
5.2	1.01317	3.005	4.8
5.3	1.02724	3.005	4.7
5.4	1.04149	3.005	4.6
5.5	1.05438	3.005	4.5
5.6	1.06419	3.005	4.4
5.7	1.06924	3.005	4.3
5.8	1.06808	3.005	4.2
5.9	1.05968	3.005	4.1
6	1.04369	3.005	4
6.1	1.02057	3.005	3.9
6.2	0.991708	3.005	3.8
6.3	0.959453	3.005	3.7
6.4	0.926986	3.005	3.6
6.5	0.898123	3.005	3.5
6.6	0.876987	3.005	3.4
6.7	0.867596	3.005	3.3
6.8	0.873421	3.005	3.2
6.9	0.896964	3.005	3.1
7	0.939437	3.005	3
