# s	g2	z	x
0	0.999723	3.005	10
0.1	1.00014	3.005	9.9
0.2	1.00014	3.005	9.8
0.3	0.997459	3.005	9.7
0.4	0.997087	3.005	9.6
0.5	0.996664	3.005	9.5
0.6	0.996704	3.005	9.4
0.7	0.995898	3.005	9.3
0.8	0.996982	3.005	9.2
0.9	0.997455	3.005	9.1
1	0.998123	3.005	9
1.1	0.998307	3.005	8.9
1.2	0.99928	3.005	8.8
1.3	1.00078	3.005	8.7
1.4	1.00156	3.005	8.6
1.5	1.00341	3.005	8.5
1.6	1.00271	3.005	8.4
1.7	1.00202	3.005	8.3
1.8	1.00248	3.005	8.2
1.9	1.00286	3.005	8.1
2	0.99977	3.005	8
2.1	1.00095	3.005	7.9
2.2	0.997986	3.005	7.8
2.3	0.99676	3.005	7.7
2.4	0.993339	3.005	7.6
2.5	0.99317	3.005	7.5
2.6	0.992164	3.005	7.4
2.7	0.991236	3.005	7.3
2.8	0.993571	3.005	7.2
2.9	0.991308	3.005	7.1
3	0.996288	3.005	7
3.1	0.996513	3.005	6.9
3.2	0.997668	3.005	6.8
3.3	1.00464	3.005	6.7
3.4	1.00635	3.005	6.6
3.5	1.0127	3.005	6.5
3.6	1.01868	3.005	6.4
3.7	1.01889	3.005	6.3
3.8	1.01869	3.005	6.2
3.9	1.01324	3.005	6.1
4	1.00733	3.005	6
4.1	1.00187	3.005	5.9
4.2	0.995744	3.005	5.8
4.3	0.986952	3.005	5.7
4.4	0.97533	3.005	5.6
4.5	0.968194	3.005	5.5
4.6	0.964919	3.005	5.4
4.7	0.960023	3.005	5.3
4.8	0.961173	3.005	5.2
4.9	0.967285	3.005	5.1
5	0.973318	3.005	5
5.1	0.989831	3.005	4.9
5.2	1.00066	3.005	4.8
5.3	1.0232	3.005	4.7
5.4	1.04456	3.005	4.6
5.5	1.06357	3.005	4.5
5.6	1.08536	3.005	4.4
5.7	1.09928	3.005	4.3
5.8	1.10712	3.005	4.2
5.9	1.09682	3.005	4.1
6	1.05892	3.005	4
6.1	1.00352	3.005	3.9
6.2	0.950089	3.005	3.8
6.3	0.910328	3.005	3.7
6.4	0.870929	3.005	3.6
6.5	0.836905	3.005	3.5
6.6	0.817807	3.005	3.4
6.7	0.815529	3.005	3.3
6.8	0.815882	3.005	3.2
6.9	0.836179	3.005	3.1
7	0.867133	3.005	3
7.1	0.913113	3.005	2.9
7.2	0.979239	3.005	2.8
7.3	1.06716	3.005	2.7
7.4	1.17517	3.005	2.6
7.5	1.31959	3.005	2.5
7.6	1.49767	3.005	2.4
7.7	1.72891	3.005	2.3
7.8	2.02284	3.005	2.2
7.9	2.38532	3.005	2.1
8	2.84087	3.005	2.005
8.03149	2.86055	3.03649	2.00475
8.06299	2.87962	3.06798	2.00401
8.09448	2.8981	3.09945	2.00277
8.12598	2.91603	3.13089	2.00104
8.15747	2.93602	3.16231	1.99882
8.18897	2.95873	3.19369	1.9961
8.22046	2.98086	3.22502	1.99289
8.25196	3.00246	3.25629	1.98919
8.28345	3.02361	3.28751	1.985
8.31494	3.04436	3.31865	1.98032
8.34644	3.06478	3.34972	1.97514
8.37793	3.08495	3.3807	1.96949
8.40943	3.10494	3.41159	1.96334
8.44092	3.12481	3.44238	1.95671
8.47242	3.1446	3.47306	1.9496
8.50391	3.1643	3.50362	1.94201
8.53541	3.18387	3.53407	1.93394
8.5669	3.20324	3.56438	1.92539
8.59839	3.22233	3.59455	1.91636
8.62989	3.24104	3.62458	1.90687
8.66138	3.25927	3.65445	1.8969
8.69288	3.27692	3.68417	1.88647
8.72437	3.29389	3.71372	1.87557
8.75587	3.31008	3.74309	1.8642
8.78736	3.3254	3.77228	1.85238
8.81886	3.33976	3.80128	1.8401
8.85035	3.35308	3.83009	1.82736
8.88185	3.3653	3.85869	1.81418
8.91334	3.37634	3.88708	1.80055
8.94483	3.38616	3.91525	1.78647
8.97633	3.3947	3.9432	1.77195
9.00782	3.40194	3.97092	1.75699
9.03932	3.40784	3.99839	1.74161
9.07081	3.41237	4.02563	1.72579
9.10231	3.41553	4.05261	1.70954
9.1338	3.4173	4.07933	1.69288
9.1653	3.41768	4.10579	1.67579
9.19679	3.41667	4.13198	1.6583
9.22828	3.41429	4.15789	1.64039
9.25978	3.41054	4.18351	1.62208
9.29127	3.40544	4.20884	1.60337
9.32277	3.39903	4.23388	1.58426
9.35426	3.39132	4.25861	1.56476
9.38576	3.38235	4.28304	1.54488
9.41725	3.37215	4.30714	1.52461
9.44875	3.36077	4.33093	1.50397
9.48024	3.34825	4.35439	1.48296
9.51173	3.33462	4.37752	1.46158
9.54323	3.31994	4.40031	1.43984
9.57472	3.30425	4.42275	1.41775
9.60622	3.28762	4.44484	1.39531
9.63771	3.27008	4.46658	1.37252
9.66921	3.2517	4.48796	1.34939
9.7007	3.23253	4.50897	1.32593
9.7322	3.21263	4.52961	1.30214
9.76369	3.19206	4.54988	1.27804
9.79518	3.17087	4.56976	1.25361
9.82668	3.14912	4.58926	1.22888
9.85817	3.12722	4.60837	1.20384
9.88967	3.10785	4.62708	1.17851
9.92116	3.0913	4.64539	1.15289
9.95266	3.07722	4.6633	1.12698
9.98415	3.06532	4.68079	1.10079
10.0156	3.05531	4.69788	1.07433
10.0471	3.04696	4.71454	1.04761
10.0786	3.04007	4.73079	1.02063
10.1101	3.03443	4.74661	0.993395
10.1416	3.0299	4.76199	0.965916
10.1731	3.02632	4.77695	0.938199
10.2046	3.02357	4.79147	0.910251
10.2361	3.02153	4.80555	0.882078
10.2676	3.02011	4.81918	0.853687
10.2991	3.01921	4.83236	0.825086
10.3306	3.01876	4.8451	0.796282
10.3621	3.01869	4.85738	0.76728
10.3936	3.01893	4.8692	0.73809
10.4251	3.01944	4.88057	0.708717
