# s	g2	z	x
17.9444	0.998266	11.81	0
18.0444	0.998944	11.91	0
18.1444	0.998143	12.01	0
18.2444	0.998489	12.11	0
18.3444	0.998671	12.21	0
18.4444	0.998059	12.31	0
18.5444	0.998292	12.41	0
18.6444	0.998325	12.51	0
18.7444	0.998714	12.61	0
18.8444	0.998747	12.71	0
18.9444	0.998562	12.81	0
19.0444	0.998486	12.91	0
