# s	g2	z	x
0	0.999437	3.005	10
0.1	1.00149	3.005	9.9
0.2	0.998556	3.005	9.8
0.3	0.998988	3.005	9.7
0.4	0.999604	3.005	9.6
0.5	0.997788	3.005	9.5
0.6	0.998907	3.005	9.4
0.7	0.999602	3.005	9.3
0.8	0.999312	3.005	9.2
0.9	0.999619	3.005	9.1
1	0.999074	3.005	9
1.1	0.999815	3.005	8.9
1.2	1.0002	3.005	8.8
1.3	1.00033	3.005	8.7
1.4	1.00173	3.005	8.6
1.5	1.00275	3.005	8.5
1.6	1.00145	3.005	8.4
1.7	1.00067	3.005	8.3
1.8	1.00092	3.005	8.2
1.9	0.999976	3.005	8.1
2	0.998376	3.005	8
2.1	0.999253	3.005	7.9
2.2	0.998469	3.005	7.8
2.3	0.997101	3.005	7.7
2.4	0.996751	3.005	7.6
2.5	0.995682	3.005	7.5
2.6	0.996785	3.005	7.4
2.7	0.994032	3.005	7.3
2.8	0.999561	3.005	7.2
2.9	0.997545	3.005	7.1
3	1.00113	3.005	7
3.1	1.00179	3.005	6.9
3.2	1.0058	3.005	6.8
3.3	1.00458	3.005	6.7
3.4	1.00738	3.005	6.6
3.5	1.0101	3.005	6.5
3.6	1.01015	3.005	6.4
3.7	1.01059	3.005	6.3
3.8	1.00953	3.005	6.2
3.9	1.00435	3.005	6.1
4	1.00029	3.005	6
4.1	0.994368	3.005	5.9
4.2	0.991334	3.005	5.8
4.3	0.984694	3.005	5.7
4.4	0.980665	3.005	5.6
4.5	0.98002	3.005	5.5
4.6	0.976358	3.005	5.4
4.7	0.979142	3.005	5.3
4.8	0.979736	3.005	5.2
4.9	0.986756	3.005	5.1
5	0.996283	3.005	5
5.1	1.00645	3.005	4.9
5.2	1.01284	3.005	4.8
5.3	1.03236	3.005	4.7
5.4	1.04292	3.005	4.6
5.5	1.05406	3.005	4.5
5.6	1.06417	3.005	4.4
5.7	1.06906	3.005	4.3
5.8	1.06591	3.005	4.2
5.9	1.05516	3.005	4.1
6	1.01991	3.005	4
6.1	0.97813	3.005	3.9
6.2	0.937689	3.005	3.8
6.3	0.906236	3.005	3.7
6.4	0.879286	3.005	3.6
6.5	0.858716	3.005	3.5
6.6	0.854771	3.005	3.4
6.7	0.854459	3.005	3.3
6.8	0.869147	3.005	3.2
6.9	0.891342	3.005	3.1
7	0.925007	3.005	3
7.1	0.970265	3.005	2.9
7.2	1.03087	3.005	2.8
7.3	1.11571	3.005	2.7
7.4	1.21184	3.005	2.6
7.5	1.33698	3.005	2.5
7.6	1.48328	3.005	2.4
7.7	1.66307	3.005	2.3
7.8	1.88567	3.005	2.2
7.9	2.15906	3.005	2.1
8	2.48709	3.005	2.005
8.03149	2.49313	3.03649	2.00475
8.06299	2.49716	3.06798	2.00401
8.09448	2.49965	3.09945	2.00277
8.12598	2.50098	3.13089	2.00104
8.15747	2.50145	3.16231	1.99882
8.18897	2.50131	3.19369	1.9961
8.22046	2.50074	3.22502	1.99289
8.25196	2.49992	3.25629	1.98919
8.28345	2.49896	3.28751	1.985
8.31494	2.49798	3.31865	1.98032
8.34644	2.49704	3.34972	1.97514
8.37793	2.49621	3.3807	1.96949
8.40943	2.49554	3.41159	1.96334
8.44092	2.49506	3.44238	1.95671
8.47242	2.4948	3.47306	1.9496
8.50391	2.49477	3.50362	1.94201
8.53541	2.49498	3.53407	1.93394
8.5669	2.49544	3.56438	1.92539
8.59839	2.49614	3.59455	1.91636
8.62989	2.49707	3.62458	1.90687
8.66138	2.49823	3.65445	1.8969
8.69288	2.49959	3.68417	1.88647
8.72437	2.50115	3.71372	1.87557
8.75587	2.50289	3.74309	1.8642
8.78736	2.50478	3.77228	1.85238
8.81886	2.50681	3.80128	1.8401
8.85035	2.50895	3.83009	1.82736
8.88185	2.51119	3.85869	1.81418
8.91334	2.51349	3.88708	1.80055
8.94483	2.51583	3.91525	1.78647
8.97633	2.5182	3.9432	1.77195
9.00782	2.52057	3.97092	1.75699
9.03932	2.52291	3.99839	1.74161
9.07081	2.52521	4.02563	1.72579
9.10231	2.52744	4.05261	1.70954
9.1338	2.52959	4.07933	1.69288
9.1653	2.53163	4.10579	1.67579
9.19679	2.53354	4.13198	1.6583
9.22828	2.53532	4.15789	1.64039
9.25978	2.53694	4.18351	1.62208
9.29127	2.5384	4.20884	1.60337
9.32277	2.53967	4.23388	1.58426
9.35426	2.54076	4.25861	1.56476
9.38576	2.54164	4.28304	1.54488
9.41725	2.54232	4.30714	1.52461
9.44875	2.54278	4.33093	1.50397
9.48024	2.54303	4.35439	1.48296
9.51173	2.54306	4.37752	1.46158
9.54323	2.54288	4.40031	1.43984
9.57472	2.54248	4.42275	1.41775
9.60622	2.54187	4.44484	1.39531
9.63771	2.54104	4.46658	1.37252
9.66921	2.54002	4.48796	1.34939
9.7007	2.53879	4.50897	1.32593
9.7322	2.53738	4.52961	1.30214
9.76369	2.53579	4.54988	1.27804
9.79518	2.53403	4.56976	1.25361
9.82668	2.5321	4.58926	1.22888
9.85817	2.53003	4.60837	1.20384
9.88967	2.52783	4.62708	1.17851
9.92116	2.52549	4.64539	1.15289
9.95266	2.52305	4.6633	1.12698
9.98415	2.5205	4.68079	1.10079
10.0156	2.51787	4.69788	1.07433
10.0471	2.51516	4.71454	1.04761
10.0786	2.51239	4.73079	1.02063
10.1101	2.50956	4.74661	0.993395
