# s	g2	z	x
12.1444	0.996445	6.01	0
12.2444	0.966997	6.11	0
12.3444	0.948092	6.21	0
12.4444	0.939288	6.31	0
12.5444	0.939365	6.41	0
12.6444	0.946521	6.51	0
12.7444	0.958613	6.61	0
12.8444	0.973413	6.71	0
12.9444	0.98884	6.81	0
13.0444	1.00313	6.91	0
13.1444	1.01498	7.01	0
13.2444	1.02356	7.11	0
13.3444	1.02854	7.21	0
13.4444	1.03003	7.31	0
13.5444	1.02846	7.41	0
13.6444	1.0245	7.51	0
13.7444	1.01895	7.61	0
13.8444	1.01262	7.71	0
13.9444	1.00626	7.81	0
14.0444	1.0005	7.91	0
14.1444	0.995778	8.01	0
14.2444	0.992372	8.11	0
14.3444	0.99037	8.21	0
14.4444	0.989706	8.31	0
14.5444	0.990196	8.41	0
14.6444	0.991573	8.51	0
14.7444	0.993531	8.61	0
14.8444	0.995765	8.71	0
14.9444	0.997997	8.81	0
15.0444	1	8.91	0
15.1444	1.00162	9.01	0
15.2444	1.00276	9.11	0
15.3444	1.0034	9.21	0
15.4444	1.00357	9.31	0
15.5444	1.00334	9.41	0
15.6444	1.00281	9.51	0
15.7444	1.0021	9.61	0
15.8444	1.0013	9.71	0
15.9444	1.00052	9.81	0
16.0444	0.999841	9.91	0
16.1444	0.999304	10.01	0
16.2444	0.998941	10.11	0
16.3444	0.998757	10.21	0
16.4444	0.998736	10.31	0
16.5444	0.998849	10.41	0
16.6444	0.999061	10.51	0
16.7444	0.99933	10.61	0
16.8444	0.999618	10.71	0
16.9444	0.999891	10.81	0
17.0444	1.00012	10.91	0
17.1444	1.0003	11.01	0
17.2444	1.00041	11.11	0
17.3444	1.00046	11.21	0
17.4444	1.00046	11.31	0
17.5444	1.0004	11.41	0
17.6444	1.00032	11.51	0
17.7444	1.00022	11.61	0
17.8444	1.00011	11.71	0
17.9444	1.00001	11.81	0
18.0444	0.999933	11.91	0
18.1444	0.999874	12.01	0
18.2444	0.999839	12.11	0
18.3444	0.999828	12.21	0
18.4444	0.999836	12.31	0
18.5444	0.999859	12.41	0
18.6444	0.999893	12.51	0
18.7444	0.999931	12.61	0
18.8444	0.999969	12.71	0
18.9444	1	12.81	0
19.0444	1.00003	12.91	0
