# energies_found, t, ehi, elo
1 1 1332 1332
2 3 1324 1332
3 6 1320 1332
4 11 1316 1332
5 12 1316 1332
6 531 1316 1332
7 536 1316 1332
8 1074 1316 1332
9 1576 1313 1332
10 1590 1311 1332
11 1599 1311 1332
12 1673 1310 1332
13 1694 1309 1332
14 1745 1308 1332
15 1806 1307 1332
16 1903 1306 1332
17 1931 1305 1332
18 2030 1304 1332
19 2041 1303 1332
20 2058 1302 1332
21 2060 1301 1332
22 2419 1300 1332
23 2428 1299 1332
24 2445 1298 1332
25 2451 1297 1332
26 2554 1296 1332
27 2571 1295 1332
28 2897 1294 1332
29 3269 1293 1332
30 3294 1291 1332
31 3325 1290 1332
32 3356 1290 1332
33 3448 1289 1332
34 3454 1288 1332
35 3595 1287 1332
36 3598 1286 1332
37 3599 1285 1332
38 3605 1284 1332
39 3633 1283 1332
40 3677 1282 1332
41 3685 1275 1332
42 3687 1275 1332
43 3701 1275 1332
44 3760 1275 1332
45 3799 1274 1332
46 3912 1273 1332
47 3975 1272 1332
48 4180 1271 1332
49 4212 1270 1332
50 4337 1269 1332
51 4360 1268 1332
52 4396 1266 1332
53 4400 1266 1332
54 4496 1265 1332
55 4498 1264 1332
56 4502 1263 1332
57 4508 1262 1332
58 4510 1261 1332
59 4514 1260 1332
60 4520 1259 1332
61 4602 1258 1332
62 5197 1257 1332
63 5415 1256 1332
64 5428 1255 1332
65 5429 1254 1332
66 5512 1253 1332
67 5693 1252 1332
68 5716 1251 1332
69 5785 1246 1332
70 5786 1244 1332
71 5796 1243 1332
72 5852 1243 1332
73 5935 1242 1332
74 5947 1241 1332
75 6011 1240 1332
76 6055 1239 1332
77 6062 1238 1332
78 6141 1237 1332
79 6279 1236 1332
80 7258 1236 1332
81 7272 1236 1332
82 7308 1236 1332
83 7310 1236 1332
84 9680 1235 1332
85 11227 1234 1332
86 11282 1233 1332
87 11349 1232 1332
88 11353 1230 1332
89 11354 1230 1332
90 11374 1229 1332
91 11382 1228 1332
92 11393 1226 1332
93 11404 1225 1332
94 11414 1224 1332
95 11425 1223 1332
96 11426 1222 1332
97 11442 1221 1332
98 11456 1220 1332
99 11560 1216 1332
100 11564 1216 1332
101 11565 1215 1332
102 11567 1214 1332
103 11571 1213 1332
104 11577 1212 1332
105 11588 1211 1332
106 11642 1210 1332
107 11643 1209 1332
108 11644 1208 1332
109 11672 1207 1332
