# energies_found, t, ehi, elo
1 1 1297 1297
2 16 1291 1297
3 533 1288 1297
4 539 1286 1297
5 670 1285 1297
6 759 1285 1297
7 1576 1285 1297
8 1583 1285 1297
9 1596 1285 1297
10 1617 1285 1297
11 2339 1285 1297
12 2639 1285 1298
13 2641 1285 1304
14 2645 1285 1304
15 2715 1285 1304
16 2721 1285 1304
17 2760 1285 1304
18 2790 1285 1304
19 3095 1285 1304
20 3119 1285 1304
21 6992 1284 1304
22 7069 1283 1304
23 7073 1282 1304
24 7076 1281 1304
25 7174 1280 1304
26 7190 1279 1304
27 7194 1278 1304
28 7195 1277 1304
29 7196 1276 1304
30 7204 1274 1304
31 7212 1273 1304
32 7227 1272 1304
33 7344 1271 1304
34 7353 1270 1304
35 7355 1269 1304
36 7357 1267 1304
37 7358 1266 1304
38 7366 1260 1304
39 7394 1259 1304
40 7403 1258 1304
41 7426 1257 1304
42 7492 1256 1304
43 7499 1255 1304
44 7517 1254 1304
45 7524 1253 1304
46 7538 1252 1304
47 7575 1251 1304
48 7593 1250 1304
49 7595 1249 1304
50 7601 1248 1304
51 7714 1246 1304
52 7716 1246 1304
53 7818 1245 1304
54 7876 1243 1304
55 7881 1243 1304
56 8377 1242 1304
57 8394 1241 1304
58 8410 1240 1304
59 8411 1239 1304
60 8462 1238 1304
61 8463 1237 1304
62 8504 1236 1304
63 8543 1235 1304
64 8555 1234 1304
65 8561 1233 1304
66 8572 1232 1304
67 8582 1231 1304
68 8612 1230 1304
69 8679 1229 1304
70 8709 1228 1304
71 8793 1227 1304
72 8797 1226 1304
73 8800 1225 1304
74 8987 1224 1304
75 11979 1224 1304
76 12053 1224 1304
77 12069 1224 1304
78 12825 1224 1304
79 12872 1224 1304
80 15569 1223 1304
81 15579 1222 1304
82 15591 1221 1304
83 15613 1220 1304
84 15652 1219 1304
85 15672 1217 1304
86 15732 1217 1304
87 16783 1216 1304
88 16787 1215 1304
89 16826 1214 1304
90 16831 1213 1304
91 16904 1211 1304
92 16910 1211 1304
93 16930 1210 1304
94 16937 1208 1304
95 16943 1207 1304
96 16949 1206 1304
97 16958 1205 1304
98 16961 1204 1304
99 16967 1203 1304
100 16976 1201 1304
101 16990 1200 1304
102 16997 1199 1304
103 17021 1198 1304
104 17124 1197 1304
105 17130 1196 1304
106 17143 1195 1304
107 17187 1194 1304
108 17203 1193 1304
109 17206 1192 1304
110 17483 1192 1304
111 18633 1192 1304
112 19925 1191 1304
113 19978 1190 1304
114 20029 1189 1304
115 20066 1188 1304
116 20069 1186 1304
117 20070 1185 1304
118 20075 1184 1304
119 20079 1183 1304
120 20093 1182 1304
121 20103 1181 1304
122 20111 1180 1304
123 20253 1180 1304
124 21529 1179 1304
125 21531 1178 1304
126 21538 1177 1304
127 21540 1176 1304
128 21542 1175 1304
129 21549 1174 1304
130 21573 1173 1304
131 21578 1172 1304
132 21590 1171 1304
133 21605 1170 1304
134 21610 1169 1304
135 21732 1168 1304
136 21737 1167 1304
137 21738 1166 1304
138 21742 1165 1304
139 21750 1164 1304
140 21754 1163 1304
