# energies_found, t, ehi, elo
1 1 1284 1284
2 10 1280 1284
3 11 1278 1284
4 14 1276 1284
5 615 1275 1284
6 843 1274 1284
7 859 1273 1284
8 1030 1272 1284
9 1099 1272 1284
10 1523 1272 1284
11 1581 1272 1284
12 1628 1272 1284
13 2449 1272 1284
14 2925 1272 1285
15 2948 1272 1286
16 3130 1272 1287
17 3311 1272 1288
18 3374 1272 1289
19 3377 1272 1290
20 3476 1272 1291
21 4609 1272 1292
22 4615 1272 1293
23 4655 1272 1294
24 4972 1272 1295
25 4985 1272 1296
26 4989 1272 1297
27 5056 1272 1298
28 5103 1272 1299
29 5261 1272 1302
30 5319 1272 1303
31 5335 1272 1304
32 5749 1272 1304
33 5763 1272 1304
34 20300 1271 1304
35 20308 1270 1304
36 20335 1269 1304
37 20339 1268 1304
38 20354 1267 1304
39 20366 1266 1304
40 20373 1265 1304
41 20393 1263 1304
42 20411 1262 1304
43 20420 1261 1304
44 20424 1260 1304
45 20432 1259 1304
46 20434 1257 1304
47 20435 1256 1304
48 20442 1255 1304
49 20459 1254 1304
50 20464 1253 1304
51 20467 1252 1304
52 20472 1251 1304
53 20479 1250 1304
54 20488 1249 1304
55 20499 1248 1304
56 20502 1247 1304
57 20506 1246 1304
58 20510 1245 1304
59 20516 1244 1304
60 20527 1243 1304
61 20534 1242 1304
62 20536 1241 1304
63 20575 1240 1304
64 20587 1239 1304
65 20595 1238 1304
66 20603 1237 1304
67 20621 1236 1304
68 20690 1235 1304
69 20706 1234 1304
70 20726 1233 1304
71 20727 1232 1304
72 20729 1231 1304
73 20738 1230 1304
74 20751 1229 1304
75 20776 1228 1304
76 20933 1227 1304
77 20943 1226 1304
78 20972 1225 1304
79 21169 1224 1304
80 22119 1223 1304
81 22128 1222 1304
82 22132 1221 1304
83 22241 1220 1304
84 22244 1219 1304
85 22410 1218 1304
86 22417 1217 1304
87 22419 1216 1304
88 22427 1215 1304
89 22433 1214 1304
90 22438 1213 1304
91 22441 1212 1304
92 22443 1211 1304
93 22471 1210 1304
94 22486 1209 1304
95 22594 1208 1304
96 22659 1207 1304
97 22683 1206 1304
98 22695 1205 1304
99 22706 1204 1304
100 22710 1203 1304
101 22813 1202 1304
102 22816 1201 1304
103 22855 1200 1304
104 22933 1199 1304
105 23152 1197 1304
106 23154 1196 1304
107 23158 1194 1304
108 23159 1193 1304
109 23169 1193 1304
110 23220 1192 1304
111 23333 1192 1304
112 26018 1191 1304
113 26026 1190 1304
114 26052 1189 1304
115 26053 1188 1304
116 26082 1187 1304
117 26101 1186 1304
