# E	 Serror
-509	0.01512
-510	0.01478
-511	0.01499
-512	0.01542
-513	0.01544
-514	0.01473
-515	0.01498
-516	0.01428
-517	0.01474
-518	0.01511
-519	0.0155
-520	0.01485
-521	0.01506
-522	0.01525
-523	0.01539
-524	0.01613
-525	0.01569
-526	0.0155
-527	0.01563
-528	0.016
-529	0.01626
-530	0.01709
-531	0.01815
-532	0.01881
-533	0.01891
-534	0.01985
-535	0.02031
-536	0.02152
-537	0.02204
-538	0.02292
-539	0.02383
-540	0.02447
-541	0.02541
-542	0.02625
-543	0.02652
-544	0.02525
-545	0.0258
-546	0.02582
-547	0.02605
-548	0.0262
-549	0.02559
-550	0.02594
-551	0.02545
-552	0.02582
-553	0.02663
-554	0.02695
-555	0.02725
-556	0.02714
-557	0.02665
-558	0.02707
-559	0.02688
-560	0.02702
-561	0.02739
-562	0.02824
-563	0.0278
-564	0.02772
-565	0.0276
-566	0.02829
-567	0.02825
-568	0.02768
-569	0.02837
-570	0.02765
-571	0.027
-572	0.02703
-573	0.02748
-574	0.02748
-575	0.02783
-576	0.027
-577	0.02691
-578	0.0267
-579	0.02654
-580	0.02647
-581	0.02555
-582	0.02511
-583	0.02538
-584	0.02573
-585	0.026
-586	0.026
-587	0.02623
-588	0.0261
-589	0.02561
-590	0.02574
-591	0.02542
-592	0.02511
-593	0.02478
-594	0.02493
-595	0.02449
-596	0.02459
-597	0.0247
-598	0.02547
-599	0.02607
-600	0.02644
-601	0.02669
-602	0.027
-603	0.02773
-604	0.02832
-605	0.02786
-606	0.02775
-607	0.02789
-608	0.02744
-609	0.02715
-610	0.02741
-611	0.02687
-612	0.02658
-613	0.02714
-614	0.0268
-615	0.02639
-616	0.02612
-617	0.02548
-618	0.02477
-619	0.0252
-620	0.02489
-621	0.02408
-622	0.02354
-623	0.02383
-624	0.02412
-625	0.02429
-626	0.02382
-627	0.0242
-628	0.0237
-629	0.0243
-630	0.02383
-631	0.02334
-632	0.02375
-633	0.02415
-634	0.02389
-635	0.02443
-636	0.02434
-637	0.02494
-638	0.02465
-639	0.02446
-640	0.02477
-641	0.02454
-642	0.02406
-643	0.02251
-644	0.02283
-645	0.0218
-646	0.02055
-647	0.01995
-648	0.01956
-649	0.01915
-650	0.01828
-651	0.01698
-652	0.01667
-653	0.01554
-654	0.01388
-655	0.01423
-656	0.01366
-657	0.01246
-658	0.01228
-659	0.01141
-660	0.0104
-661	0.009105
-662	0.008995
-663	0.008448
-664	0.007065
-665	0.006909
-666	0.006558
-667	0.004761
-668	0.004249
-669	0.003265
-670	0.002398
-671	0.001335
-672	-9.815e-05
-673	-0.0006036
-674	-0.002419
-675	-0.003443
-676	-0.003944
-677	-0.004422
-678	-0.005404
-679	-0.005453
-680	-0.005348
-681	-0.006481
-682	-0.007736
-683	-0.008811
-684	-0.00971
-685	-0.0114
-686	-0.01295
-687	-0.01502
-688	-0.01557
-689	-0.01619
-690	-0.01767
-691	-0.01929
-692	-0.02067
-693	-0.02167
-694	-0.02167
-695	-0.02132
-696	-0.02219
-697	-0.02319
-698	-0.02267
-699	-0.02254
-700	-0.02295
-701	-0.02284
-702	-0.02335
-703	-0.02366
-704	-0.02347
-705	-0.02291
-706	-0.02201
-707	-0.02233
-708	-0.02265
-709	-0.02228
-710	-0.02263
-711	-0.02262
-712	-0.02148
-713	-0.02073
-714	-0.0207
-715	-0.02013
-716	-0.01984
-717	-0.01898
-718	-0.01729
-719	-0.01659
-720	-0.01616
-721	-0.01619
-722	-0.01571
-723	-0.01542
-724	-0.01601
-725	-0.01585
-726	-0.01522
-727	-0.01531
-728	-0.01552
-729	-0.01558
-730	-0.01609
-731	-0.01658
-732	-0.01726
-733	-0.01747
-734	-0.01797
-735	-0.01765
-736	-0.01785
-737	-0.01701
-738	-0.01662
-739	-0.01619
-740	-0.01631
-741	-0.01593
-742	-0.01549
-743	-0.01492
-744	-0.0143
-745	-0.0146
-746	-0.01433
-747	-0.01352
-748	-0.01331
-749	-0.01316
-750	-0.01346
-751	-0.01193
-752	-0.01226
-753	-0.01239
-754	-0.01162
-755	-0.01073
-756	-0.01142
-757	-0.01153
-758	-0.01137
-759	-0.01203
-760	-0.01228
-761	-0.01192
-762	-0.01272
-763	-0.01316
-764	-0.01301
-765	-0.01308
-766	-0.01246
-767	-0.01334
-768	-0.01285
-769	-0.01371
-770	-0.01381
-771	-0.01435
-772	-0.0149
-773	-0.0158
-774	-0.01644
-775	-0.01728
-776	-0.01683
-777	-0.01713
-778	-0.0191
-779	-0.01954
-780	-0.01963
-781	-0.02056
-782	-0.02086
-783	-0.02082
-784	-0.01959
-785	-0.01955
-786	-0.01924
-787	-0.01955
-788	-0.01966
-789	-0.01889
-790	-0.01847
-791	-0.01853
-792	-0.01831
-793	-0.01824
-794	-0.01714
-795	-0.01743
-796	-0.01717
-797	-0.01809
-798	-0.018
-799	-0.01689
-800	-0.01627
-801	-0.01646
-802	-0.01571
-803	-0.0151
-804	-0.01487
-805	-0.01515
-806	-0.01547
-807	-0.01476
-808	-0.01451
-809	-0.01448
-810	-0.01486
-811	-0.01437
-812	-0.01399
-813	-0.01388
-814	-0.01371
-815	-0.01336
-816	-0.01445
-817	-0.01448
-818	-0.01508
-819	-0.01486
-820	-0.01493
-821	-0.01523
-822	-0.01493
-823	-0.01596
-824	-0.01554
-825	-0.0154
-826	-0.01541
-827	-0.01485
-828	-0.01433
-829	-0.01475
-830	-0.01495
-831	-0.01426
-832	-0.01386
-833	-0.01375
-834	-0.01313
-835	-0.01428
-836	-0.01481
-837	-0.01485
-838	-0.01573
-839	-0.01713
-840	-0.01707
-841	-0.01701
-842	-0.01731
-843	-0.01812
-844	-0.01856
-845	-0.01766
-846	-0.01741
-847	-0.01824
-848	-0.01881
-849	-0.0187
-850	-0.01894
-851	-0.01825
-852	-0.01843
-853	-0.01773
-854	-0.01699
-855	-0.01698
-856	-0.01672
-857	-0.01672
-858	-0.01583
-859	-0.01553
-860	-0.01476
-861	-0.01556
-862	-0.01478
-863	-0.01448
-864	-0.01436
-865	-0.01341
-866	-0.01335
-867	-0.01344
-868	-0.01465
-869	-0.01407
-870	-0.01419
-871	-0.0137
-872	-0.01382
-873	-0.01302
-874	-0.01172
-875	-0.01163
-876	-0.01232
-877	-0.01181
-878	-0.01178
-879	-0.01131
-880	-0.01103
-881	-0.01053
-882	-0.01006
-883	-0.01003
-884	-0.009167
-885	-0.009899
-886	-0.00911
-887	-0.008654
-888	-0.008966
-889	-0.008413
-890	-0.008573
-891	-0.008334
-892	-0.007999
-893	-0.007933
-894	-0.00751
-895	-0.007928
-896	-0.007706
-897	-0.008191
-898	-0.008208
-899	-0.007771
-900	-0.007816
-901	-0.007804
-902	-0.007588
-903	-0.007205
-904	-0.007756
-905	-0.008478
-906	-0.008063
-907	-0.00835
-908	-0.00886
-909	-0.009048
-910	-0.009159
-911	-0.009355
-912	-0.008807
-913	-0.009021
-914	-0.009573
-915	-0.009204
