# E	 Serror
-509	-0.01227
-510	-0.01284
-511	-0.0129
-512	-0.0122
-513	-0.01188
-514	-0.01265
-515	-0.01257
-516	-0.01277
-517	-0.01213
-518	-0.01146
-519	-0.01073
-520	-0.01096
-521	-0.009885
-522	-0.009158
-523	-0.008825
-524	-0.007778
-525	-0.007409
-526	-0.007126
-527	-0.006813
-528	-0.00583
-529	-0.004836
-530	-0.003852
-531	-0.003324
-532	-0.002866
-533	-0.00251
-534	-0.001564
-535	-0.00122
-536	4.127e-05
-537	0.0005843
-538	0.001871
-539	0.002704
-540	0.00361
-541	0.004884
-542	0.005133
-543	0.0052
-544	0.004239
-545	0.005242
-546	0.005051
-547	0.005601
-548	0.005506
-549	0.004788
-550	0.004296
-551	0.004164
-552	0.00454
-553	0.005477
-554	0.005491
-555	0.005733
-556	0.006072
-557	0.005197
-558	0.005359
-559	0.005185
-560	0.004999
-561	0.004874
-562	0.005917
-563	0.004842
-564	0.004409
-565	0.004027
-566	0.004539
-567	0.004372
-568	0.003417
-569	0.00349
-570	0.002708
-571	0.002385
-572	0.002046
-573	0.002291
-574	0.002122
-575	0.002333
-576	0.001128
-577	0.001168
-578	0.0006495
-579	0.0004553
-580	-9.748e-05
-581	-0.001041
-582	-0.001153
-583	-0.0006723
-584	-0.000601
-585	-4.738e-05
-586	-0.0001337
-587	5.358e-05
-588	-0.0002779
-589	-0.000719
-590	-0.0001906
-591	-0.0008343
-592	-0.001485
-593	-0.001499
-594	-0.0007216
-595	-0.001197
-596	-0.001006
-597	-0.0007305
-598	-0.0004024
-599	0.0004244
-600	0.0003148
-601	-1.826e-06
-602	0.0002709
-603	0.0008928
-604	0.001347
-605	0.0009597
-606	0.001144
-607	0.001131
-608	-3.35e-05
-609	-0.0005704
-610	-0.0002142
-611	-0.001024
-612	-0.001963
-613	-0.00142
-614	-0.001835
-615	-0.001846
-616	-0.002283
-617	-0.002717
-618	-0.003624
-619	-0.002737
-620	-0.002861
-621	-0.003597
-622	-0.004214
-623	-0.003903
-624	-0.003478
-625	-0.00297
-626	-0.002608
-627	-0.001656
-628	-0.002239
-629	-0.001624
-630	-0.002144
-631	-0.001563
-632	-0.0003812
-633	0.0007039
-634	0.0003232
-635	0.0004031
-636	0.0009375
-637	0.001691
-638	0.001445
-639	0.001006
-640	0.001326
-641	0.001771
-642	0.001569
-643	0.0002194
-644	0.0007776
-645	0.000192
-646	-0.0003816
-647	-6.508e-05
-648	-0.0004194
-649	-0.0001259
-650	-0.0009246
-651	-0.001178
-652	-0.001215
-653	-0.002033
-654	-0.00305
-655	-0.002465
-656	-0.002463
-657	-0.003081
-658	-0.002473
-659	-0.003412
-660	-0.00389
-661	-0.004664
-662	-0.005076
-663	-0.005072
-664	-0.006156
-665	-0.006474
-666	-0.00657
-667	-0.007697
-668	-0.008192
-669	-0.008961
-670	-0.009956
-671	-0.01012
-672	-0.01147
-673	-0.01175
-674	-0.01306
-675	-0.01387
-676	-0.01459
-677	-0.01523
-678	-0.01562
-679	-0.01547
-680	-0.01499
-681	-0.01531
-682	-0.01563
-683	-0.01631
-684	-0.01679
-685	-0.01748
-686	-0.01815
-687	-0.02006
-688	-0.02029
-689	-0.02096
-690	-0.02167
-691	-0.0225
-692	-0.02361
-693	-0.02384
-694	-0.02339
-695	-0.02294
-696	-0.02358
-697	-0.02332
-698	-0.02189
-699	-0.02067
-700	-0.02033
-701	-0.0192
-702	-0.0195
-703	-0.01969
-704	-0.01894
-705	-0.0186
-706	-0.01728
-707	-0.01792
-708	-0.01828
-709	-0.01731
-710	-0.01771
-711	-0.01721
-712	-0.01667
-713	-0.01598
-714	-0.01646
-715	-0.01627
-716	-0.01581
-717	-0.01492
-718	-0.01275
-719	-0.01199
-720	-0.01139
-721	-0.01081
-722	-0.01066
-723	-0.01068
-724	-0.01132
-725	-0.01103
-726	-0.01054
-727	-0.01025
-728	-0.01005
-729	-0.01018
-730	-0.01032
-731	-0.01128
-732	-0.01175
-733	-0.0121
-734	-0.01235
-735	-0.01215
-736	-0.01211
-737	-0.01104
-738	-0.01045
-739	-0.009773
-740	-0.009408
-741	-0.008773
-742	-0.008585
-743	-0.008485
-744	-0.007175
-745	-0.007
-746	-0.006265
-747	-0.005502
-748	-0.005332
-749	-0.005143
-750	-0.005197
-751	-0.003682
-752	-0.003974
-753	-0.003766
-754	-0.002494
-755	-0.0018
-756	-0.002214
-757	-0.002497
-758	-0.002438
-759	-0.003416
-760	-0.003642
-761	-0.003846
-762	-0.004469
-763	-0.004913
-764	-0.005269
-765	-0.005812
-766	-0.005792
-767	-0.00689
-768	-0.005869
-769	-0.006148
-770	-0.005945
-771	-0.006761
-772	-0.006857
-773	-0.00776
-774	-0.007996
-775	-0.007934
-776	-0.007552
-777	-0.007577
-778	-0.009197
-779	-0.009712
-780	-0.009978
-781	-0.01038
-782	-0.01018
-783	-0.009347
-784	-0.008206
-785	-0.007025
-786	-0.005924
-787	-0.005838
-788	-0.005856
-789	-0.004248
-790	-0.003444
-791	-0.003114
-792	-0.002726
-793	-0.002137
-794	-0.000328
-795	-1.77e-06
-796	0.0005998
-797	-0.0004857
-798	-0.0004286
-799	0.001083
-800	0.0007057
-801	0.001559
-802	0.002586
-803	0.003167
-804	0.004049
-805	0.003585
-806	0.003804
-807	0.004377
-808	0.005023
-809	0.005565
-810	0.004992
-811	0.004439
-812	0.005216
-813	0.005579
-814	0.006015
-815	0.006843
-816	0.006206
-817	0.006619
-818	0.006449
-819	0.006483
-820	0.006868
-821	0.00656
-822	0.007099
-823	0.006964
-824	0.007122
-825	0.007631
-826	0.007701
-827	0.008558
-828	0.008844
-829	0.00819
-830	0.008099
-831	0.008668
-832	0.009424
-833	0.009544
-834	0.009846
-835	0.008983
-836	0.008943
-837	0.009053
-838	0.007936
-839	0.006523
-840	0.006303
-841	0.005459
-842	0.005137
-843	0.004034
-844	0.003061
-845	0.003727
-846	0.003773
-847	0.002976
-848	0.002168
-849	0.003386
-850	0.003036
-851	0.003777
-852	0.003738
-853	0.004448
-854	0.005016
-855	0.005436
-856	0.006092
-857	0.006596
-858	0.008031
-859	0.008939
-860	0.009829
-861	0.009606
-862	0.01053
-863	0.01108
-864	0.01126
-865	0.01271
-866	0.01404
-867	0.01459
-868	0.01363
-869	0.01406
-870	0.01501
-871	0.01613
-872	0.01684
-873	0.01754
-874	0.01861
-875	0.0189
-876	0.01738
-877	0.01814
-878	0.01773
-879	0.01911
-880	0.01964
-881	0.02097
-882	0.02137
-883	0.02154
-884	0.02306
-885	0.02296
-886	0.02372
-887	0.02396
-888	0.02368
-889	0.02423
-890	0.02432
-891	0.02494
-892	0.02585
-893	0.02592
-894	0.02683
-895	0.02714
-896	0.02842
-897	0.0282
-898	0.02805
-899	0.02887
-900	0.02915
-901	0.02906
-902	0.02962
-903	0.02995
-904	0.0301
-905	0.02919
-906	0.02995
-907	0.02902
-908	0.02818
-909	0.02874
-910	0.02894
-911	0.02913
-912	0.02986
-913	0.02984
-914	0.02971
-915	0.03049
