# unused	g3	z	x
0	4.19655	4.54	0
0	4.28115	4.53	0
0	4.34152	4.52	0
0	4.40916	4.51	0
0	4.4965	4.5	0
0	4.58305	4.49	0
0	4.6617	4.48	0
0	4.74203	4.47	0
0	4.83742	4.46	0
0	4.92857	4.45	0
0	5.02635	4.44	0
0	5.12499	4.43	0
0	5.2231	4.42	0
0	5.32147	4.41	0
0	5.42113	4.4	0
0	5.53203	4.39	0
0	5.62803	4.38	0
0	5.74352	4.37	0
0	5.86581	4.36	0
0	5.97437	4.35	0
0	6.09153	4.34	0
0	6.22928	4.33	0
0	6.34403	4.32	0
0	6.45724	4.31	0
0	6.61207	4.3	0
0	6.7465	4.29	0
0	6.88632	4.28	0
0	7.04231	4.27	0
0	7.18796	4.26	0
0	7.37102	4.25	0
0	7.53359	4.24	0
0	7.68579	4.23	0
0	7.86231	4.22	0
0	7.99632	4.21	0
0	8.14385	4.2	0
0	8.14385	4.2	0
0	8.1439	4.19997	0.0105
0	8.14391	4.1999	0.0209997
0	8.14389	4.19976	0.0314988
0	8.14384	4.19958	0.0419972
0	8.14376	4.19934	0.0524945
0	8.14365	4.19906	0.0629906
0	8.14359	4.19871	0.073485
0	8.14353	4.19832	0.0839776
0	8.14345	4.19787	0.0944681
0	8.14334	4.19738	0.104956
0	8.1432	4.19682	0.115442
0	8.14303	4.19622	0.125924
0	8.14287	4.19557	0.136404
0	8.14276	4.19486	0.14688
0	8.14263	4.1941	0.157352
0	8.14247	4.19328	0.167821
0	8.14229	4.19242	0.178285
0	8.14208	4.1915	0.188745
0	8.14185	4.19053	0.1992
0	8.14171	4.18951	0.20965
0	8.14155	4.18843	0.220095
0	8.14136	4.18731	0.230534
0	8.14116	4.18613	0.240968
0	8.14037	4.1849	0.251396
0	8.13949	4.18362	0.261817
0	8.13864	4.18228	0.272232
0	8.1378	4.18089	0.28264
0	8.13691	4.17945	0.293041
0	8.13599	4.17796	0.303434
0	8.13503	4.17642	0.31382
0	8.13404	4.17482	0.324198
0	8.13303	4.17318	0.334568
0	8.13208	4.17148	0.34493
0	8.1311	4.16973	0.355283
0	8.13009	4.16793	0.365627
0	8.12906	4.16607	0.375962
0	8.128	4.16417	0.386288
0	8.12691	4.16221	0.396604
0	8.12589	4.1602	0.40691
0	8.12487	4.15814	0.417206
0	8.12383	4.15603	0.427491
0	8.12278	4.15386	0.437766
0	8.12171	4.15165	0.44803
0	8.12063	4.14938	0.458282
0	8.11958	4.14707	0.468523
0	8.11857	4.1447	0.478753
0	8.11757	4.14228	0.48897
0	8.11656	4.13981	0.499176
0	8.11556	4.13729	0.509368
0	8.11455	4.13472	0.519548
0	8.11355	4.13209	0.529715
0	8.11262	4.12942	0.539869
0	8.11172	4.12669	0.550009
0	8.11083	4.12392	0.560136
0	8.10995	4.12109	0.570249
0	8.10842	4.11822	0.580347
0	8.10614	4.11529	0.590431
0	8.10388	4.11231	0.6005
0	8.10167	4.10928	0.610554
0	8.09947	4.10621	0.620592
0	8.09727	4.10308	0.630616
0	8.09509	4.0999	0.640623
0	8.09291	4.09667	0.650615
0	8.09075	4.09339	0.66059
0	8.08863	4.09007	0.670548
0	8.08656	4.08669	0.68049
0	8.08452	4.08326	0.690415
0	8.0825	4.07978	0.700323
0	8.08051	4.07626	0.710213
0	8.07856	4.07268	0.720085
0	8.07663	4.06906	0.72994
0	8.07478	4.06538	0.739776
0	8.07298	4.06166	0.749594
0	8.07122	4.05789	0.759392
0	8.06951	4.05407	0.769172
0	8.06646	4.0502	0.778933
0	8.063	4.04628	0.788674
0	8.05958	4.04231	0.798396
0	8.05621	4.03829	0.808097
0	8.05288	4.03423	0.817779
0	8.04959	4.03012	0.827439
0	8.04635	4.02595	0.83708
0	8.04316	4.02174	0.846699
0	8.04001	4.01749	0.856297
0	8.03692	4.01318	0.865874
0	8.03389	4.00883	0.875429
0	8.03093	4.00443	0.884962
0	8.02804	3.99998	0.894473
0	8.02521	3.99548	0.903962
0	8.02245	3.99094	0.913428
0	8.0196	3.98635	0.922871
0	8.01493	3.98171	0.932291
0	8.01031	3.97703	0.941688
0	8.00575	3.97229	0.951061
0	8.00124	3.96751	0.960411
0	7.9968	3.96269	0.969736
0	7.99242	3.95782	0.979038
0	7.98811	3.9529	0.988314
0	7.98386	3.94793	0.997566
0	7.97968	3.94292	1.00679
0	7.97558	3.93787	1.016
0	7.97156	3.93276	1.02517
0	7.96764	3.92761	1.03432
0	7.9638	3.92242	1.04345
0	7.9588	3.91718	1.05255
0	7.95297	3.91189	1.06162
0	7.94719	3.90656	1.07067
0	7.94149	3.90119	1.07969
0	7.93585	3.89577	1.08868
0	7.93029	3.8903	1.09764
0	7.92481	3.88479	1.10658
0	7.91941	3.87924	1.11549
0	7.91409	3.87364	1.12437
0	7.90884	3.86799	1.13323
0	7.90368	3.8623	1.14205
0	7.89862	3.85657	1.15085
0	7.89257	3.8508	1.15962
0	7.88558	3.84498	1.16836
0	7.87865	3.83911	1.17707
0	7.87179	3.8332	1.18575
0	7.86499	3.82725	1.1944
0	7.85824	3.82126	1.20302
0	7.85158	3.81522	1.21161
0	7.845	3.80914	1.22017
0	7.83852	3.80302	1.2287
0	7.83212	3.79686	1.2372
0	7.82581	3.79065	1.24567
0	7.81867	3.7844	1.25411
0	7.81055	3.77811	1.26252
0	7.80247	3.77178	1.27089
0	7.79445	3.7654	1.27923
0	7.7865	3.75898	1.28755
0	7.77862	3.75253	1.29582
0	7.77081	3.74603	1.30407
0	7.76306	3.73948	1.31228
0	7.75538	3.7329	1.32047
0	7.74778	3.72628	1.32861
0	7.73992	3.71962	1.33673
0	7.73075	3.71291	1.34481
0	7.72161	3.70617	1.35286
0	7.71251	3.69938	1.36087
0	7.70346	3.69256	1.36885
